Election date,Poll ID,State,Pollster,Sponsors,Poll start date,Poll end date,Source,Partisan,Method,Population type,Observations,Democratic,Republican,Other,Undecided
2008-11-04,20080001,AK,Hays,,,2008-11-02,,Partisan,Phone,General.Population,400,45,48,2,5
2008-11-04,20080002,AK,Hays,,,2008-08-07,,Partisan,Phone,General.Population,400,45,40,4,10
2008-11-04,20080003,AK,Rasmussen,,,2008-09-09,,NonPartisan,IVR,Likely.Voters,500,33,64,0,3
2008-11-04,20080004,AK,Rasmussen,,,2008-07-17,,NonPartisan,IVR,Likely.Voters,500,44,49,2,5
2008-11-04,20080005,AK,Dittman,,,2008-10-29,,Partisan,Phone,Likely.Voters,489,37,56,0,7
2008-11-04,20080006,AK,Research2000,DailyKos,,2008-10-30,,Partisan,Phone,Likely.Voters,600,39,58,1,2
2008-11-04,20080007,AK,FairleighDickinsonUniv,,,2008-09-21,,NonPartisan,Phone,Likely.Voters,601,37,55,3,5
2008-11-04,20080008,AK,IvanMoore,,,2008-09-02,,Partisan,Phone,Likely.Voters,500,35,54,0,12
2008-11-04,20080009,AK,Rasmussen,,,2008-06-16,,NonPartisan,IVR,Likely.Voters,500,41,45,7,6
2008-11-04,20080010,AK,ARG,,,2008-09-11,,NonPartisan,Phone,Likely.Voters,600,39,55,2,3
2008-11-04,20080011,AK,Research2000,DailyKos,,2008-10-16,,Partisan,Phone,Likely.Voters,600,38,57,2,3
2008-11-04,20080012,AK,IvanMoore,,,2008-10-06,,Partisan,Phone,Likely.Voters,500,38,55,0,8
2008-11-04,20080013,AK,Rasmussen,,,2008-10-06,,NonPartisan,IVR,Likely.Voters,500,40,55,1,3
2008-11-04,20080014,AK,Rasmussen,,,2008-07-30,,NonPartisan,IVR,Likely.Voters,500,42,48,3,7
2008-11-04,20080015,AK,Research2000,DailyKos,,2008-07-16,,Partisan,Phone,Likely.Voters,600,41,51,0,8
2008-11-04,20080016,AK,SurveyUSA,,,2008-02-29,,NonPartisan,IVR,Registered.Voters,617,43,48,0,9
2008-11-04,20080017,AK,Research2000,DailyKos,,2008-09-17,,Partisan,Phone,Likely.Voters,600,38,55,0,7
2008-11-04,20080018,AK,Rasmussen,,,2008-10-28,,NonPartisan,IVR,Likely.Voters,500,41,57,1,1
2008-11-04,20080019,AK,YouGov,,,2008-11-01,,NonPartisan,Internet,Registered.Voters,352,38,55,2,5
2008-11-04,20080020,AK,Rasmussen,,,2008-04-07,,NonPartisan,IVR,Likely.Voters,500,43,48,5,4
2008-11-04,20080021,AK,American Viewpoint,,,2008-09-02,,Partisan,Phone,Registered.Voters,400,33,57,0,0
2008-11-04,20080022,AK,GSG,,,2008-06-10,,Partisan,Phone,Likely.Voters,600,42,44,3,0
2008-11-04,20080023,AK,Rasmussen,,,2008-05-14,,NonPartisan,IVR,Likely.Voters,500,41,50,4,4
2008-11-04,20080024,AK,IvanMoore,,,2008-10-19,,Partisan,Phone,Likely.Voters,500,42,53,0,5
2008-11-04,20080025,AK,Research2000,DailyKos,,2008-05-14,,Partisan,Phone,Likely.Voters,600,42,49,0,9
2008-11-04,20080026,AK,IvanMoore,,,2008-07-22,,Partisan,Phone,Registered.Voters,400,44,47,0,0
2008-11-04,20080027,AL,Rasmussen,,,2008-07-31,,NonPartisan,IVR,Likely.Voters,500,38,58,2,2
2008-11-04,20080028,AL,SurveyUSA,,,2008-02-17,,NonPartisan,IVR,Registered.Voters,554,34,58,0,7
2008-11-04,20080029,AL,SurveyUSA,,,2007-12-15,,NonPartisan,IVR,Registered.Voters,544,36,54,0,11
2008-11-04,20080030,AL,YouGov,,,2008-11-01,,NonPartisan,Internet,Registered.Voters,452,39,57,2,2
2008-11-04,20080031,AL,UnivSouthAlabama,PressRegister,,2008-03-27,,NonPartisan,Phone,Likely.Voters,413,30,57,2,11
2008-11-04,20080032,AL,Rasmussen,,,2008-05-27,,NonPartisan,IVR,Likely.Voters,500,32,60,6,3
2008-11-04,20080033,AL,SurveyUSA,,,2007-03-12,,NonPartisan,IVR,Registered.Voters,514,36,55,0,9
2008-11-04,20080034,AL,CapitalSRC,,,2008-09-09,,NonPartisan,Phone,Likely.Voters,606,35,55,1,9
