Poll ID,Observations,Poll start date,Poll end date,State,Democratic,Other,Republican,Undecided,Election date
abt-srbi-inc-atlanta-journal-constitution-24490,822,2016-05-09,2016-05-12,GA,41.0,4.0,45.0,3.0,2016-11-08
abt-srbi-inc-atlanta-journal-constitution-25070,847,2016-08-01,2016-08-04,GA,42.5,13.8,39.0,2.5,2016-11-08
abt-srbi-inc-atlanta-journal-constitution-26347,839,2016-10-17,2016-10-20,GA,42.0,10.0,44.0,4.0,2016-11-08
alaska-survey-research-alaska-dispatch-news-26166,660,2016-09-28,2016-10-02,AK,36.5,24.0,41.0,10.5,2016-11-08
albuquerque-journal-research-polling-25959,501,2016-09-27,2016-09-29,NM,39.5,28.25,32.5,7.0,2016-11-08
albuquerque-journal-research-polling-26798,504,2016-11-01,2016-11-03,NM,45.0,14.0,40.0,2.0,2016-11-08
anzalone-d-democrats-for-education-reform-25438,605,2016-08-29,2016-09-01,LA,40.0,2.0,46.0,3.0,2016-11-08
anzalone-d-ohio-education-association-25985,800,2016-09-27,2016-10-02,OH,45.0,9.5,43.0,3.66666666667,2016-11-08
arg-24796,533,2016-06-24,2016-06-28,NH,47.0,4.0,42.0,7.0,2016-11-08
arg-25745,522,2016-09-20,2016-09-25,NH,46.0,7.0,42.0,5.0,2016-11-08
arg-26663,600,2016-10-31,2016-11-02,NH,43.0,5.0,48.0,4.0,2016-11-08
arizona-republic-morrison-cronkite-news-26257,704,2016-08-17,2016-08-31,AZ,35.0,9.0,34.0,23.0,2016-11-08
arizona-republic-morrison-cronkite-news-26264,713,2016-10-10,2016-10-15,AZ,43.0,11.0,38.0,8.0,2016-11-08
associated-industries-of-florida-r-24418,604,2016-04-25,2016-04-27,FL,49.0,0.0,36.0,15.0,2016-11-08
baldwin-wallace-university-23879,825,2016-02-11,2016-02-20,OH,37.0,20.0,39.0,4.0,2016-11-08
baldwin-wallace-university-26139,1152,2016-10-09,2016-10-11,OH,45.5,13.0,36.0,12.0,2016-11-08
baltimore-sun-university-of-baltimore-opinionworks-25400,756,2016-08-18,2016-08-30,MD,54.0,3.33333333333,25.0,12.0,2016-11-08
baruch-college-new-york-1-24253,1306,2016-04-05,2016-04-10,NY,51.0,0.0,35.0,7.0,2016-11-08
behavior-research-center-24357,564,2016-04-04,2016-04-11,AZ,42.0,0.0,35.0,23.0,2016-11-08
bendixen-amandi-las-vegas-review-journal-26416,800,2016-10-20,2016-10-23,NV,48.0,7.0,41.0,4.0,2016-11-08
bloomberg-selzer-25477,802,2016-09-09,2016-09-12,OH,41.0,14.5,46.0,2.66666666667,2016-11-08
bloomberg-selzer-25849,805,2016-09-29,2016-10-02,NC,45.0,8.0,44.0,2.5,2016-11-08
bloomberg-selzer-26152,806,2016-10-07,2016-10-11,PA,49.5,8.33333333333,40.5,1.75,2016-11-08
bloomberg-selzer-26435,953,2016-10-21,2016-10-24,FL,44.0,6.33333333333,45.5,2.75,2016-11-08
castleton-university-vpr-24982,637,2016-07-11,2016-07-23,VT,39.0,10.3333333333,17.0,6.5,2016-11-08
castleton-university-vpr-26269,579,2016-09-29,2016-10-14,VT,45.0,6.0,17.0,7.0,2016-11-08
cbs-yougov-24529,995,2016-05-16,2016-05-19,FL,43.0,0.0,42.0,7.5,2016-11-08
cbs-yougov-24530,992,2016-05-16,2016-05-19,OH,44.0,0.0,39.0,8.5,2016-11-08
cbs-yougov-24612,1187,2016-05-31,2016-06-03,CA,48.0,12.0,33.0,3.5,2016-11-08
cbs-yougov-24613,1194,2016-05-31,2016-06-03,NJ,49.0,8.0,34.0,4.0,2016-11-08
cbs-yougov-24766,1192,2016-06-21,2016-06-24,FL,44.0,8.0,41.0,3.5,2016-11-08
cbs-yougov-24767,996,2016-06-21,2016-06-24,CO,40.0,9.0,39.0,5.0,2016-11-08
cbs-yougov-24768,993,2016-06-21,2016-06-24,WI,41.0,11.0,36.0,6.0,2016-11-08
cbs-yougov-24769,988,2016-06-21,2016-06-24,NC,44.0,6.0,42.0,3.5,2016-11-08
cbs-yougov-24909,998,2016-07-13,2016-07-15,IA,39.0,12.0,40.0,4.0,2016-11-08
cbs-yougov-24910,1104,2016-07-13,2016-07-15,OH,44.0,11.0,40.0,2.5,2016-11-08
cbs-yougov-24911,1201,2016-07-13,2016-07-15,MI,42.0,11.0,39.0,4.0,2016-11-08
cbs-yougov-25079,1095,2016-08-02,2016-08-05,AZ,42.0,3.0,44.0,2.5,2016-11-08
cbs-yougov-25080,993,2016-08-02,2016-08-05,NV,43.0,6.5,41.0,3.0,2016-11-08
cbs-yougov-25081,1181,2016-08-02,2016-08-05,VA,49.0,9.0,37.0,2.5,2016-11-08
cbs-yougov-25156,1194,2016-08-10,2016-08-12,FL,45.0,7.0,40.0,2.0,2016-11-08
cbs-yougov-25157,988,2016-08-10,2016-08-12,GA,41.0,7.0,45.0,2.5,2016-11-08
cbs-yougov-25158,990,2016-08-10,2016-08-12,NH,45.0,8.0,36.0,3.5,2016-11-08
cbs-yougov-25219,997,2016-08-17,2016-08-19,OH,46.0,8.0,40.0,2.0,2016-11-08
cbs-yougov-25220,987,2016-08-17,2016-08-19,IA,40.0,10.0,40.0,3.5,2016-11-08
cbs-yougov-25337,1091,2016-08-30,2016-09-02,PA,45.0,8.5,37.0,3.0,2016-11-08
cbs-yougov-25338,1088,2016-08-30,2016-09-02,NC,46.0,5.5,42.0,2.0,2016-11-08
cbs-yougov-25448,1193,2016-09-07,2016-09-09,FL,44.0,7.0,42.0,3.0,2016-11-08
cbs-yougov-25449,994,2016-09-07,2016-09-09,OH,46.0,9.0,39.0,2.0,2016-11-08
cbs-yougov-25645,991,2016-09-21,2016-09-23,CO,40.0,11.0,39.0,5.0,2016-11-08
cbs-yougov-25646,1087,2016-09-21,2016-09-23,MO,37.0,9.0,46.0,3.5,2016-11-08
cbs-yougov-25647,1237,2016-09-21,2016-09-23,VA,45.0,10.0,37.0,4.0,2016-11-08
cbs-yougov-26014,997,2016-10-05,2016-10-07,OH,46.0,7.0,42.0,1.5,2016-11-08
cbs-yougov-26015,997,2016-10-05,2016-10-07,PA,48.0,5.5,40.0,2.0,2016-11-08
cbs-yougov-26016,993,2016-10-05,2016-10-07,WI,43.0,5.5,39.0,11.0,2016-11-08
cbs-yougov-26185,996,2016-10-12,2016-10-14,NV,46.0,9.0,40.0,2.0,2016-11-08
cbs-yougov-26187,951,2016-10-12,2016-10-14,UT,20.0,29.5,37.0,5.5,2016-11-08
cbs-yougov-26380,1042,2016-10-20,2016-10-21,FL,46.0,5.0,43.0,1.5,2016-11-08
cbs-yougov-26381,1031,2016-10-20,2016-10-21,TX,43.0,6.5,46.0,1.5,2016-11-08
cbs-yougov-26546,997,2016-10-26,2016-10-28,CO,42.0,9.0,39.0,2.5,2016-11-08
cbs-yougov-26547,1091,2016-10-26,2016-10-28,PA,48.0,7.5,40.0,1.0,2016-11-08
cbs-yougov-26548,992,2016-10-26,2016-10-28,NC,48.0,4.0,45.0,1.0,2016-11-08
cbs-yougov-26549,994,2016-10-26,2016-10-28,AZ,42.0,3.0,44.0,2.5,2016-11-08
cbs-yougov-26754,1189,2016-11-02,2016-11-04,OH,45.0,5.0,46.0,1.0,2016-11-08
cbs-yougov-26755,1188,2016-11-02,2016-11-04,FL,45.0,6.0,45.0,1.0,2016-11-08
cbs-yougov-26801,995,2016-11-03,2016-11-05,GA,43.0,5.0,49.0,3.0,2016-11-08
cbs-yougov-26802,931,2016-11-03,2016-11-05,PA,45.0,6.0,43.0,4.0,2016-11-08
cbs-yougov-26803,762,2016-11-03,2016-11-05,UT,23.0,32.5,40.0,4.0,2016-11-08
cherry-r-florida-chamber-of-commerce-22910,605,2015-09-16,2015-09-20,FL,42.0,0.0,41.0,0.0,2016-11-08
cherry-r-florida-chamber-of-commerce-25255,608,2016-08-17,2016-08-22,FL,42.0,13.5,44.0,4.5,2016-11-08
cherry-r-florida-chamber-of-commerce-25725,617,2016-09-15,2016-09-20,FL,43.0,10.0,41.0,3.0,2016-11-08
christopher-newport-22896,1067,2015-09-29,2015-10-08,VA,47.0,8.0,40.0,6.0,2016-11-08
christopher-newport-24242,1102,2016-03-23,2016-04-03,VA,44.0,14.0,35.0,4.0,2016-11-08
christopher-newport-25654,1003,2016-09-15,2016-09-23,VA,43.5,19.25,35.5,2.75,2016-11-08
christopher-newport-25828,892,2016-09-27,2016-09-30,VA,42.0,14.6666666667,35.0,1.5,2016-11-08
christopher-newport-26188,809,2016-10-11,2016-10-14,VA,44.0,14.6666666667,29.0,2.5,2016-11-08
christopher-newport-26351,834,2016-10-16,2016-10-19,VA,45.0,11.0,33.0,2.5,2016-11-08
christopher-newport-26515,814,2016-10-23,2016-10-26,VA,46.0,6.0,39.0,4.0,2016-11-08
