response_text	pollster_label	value	poll_slug	survey_house	start_date	end_date	question_text	sample_subpopulation	observations	margin_of_error	mode	partisanship	partisan_affiliation
Clinton	Clinton	31.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	409		Internet	Nonpartisan	None
Trump	Trump	48.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	409		Internet	Nonpartisan	None
Johnson	Johnson	12.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	409		Internet	Nonpartisan	None
Stein	Other	7.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	409		Internet	Nonpartisan	None
No answer	Undecided	3.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	409		Internet	Nonpartisan	None
Clinton	Clinton	41.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	308		Internet	Nonpartisan	None
Trump	Trump	53.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	308		Internet	Nonpartisan	None
Other	Undecided	7.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	308		Internet	Nonpartisan	None
Clinton	Clinton	31.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	382		Internet	Nonpartisan	None
Trump	Trump	47.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	382		Internet	Nonpartisan	None
Johnson	Johnson	13.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	382		Internet	Nonpartisan	None
Stein	Other	6.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	382		Internet	Nonpartisan	None
No answer	Undecided	3.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	382		Internet	Nonpartisan	None
Clinton	Clinton	33.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	369		Internet	Nonpartisan	None
Trump	Trump	46.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	369		Internet	Nonpartisan	None
Johnson	Johnson	13.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	369		Internet	Nonpartisan	None
Stein	Other	6.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	369		Internet	Nonpartisan	None
No answer	Undecided	3.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	369		Internet	Nonpartisan	None
Clinton	Clinton	35.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	334		Internet	Nonpartisan	None
Trump	Trump	46.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	334		Internet	Nonpartisan	None
