response_text	pollster_label	value	poll_slug	survey_house	start_date	end_date	question_text	sample_subpopulation	observations	margin_of_error	mode	partisanship	partisan_affiliation
Clinton	Clinton	36.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	1131		Internet	Nonpartisan	None
Trump	Trump	55.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	1131		Internet	Nonpartisan	None
Johnson	Other	6.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	1131		Internet	Nonpartisan	None
Stein	Other	2.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	1131		Internet	Nonpartisan	None
No answer	Undecided	2.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	1131		Internet	Nonpartisan	None
Clinton	Clinton	37.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	341		Internet	Nonpartisan	None
Trump	Trump	58.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	341		Internet	Nonpartisan	None
Other	Undecided	5.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	341		Internet	Nonpartisan	None
Clinton	Clinton	36.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	971		Internet	Nonpartisan	None
Trump	Trump	54.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	971		Internet	Nonpartisan	None
Johnson	Other	6.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	971		Internet	Nonpartisan	None
Stein	Other	2.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	971		Internet	Nonpartisan	None
No answer	Undecided	3.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	971		Internet	Nonpartisan	None
Clinton	Clinton	38.0	ipsos-reuters-26806	Ipsos/Reuters	2016-10-17	2016-11-06		Likely Voters	585		Internet	Nonpartisan	None
Trump	Trump	54.0	ipsos-reuters-26806	Ipsos/Reuters	2016-10-17	2016-11-06		Likely Voters	585		Internet	Nonpartisan	None
Don't Know/Other	Undecided	8.0	ipsos-reuters-26806	Ipsos/Reuters	2016-10-17	2016-11-06		Likely Voters	585		Internet	Nonpartisan	None
Clinton	Clinton	36.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	900		Internet	Nonpartisan	None
Trump	Trump	54.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	900		Internet	Nonpartisan	None
Johnson	Other	6.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	900		Internet	Nonpartisan	None
Stein	Other	1.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	900		Internet	Nonpartisan	None
No answer	Undecided	3.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	900		Internet	Nonpartisan	None
Clinton	Clinton	36.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	722		Internet	Nonpartisan	None
Trump	Trump	52.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	722		Internet	Nonpartisan	None
Johnson	Other	6.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	722		Internet	Nonpartisan	None
Stein	Other	2.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	722		Internet	Nonpartisan	None
