response_text	pollster_label	value	poll_slug	survey_house	start_date	end_date	question_text	sample_subpopulation	observations	margin_of_error	mode	partisanship	partisan_affiliation
Clinton	Clinton	45.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	2609		Internet	Nonpartisan	None
Trump	Trump	42.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	2609		Internet	Nonpartisan	None
Johnson	Johnson	7.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	2609		Internet	Nonpartisan	None
Stein	Other	3.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	2609		Internet	Nonpartisan	None
No answer	Undecided	3.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	2609		Internet	Nonpartisan	None
Donald Trump (R)	Trump	43.0	insights-west-26813	Insights West	2016-11-04	2016-11-06	As you may know, there will be a presidential election on Nov. 8. Which one of the following candidates would you be most likely to support on Election Day?	Likely Voters	392	4.9	Internet	Nonpartisan	None
Hillary Clinton (D)	Clinton	41.0	insights-west-26813	Insights West	2016-11-04	2016-11-06	As you may know, there will be a presidential election on Nov. 8. Which one of the following candidates would you be most likely to support on Election Day?	Likely Voters	392	4.9	Internet	Nonpartisan	None
Gary Johnson (L)	Johnson	5.0	insights-west-26813	Insights West	2016-11-04	2016-11-06	As you may know, there will be a presidential election on Nov. 8. Which one of the following candidates would you be most likely to support on Election Day?	Likely Voters	392	4.9	Internet	Nonpartisan	None
Jill Stein (G)	Other	2.0	insights-west-26813	Insights West	2016-11-04	2016-11-06	As you may know, there will be a presidential election on Nov. 8. Which one of the following candidates would you be most likely to support on Election Day?	Likely Voters	392	4.9	Internet	Nonpartisan	None
Some other candidate	Other	1.0	insights-west-26813	Insights West	2016-11-04	2016-11-06	As you may know, there will be a presidential election on Nov. 8. Which one of the following candidates would you be most likely to support on Election Day?	Likely Voters	392	4.9	Internet	Nonpartisan	None
Undecided	Undecided	8.0	insights-west-26813	Insights West	2016-11-04	2016-11-06	As you may know, there will be a presidential election on Nov. 8. Which one of the following candidates would you be most likely to support on Election Day?	Likely Voters	392	4.9	Internet	Nonpartisan	None
