response_text	pollster_label	value	poll_slug	survey_house	start_date	end_date	question_text	sample_subpopulation	observations	margin_of_error	mode	partisanship	partisan_affiliation
Clinton	Clinton	56.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	2712		Internet	Nonpartisan	None
Trump	Trump	31.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	2712		Internet	Nonpartisan	None
Johnson	Other	6.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	2712		Internet	Nonpartisan	None
Jill Stein	Other	5.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	2712		Internet	Nonpartisan	None
No answer	Undecided	2.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	2712		Internet	Nonpartisan	None
Hillary Clinton (D)	Clinton	54.0	insights-west-26815	Insights West	2016-11-04	2016-11-06	As you may know, there will be a presidential election on Nov. 8. Which one of the following candidates would you be most likely to support on Election Day?	Likely Voters	401	4.9	Internet	Nonpartisan	None
Donald Trump (R)	Trump	32.0	insights-west-26815	Insights West	2016-11-04	2016-11-06	As you may know, there will be a presidential election on Nov. 8. Which one of the following candidates would you be most likely to support on Election Day?	Likely Voters	401	4.9	Internet	Nonpartisan	None
Gary Johnson (L)	Other	3.0	insights-west-26815	Insights West	2016-11-04	2016-11-06	As you may know, there will be a presidential election on Nov. 8. Which one of the following candidates would you be most likely to support on Election Day?	Likely Voters	401	4.9	Internet	Nonpartisan	None
Jill Stein (G)	Other	2.0	insights-west-26815	Insights West	2016-11-04	2016-11-06	As you may know, there will be a presidential election on Nov. 8. Which one of the following candidates would you be most likely to support on Election Day?	Likely Voters	401	4.9	Internet	Nonpartisan	None
Some other candidate	Other	2.0	insights-west-26815	Insights West	2016-11-04	2016-11-06	As you may know, there will be a presidential election on Nov. 8. Which one of the following candidates would you be most likely to support on Election Day?	Likely Voters	401	4.9	Internet	Nonpartisan	None
Undecided	Undecided	7.0	insights-west-26815	Insights West	2016-11-04	2016-11-06	As you may know, there will be a presidential election on Nov. 8. Which one of the following candidates would you be most likely to support on Election Day?	Likely Voters	401	4.9	Internet	Nonpartisan	None
Clinton	Clinton	58.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	507		Internet	Nonpartisan	None
Trump	Trump	37.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	507		Internet	Nonpartisan	None
