response_text	pollster_label	value	poll_slug	survey_house	start_date	end_date	question_text	sample_subpopulation	observations	margin_of_error	mode	partisanship	partisan_affiliation
Clinton	Clinton	52.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	1387		Internet	Nonpartisan	None
Trump	Trump	36.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	1387		Internet	Nonpartisan	None
Johnson	Other	7.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	1387		Internet	Nonpartisan	None
Jill Stein	Other	2.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	1387		Internet	Nonpartisan	None
No answer	Undecided	3.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	1387		Internet	Nonpartisan	None
Clinton	Clinton	55.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	327		Internet	Nonpartisan	None
Trump	Trump	40.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	327		Internet	Nonpartisan	None
Other	Other	5.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	327		Internet	Nonpartisan	None
Clinton	Clinton	51.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	1173		Internet	Nonpartisan	None
Trump	Trump	37.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	1173		Internet	Nonpartisan	None
Johnson	Other	7.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	1173		Internet	Nonpartisan	None
Jill Stein	Other	3.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	1173		Internet	Nonpartisan	None
No answer	Undecided	2.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	1173		Internet	Nonpartisan	None
Clinton	Clinton	50.0	ipsos-reuters-26806	Ipsos/Reuters	2016-10-17	2016-11-06		Likely Voters	515		Internet	Nonpartisan	None
Trump	Trump	40.0	ipsos-reuters-26806	Ipsos/Reuters	2016-10-17	2016-11-06		Likely Voters	515		Internet	Nonpartisan	None
Don't Know/Other	Undecided	10.0	ipsos-reuters-26806	Ipsos/Reuters	2016-10-17	2016-11-06		Likely Voters	515		Internet	Nonpartisan	None
Clinton	Clinton	51.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	1114		Internet	Nonpartisan	None
Trump	Trump	37.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	1114		Internet	Nonpartisan	None
Johnson	Other	7.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	1114		Internet	Nonpartisan	None
Jill Stein	Other	3.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	1114		Internet	Nonpartisan	None
No answer	Undecided	2.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	1114		Internet	Nonpartisan	None
Clinton	Clinton	52.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	925		Internet	Nonpartisan	None
Trump	Trump	38.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	925		Internet	Nonpartisan	None
Johnson	Other	6.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	925		Internet	Nonpartisan	None
Jill Stein	Other	3.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	925		Internet	Nonpartisan	None
No answer	Undecided	2.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	925		Internet	Nonpartisan	None
Clinton	Clinton	49.0	ipsos-reuters-26743	Ipsos/Reuters	2016-10-14	2016-11-03		Likely Voters	516		Internet	Nonpartisan	None
Trump	Trump	41.0	ipsos-reuters-26743	Ipsos/Reuters	2016-10-14	2016-11-03		Likely Voters	516		Internet	Nonpartisan	None
Don't Know/Other	Undecided	10.0	ipsos-reuters-26743	Ipsos/Reuters	2016-10-14	2016-11-03		Likely Voters	516		Internet	Nonpartisan	None
Clinton	Clinton	52.0	surveymonkey-26660	SurveyMonkey	2016-10-27	2016-11-02		Likely Voters	753		Internet	Nonpartisan	None
Trump	Trump	38.0	surveymonkey-26660	SurveyMonkey	2016-10-27	2016-11-02		Likely Voters	753		Internet	Nonpartisan	None
Johnson	Other	6.0	surveymonkey-26660	SurveyMonkey	2016-10-27	2016-11-02		Likely Voters	753		Internet	Nonpartisan	None
Jill Stein	Other	3.0	surveymonkey-26660	SurveyMonkey	2016-10-27	2016-11-02		Likely Voters	753		Internet	Nonpartisan	None
No answer	Undecided	2.0	surveymonkey-26660	SurveyMonkey	2016-10-27	2016-11-02		Likely Voters	753		Internet	Nonpartisan	None
Clinton	Clinton	51.0	surveymonkey-26619	SurveyMonkey	2016-10-26	2016-11-01		Likely Voters	616		Internet	Nonpartisan	None
Trump	Trump	38.0	surveymonkey-26619	SurveyMonkey	2016-10-26	2016-11-01		Likely Voters	616		Internet	Nonpartisan	None
Johnson	Other	6.0	surveymonkey-26619	SurveyMonkey	2016-10-26	2016-11-01		Likely Voters	616		Internet	Nonpartisan	None
Jill Stein	Other	3.0	surveymonkey-26619	SurveyMonkey	2016-10-26	2016-11-01		Likely Voters	616		Internet	Nonpartisan	None
No answer	Undecided	2.0	surveymonkey-26619	SurveyMonkey	2016-10-26	2016-11-01		Likely Voters	616		Internet	Nonpartisan	None
Clinton	Clinton	51.0	surveymonkey-26596	SurveyMonkey	2016-10-25	2016-10-31		Likely Voters	554		Internet	Nonpartisan	None
Trump	Trump	39.0	surveymonkey-26596	SurveyMonkey	2016-10-25	2016-10-31		Likely Voters	554		Internet	Nonpartisan	None
Johnson	Other	5.0	surveymonkey-26596	SurveyMonkey	2016-10-25	2016-10-31		Likely Voters	554		Internet	Nonpartisan	None
Jill Stein	Other	4.0	surveymonkey-26596	SurveyMonkey	2016-10-25	2016-10-31		Likely Voters	554		Internet	Nonpartisan	None
No answer	Undecided	2.0	surveymonkey-26596	SurveyMonkey	2016-10-25	2016-10-31		Likely Voters	554		Internet	Nonpartisan	None
Clinton	Clinton	51.0	surveymonkey-26572	SurveyMonkey	2016-10-24	2016-10-30		Likely Voters	488		Internet	Nonpartisan	None
Trump	Trump	39.0	surveymonkey-26572	SurveyMonkey	2016-10-24	2016-10-30		Likely Voters	488		Internet	Nonpartisan	None
Johnson	Other	4.0	surveymonkey-26572	SurveyMonkey	2016-10-24	2016-10-30		Likely Voters	488		Internet	Nonpartisan	None
Jill Stein	Other	3.0	surveymonkey-26572	SurveyMonkey	2016-10-24	2016-10-30		Likely Voters	488		Internet	Nonpartisan	None
No answer	Undecided	2.0	surveymonkey-26572	SurveyMonkey	2016-10-24	2016-10-30		Likely Voters	488		Internet	Nonpartisan	None
Clinton	Clinton	54.0	upi-cvoter-26592	UPI/CVOTER	2016-10-23	2016-10-29		Likely Voters	326		Internet	Nonpartisan	None
Trump	Trump	43.0	upi-cvoter-26592	UPI/CVOTER	2016-10-23	2016-10-29		Likely Voters	326		Internet	Nonpartisan	None
Other	Other	3.0	upi-cvoter-26592	UPI/CVOTER	2016-10-23	2016-10-29		Likely Voters	326		Internet	Nonpartisan	None
Clinton	Clinton	51.0	surveymonkey-26537	SurveyMonkey	2016-10-20	2016-10-28		Likely Voters	568		Internet	Nonpartisan	None
Trump	Trump	38.0	surveymonkey-26537	SurveyMonkey	2016-10-20	2016-10-28		Likely Voters	568		Internet	Nonpartisan	None
Johnson	Other	6.0	surveymonkey-26537	SurveyMonkey	2016-10-20	2016-10-28		Likely Voters	568		Internet	Nonpartisan	None
Jill Stein	Other	3.0	surveymonkey-26537	SurveyMonkey	2016-10-20	2016-10-28		Likely Voters	568		Internet	Nonpartisan	None
No answer	Undecided	2.0	surveymonkey-26537	SurveyMonkey	2016-10-20	2016-10-28		Likely Voters	568		Internet	Nonpartisan	None
Clinton	Clinton	51.0	ipsos-reuters-26585	Ipsos/Reuters	2016-10-07	2016-10-27		Likely Voters	640		Internet	Nonpartisan	None
Trump	Trump	36.0	ipsos-reuters-26585	Ipsos/Reuters	2016-10-07	2016-10-27		Likely Voters	640		Internet	Nonpartisan	None
Don't Know/Other	Undecided	13.0	ipsos-reuters-26585	Ipsos/Reuters	2016-10-07	2016-10-27		Likely Voters	640		Internet	Nonpartisan	None
Clinton	Clinton	51.0	surveymonkey-26499	SurveyMonkey	2016-10-18	2016-10-26		Likely Voters	614		Internet	Nonpartisan	None
Trump	Trump	36.0	surveymonkey-26499	SurveyMonkey	2016-10-18	2016-10-26		Likely Voters	614		Internet	Nonpartisan	None
Johnson	Other	7.0	surveymonkey-26499	SurveyMonkey	2016-10-18	2016-10-26		Likely Voters	614		Internet	Nonpartisan	None
Jill Stein	Other	4.0	surveymonkey-26499	SurveyMonkey	2016-10-18	2016-10-26		Likely Voters	614		Internet	Nonpartisan	None
No answer	Undecided	2.0	surveymonkey-26499	SurveyMonkey	2016-10-18	2016-10-26		Likely Voters	614		Internet	Nonpartisan	None
Clinton	Clinton	50.0	surveymonkey-26441	SurveyMonkey	2016-10-18	2016-10-24		Likely Voters	515		Internet	Nonpartisan	None
Trump	Trump	36.0	surveymonkey-26441	SurveyMonkey	2016-10-18	2016-10-24		Likely Voters	515		Internet	Nonpartisan	None
Johnson	Other	7.0	surveymonkey-26441	SurveyMonkey	2016-10-18	2016-10-24		Likely Voters	515		Internet	Nonpartisan	None
Jill Stein	Other	4.0	surveymonkey-26441	SurveyMonkey	2016-10-18	2016-10-24		Likely Voters	515		Internet	Nonpartisan	None
No answer	Undecided	2.0	surveymonkey-26441	SurveyMonkey	2016-10-18	2016-10-24		Likely Voters	515		Internet	Nonpartisan	None
Clinton	Clinton	51.0	surveymonkey-26431	SurveyMonkey	2016-10-17	2016-10-23		Likely Voters	428		Internet	Nonpartisan	None
Trump	Trump	36.0	surveymonkey-26431	SurveyMonkey	2016-10-17	2016-10-23		Likely Voters	428		Internet	Nonpartisan	None
Johnson	Other	8.0	surveymonkey-26431	SurveyMonkey	2016-10-17	2016-10-23		Likely Voters	428		Internet	Nonpartisan	None
Jill Stein	Other	4.0	surveymonkey-26431	SurveyMonkey	2016-10-17	2016-10-23		Likely Voters	428		Internet	Nonpartisan	None
