response_text	pollster_label	value	poll_slug	survey_house	start_date	end_date	question_text	sample_subpopulation	observations	margin_of_error	mode	partisanship	partisan_affiliation
Clinton	Clinton	85.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	310		Internet	Nonpartisan	None
Trump	Trump	7.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	310		Internet	Nonpartisan	None
Johnson	Other	2.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	310		Internet	Nonpartisan	None
Jill Stein	Other	4.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	310		Internet	Nonpartisan	None
No answer	Undecided	2.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	310		Internet	Nonpartisan	None
Clinton	Clinton	92.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	312		Internet	Nonpartisan	None
Trump	Trump	6.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	312		Internet	Nonpartisan	None
Other	Undecided	3.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	312		Internet	Nonpartisan	None
Clinton	Clinton	88.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	315		Internet	Nonpartisan	None
Trump	Trump	7.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	315		Internet	Nonpartisan	None
Johnson	Other	2.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	315		Internet	Nonpartisan	None
Jill Stein	Other	3.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	315		Internet	Nonpartisan	None
No answer	Undecided	1.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	315		Internet	Nonpartisan	None
Clinton	Clinton	87.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	336		Internet	Nonpartisan	None
Trump	Trump	6.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	336		Internet	Nonpartisan	None
Johnson	Other	2.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	336		Internet	Nonpartisan	None
Jill Stein	Other	3.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	336		Internet	Nonpartisan	None
No answer	Undecided	1.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	336		Internet	Nonpartisan	None
Clinton	Clinton	85.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	324		Internet	Nonpartisan	None
Trump	Trump	5.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	324		Internet	Nonpartisan	None
Johnson	Other	3.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	324		Internet	Nonpartisan	None
Jill Stein	Other	5.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	324		Internet	Nonpartisan	None
No answer	Undecided	1.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	324		Internet	Nonpartisan	None
