response_text	pollster_label	value	poll_slug	survey_house	start_date	end_date	question_text	sample_subpopulation	observations	margin_of_error	mode	partisanship	partisan_affiliation
Clinton	Clinton	50.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	367		Internet	Nonpartisan	None
Trump	Trump	39.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	367		Internet	Nonpartisan	None
Johnson	Other	6.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	367		Internet	Nonpartisan	None
Jill Stein	Other	2.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	367		Internet	Nonpartisan	None
No answer	Undecided	3.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	367		Internet	Nonpartisan	None
Clinton	Clinton	54.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	307		Internet	Nonpartisan	None
Trump	Trump	42.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	307		Internet	Nonpartisan	None
Other	Other	4.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	307		Internet	Nonpartisan	None
Clinton	Clinton	49.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	383		Internet	Nonpartisan	None
Trump	Trump	39.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	383		Internet	Nonpartisan	None
Johnson	Other	7.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	383		Internet	Nonpartisan	None
Jill Stein	Other	2.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	383		Internet	Nonpartisan	None
No answer	Undecided	3.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	383		Internet	Nonpartisan	None
Clinton	Clinton	51.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	398		Internet	Nonpartisan	None
Trump	Trump	36.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	398		Internet	Nonpartisan	None
Johnson	Other	8.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	398		Internet	Nonpartisan	None
Jill Stein	Other	2.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	398		Internet	Nonpartisan	None
No answer	Undecided	3.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	398		Internet	Nonpartisan	None
Clinton	Clinton	50.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	405		Internet	Nonpartisan	None
Trump	Trump	36.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	405		Internet	Nonpartisan	None
Johnson	Other	8.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	405		Internet	Nonpartisan	None
Jill Stein	Other	2.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	405		Internet	Nonpartisan	None
No answer	Undecided	3.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	405		Internet	Nonpartisan	None
Clinton	Clinton	50.0	surveymonkey-26660	SurveyMonkey	2016-10-27	2016-11-02		Likely Voters	397		Internet	Nonpartisan	None
Trump	Trump	36.0	surveymonkey-26660	SurveyMonkey	2016-10-27	2016-11-02		Likely Voters	397		Internet	Nonpartisan	None
Johnson	Other	7.0	surveymonkey-26660	SurveyMonkey	2016-10-27	2016-11-02		Likely Voters	397		Internet	Nonpartisan	None
Jill Stein	Other	3.0	surveymonkey-26660	SurveyMonkey	2016-10-27	2016-11-02		Likely Voters	397		Internet	Nonpartisan	None
No answer	Undecided	4.0	surveymonkey-26660	SurveyMonkey	2016-10-27	2016-11-02		Likely Voters	397		Internet	Nonpartisan	None
Clinton	Clinton	50.0	surveymonkey-26619	SurveyMonkey	2016-10-26	2016-11-01		Likely Voters	413		Internet	Nonpartisan	None
Trump	Trump	38.0	surveymonkey-26619	SurveyMonkey	2016-10-26	2016-11-01		Likely Voters	413		Internet	Nonpartisan	None
Johnson	Other	6.0	surveymonkey-26619	SurveyMonkey	2016-10-26	2016-11-01		Likely Voters	413		Internet	Nonpartisan	None
Jill Stein	Other	2.0	surveymonkey-26619	SurveyMonkey	2016-10-26	2016-11-01		Likely Voters	413		Internet	Nonpartisan	None
No answer	Undecided	5.0	surveymonkey-26619	SurveyMonkey	2016-10-26	2016-11-01		Likely Voters	413		Internet	Nonpartisan	None
Clinton	Clinton	50.0	surveymonkey-26596	SurveyMonkey	2016-10-25	2016-10-31		Likely Voters	458		Internet	Nonpartisan	None
Trump	Trump	38.0	surveymonkey-26596	SurveyMonkey	2016-10-25	2016-10-31		Likely Voters	458		Internet	Nonpartisan	None
Johnson	Other	6.0	surveymonkey-26596	SurveyMonkey	2016-10-25	2016-10-31		Likely Voters	458		Internet	Nonpartisan	None
Jill Stein	Other	3.0	surveymonkey-26596	SurveyMonkey	2016-10-25	2016-10-31		Likely Voters	458		Internet	Nonpartisan	None
No answer	Undecided	4.0	surveymonkey-26596	SurveyMonkey	2016-10-25	2016-10-31		Likely Voters	458		Internet	Nonpartisan	None
Clinton	Clinton	51.0	surveymonkey-26572	SurveyMonkey	2016-10-24	2016-10-30		Likely Voters	429		Internet	Nonpartisan	None
Trump	Trump	38.0	surveymonkey-26572	SurveyMonkey	2016-10-24	2016-10-30		Likely Voters	429		Internet	Nonpartisan	None
Johnson	Other	6.0	surveymonkey-26572	SurveyMonkey	2016-10-24	2016-10-30		Likely Voters	429		Internet	Nonpartisan	None
Jill Stein	Other	2.0	surveymonkey-26572	SurveyMonkey	2016-10-24	2016-10-30		Likely Voters	429		Internet	Nonpartisan	None
No answer	Undecided	3.0	surveymonkey-26572	SurveyMonkey	2016-10-24	2016-10-30		Likely Voters	429		Internet	Nonpartisan	None
Clinton	Clinton	55.0	upi-cvoter-26592	UPI/CVOTER	2016-10-23	2016-10-29		Likely Voters	308		Internet	Nonpartisan	None
Trump	Trump	42.0	upi-cvoter-26592	UPI/CVOTER	2016-10-23	2016-10-29		Likely Voters	308		Internet	Nonpartisan	None
Other	Other	3.0	upi-cvoter-26592	UPI/CVOTER	2016-10-23	2016-10-29		Likely Voters	308		Internet	Nonpartisan	None
Clinton	Clinton	52.0	surveymonkey-26537	SurveyMonkey	2016-10-20	2016-10-28		Likely Voters	548		Internet	Nonpartisan	None
Trump	Trump	36.0	surveymonkey-26537	SurveyMonkey	2016-10-20	2016-10-28		Likely Voters	548		Internet	Nonpartisan	None
Johnson	Other	7.0	surveymonkey-26537	SurveyMonkey	2016-10-20	2016-10-28		Likely Voters	548		Internet	Nonpartisan	None
Jill Stein	Other	2.0	surveymonkey-26537	SurveyMonkey	2016-10-20	2016-10-28		Likely Voters	548		Internet	Nonpartisan	None
No answer	Undecided	3.0	surveymonkey-26537	SurveyMonkey	2016-10-20	2016-10-28		Likely Voters	548		Internet	Nonpartisan	None
Clinton	Clinton	53.0	surveymonkey-26499	SurveyMonkey	2016-10-18	2016-10-26		Likely Voters	581		Internet	Nonpartisan	None
Trump	Trump	34.0	surveymonkey-26499	SurveyMonkey	2016-10-18	2016-10-26		Likely Voters	581		Internet	Nonpartisan	None
Johnson	Other	8.0	surveymonkey-26499	SurveyMonkey	2016-10-18	2016-10-26		Likely Voters	581		Internet	Nonpartisan	None
Jill Stein	Other	3.0	surveymonkey-26499	SurveyMonkey	2016-10-18	2016-10-26		Likely Voters	581		Internet	Nonpartisan	None
No answer	Undecided	2.0	surveymonkey-26499	SurveyMonkey	2016-10-18	2016-10-26		Likely Voters	581		Internet	Nonpartisan	None
Clinton	Clinton	52.0	surveymonkey-26441	SurveyMonkey	2016-10-18	2016-10-24		Likely Voters	528		Internet	Nonpartisan	None
Trump	Trump	34.0	surveymonkey-26441	SurveyMonkey	2016-10-18	2016-10-24		Likely Voters	528		Internet	Nonpartisan	None
Johnson	Other	9.0	surveymonkey-26441	SurveyMonkey	2016-10-18	2016-10-24		Likely Voters	528		Internet	Nonpartisan	None
Jill Stein	Other	3.0	surveymonkey-26441	SurveyMonkey	2016-10-18	2016-10-24		Likely Voters	528		Internet	Nonpartisan	None
No answer	Undecided	2.0	surveymonkey-26441	SurveyMonkey	2016-10-18	2016-10-24		Likely Voters	528		Internet	Nonpartisan	None
Clinton	Clinton	53.0	surveymonkey-26431	SurveyMonkey	2016-10-17	2016-10-23		Likely Voters	444		Internet	Nonpartisan	None
Trump	Trump	34.0	surveymonkey-26431	SurveyMonkey	2016-10-17	2016-10-23		Likely Voters	444		Internet	Nonpartisan	None
Johnson	Other	9.0	surveymonkey-26431	SurveyMonkey	2016-10-17	2016-10-23		Likely Voters	444		Internet	Nonpartisan	None
Jill Stein	Other	3.0	surveymonkey-26431	SurveyMonkey	2016-10-17	2016-10-23		Likely Voters	444		Internet	Nonpartisan	None
No answer	Undecided	2.0	surveymonkey-26431	SurveyMonkey	2016-10-17	2016-10-23		Likely Voters	444		Internet	Nonpartisan	None
Clinton	Clinton	56.0	upi-cvoter-26409	UPI/CVOTER	2016-10-16	2016-10-23		Likely Voters	305		Internet	Nonpartisan	None
Trump	Trump	42.0	upi-cvoter-26409	UPI/CVOTER	2016-10-16	2016-10-23		Likely Voters	305		Internet	Nonpartisan	None
Other	Other	3.0	upi-cvoter-26409	UPI/CVOTER	2016-10-16	2016-10-23		Likely Voters	305		Internet	Nonpartisan	None
Clinton	Clinton	56.0	upi-cvoter-26295	UPI/CVOTER	2016-10-09	2016-10-16		Likely Voters	315		Internet	Nonpartisan	None
Trump	Trump	42.0	upi-cvoter-26295	UPI/CVOTER	2016-10-09	2016-10-16		Likely Voters	315		Internet	Nonpartisan	None
Other	Other	3.0	upi-cvoter-26295	UPI/CVOTER	2016-10-09	2016-10-16		Likely Voters	315		Internet	Nonpartisan	None
Clinton	Clinton	55.0	upi-cvoter-26029	UPI/CVOTER	2016-10-02	2016-10-09		Likely Voters	312		Internet	Nonpartisan	None
Trump	Trump	41.0	upi-cvoter-26029	UPI/CVOTER	2016-10-02	2016-10-09		Likely Voters	312		Internet	Nonpartisan	None
Other	Other	3.0	upi-cvoter-26029	UPI/CVOTER	2016-10-02	2016-10-09		Likely Voters	312		Internet	Nonpartisan	None
Clinton	Clinton	54.0	upi-cvoter-25905	UPI/CVOTER	2016-09-19	2016-10-02		Likely Voters	475		Internet	Nonpartisan	None
Trump	Trump	43.0	upi-cvoter-25905	UPI/CVOTER	2016-09-19	2016-10-02		Likely Voters	475		Internet	Nonpartisan	None
Other	Other	3.0	upi-cvoter-25905	UPI/CVOTER	2016-09-19	2016-10-02		Likely Voters	475		Internet	Nonpartisan	None
Hillary Clinton	Clinton	51.0	university-of-delaware-psrai-25891	University of Delaware/PSRAI	2016-09-16	2016-09-28	If the presidential election were being held today and the candidates were Hillary Clinton the Democrat, Donald Trump the Republican, Gary Johnson the Libertarian, and Jill Stein of the Green Party, who would you vote for?	Likely Voters	762	4.1	Live Phone	Nonpartisan	None
Donald Trump	Trump	30.0	university-of-delaware-psrai-25891	University of Delaware/PSRAI	2016-09-16	2016-09-28	If the presidential election were being held today and the candidates were Hillary Clinton the Democrat, Donald Trump the Republican, Gary Johnson the Libertarian, and Jill Stein of the Green Party, who would you vote for?	Likely Voters	762	4.1	Live Phone	Nonpartisan	None
Gary Johnson	Other	7.0	university-of-delaware-psrai-25891	University of Delaware/PSRAI	2016-09-16	2016-09-28	If the presidential election were being held today and the candidates were Hillary Clinton the Democrat, Donald Trump the Republican, Gary Johnson the Libertarian, and Jill Stein of the Green Party, who would you vote for?	Likely Voters	762	4.1	Live Phone	Nonpartisan	None
Jill Stein	Other	2.0	university-of-delaware-psrai-25891	University of Delaware/PSRAI	2016-09-16	2016-09-28	If the presidential election were being held today and the candidates were Hillary Clinton the Democrat, Donald Trump the Republican, Gary Johnson the Libertarian, and Jill Stein of the Green Party, who would you vote for?	Likely Voters	762	4.1	Live Phone	Nonpartisan	None
