response_text	pollster_label	value	poll_slug	survey_house	start_date	end_date	question_text	sample_subpopulation	observations	margin_of_error	mode	partisanship	partisan_affiliation
Clinton	Clinton	45.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	2419		Internet	Nonpartisan	None
Trump	Trump	45.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	2419		Internet	Nonpartisan	None
Johnson	Johnson	7.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	2419		Internet	Nonpartisan	None
No answer	Undecided	3.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	2419		Internet	Nonpartisan	None
Donald Trump, the Republican	Trump	49.0	landmark-r-rosetta-stone-26789	Landmark (R)/Rosetta Stone	2016-11-06	2016-11-06	If the election for President of the United States were held today and the candidates were Donald Trump, the Republican, Hillary Clinton, the Democrat, and Gary Johnson, the Libertarian, for whom would you vote?	Likely Voters	1200	2.8	IVR/Online	Pollster	Rep
Hillary Clinton, the Democrat	Clinton	46.0	landmark-r-rosetta-stone-26789	Landmark (R)/Rosetta Stone	2016-11-06	2016-11-06	If the election for President of the United States were held today and the candidates were Donald Trump, the Republican, Hillary Clinton, the Democrat, and Gary Johnson, the Libertarian, for whom would you vote?	Likely Voters	1200	2.8	IVR/Online	Pollster	Rep
Gary Johnson, the Libertarian	Johnson	3.0	landmark-r-rosetta-stone-26789	Landmark (R)/Rosetta Stone	2016-11-06	2016-11-06	If the election for President of the United States were held today and the candidates were Donald Trump, the Republican, Hillary Clinton, the Democrat, and Gary Johnson, the Libertarian, for whom would you vote?	Likely Voters	1200	2.8	IVR/Online	Pollster	Rep
Undecided or no opinion	Undecided	2.0	landmark-r-rosetta-stone-26789	Landmark (R)/Rosetta Stone	2016-11-06	2016-11-06	If the election for President of the United States were held today and the candidates were Donald Trump, the Republican, Hillary Clinton, the Democrat, and Gary Johnson, the Libertarian, for whom would you vote?	Likely Voters	1200	2.8	IVR/Online	Pollster	Rep
Clinton	Clinton	44.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	366		Internet	Nonpartisan	None
Trump	Trump	50.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	366		Internet	Nonpartisan	None
Other	Other	6.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	366		Internet	Nonpartisan	None
