response_text	pollster_label	value	poll_slug	survey_house	start_date	end_date	question_text	sample_subpopulation	observations	margin_of_error	mode	partisanship	partisan_affiliation
Clinton	Clinton	38.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	1781		Internet	Nonpartisan	None
Trump	Trump	47.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	1781		Internet	Nonpartisan	None
Johnson	Johnson	9.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	1781		Internet	Nonpartisan	None
Stein	Other	3.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	1781		Internet	Nonpartisan	None
No answer	Other	4.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	1781		Internet	Nonpartisan	None
Clinton	Clinton	47.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	342		Internet	Nonpartisan	None
Trump	Trump	48.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	342		Internet	Nonpartisan	None
Other	Other	6.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	342		Internet	Nonpartisan	None
Clinton	Clinton	37.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	1598		Internet	Nonpartisan	None
Trump	Trump	47.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	1598		Internet	Nonpartisan	None
Johnson	Johnson	9.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	1598		Internet	Nonpartisan	None
Stein	Other	3.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	1598		Internet	Nonpartisan	None
No answer	Other	3.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	1598		Internet	Nonpartisan	None
Clinton	Clinton	44.0	ipsos-reuters-26806	Ipsos/Reuters	2016-10-17	2016-11-06		Likely Voters	595		Internet	Nonpartisan	None
Trump	Trump	44.0	ipsos-reuters-26806	Ipsos/Reuters	2016-10-17	2016-11-06		Likely Voters	595		Internet	Nonpartisan	None
