response_text	pollster_label	value	poll_slug	survey_house	start_date	end_date	question_text	sample_subpopulation	observations	margin_of_error	mode	partisanship	partisan_affiliation
Clinton	Clinton	29.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	612		Internet	Nonpartisan	None
Trump	Trump	47.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	612		Internet	Nonpartisan	None
Johnson	Johnson	6.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	612		Internet	Nonpartisan	None
Jill Stein	Other	4.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	612		Internet	Nonpartisan	None
McMullin 	McMullin	11.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	612		Internet	Nonpartisan	None
No answer	Undecided	2.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	612		Internet	Nonpartisan	None
Clinton	Clinton	33.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	322		Internet	Nonpartisan	None
Trump	Trump	60.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	322		Internet	Nonpartisan	None
Don't Know/Other	Undecided	7.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	322		Internet	Nonpartisan	None
Clinton	Clinton	29.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	557		Internet	Nonpartisan	None
Trump	Trump	47.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	557		Internet	Nonpartisan	None
Johnson	Johnson	7.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	557		Internet	Nonpartisan	None
Jill Stein	Other	3.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	557		Internet	Nonpartisan	None
McMullin 	McMullin	12.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	557		Internet	Nonpartisan	None
No answer	Undecided	2.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	557		Internet	Nonpartisan	None
Clinton	Clinton	30.0	ipsos-reuters-26806	Ipsos/Reuters	2016-10-17	2016-11-06		Likely Voters	325		Internet	Nonpartisan	None
Trump	Trump	53.0	ipsos-reuters-26806	Ipsos/Reuters	2016-10-17	2016-11-06		Likely Voters	325		Internet	Nonpartisan	None
Don't Know/Other	Undecided	17.0	ipsos-reuters-26806	Ipsos/Reuters	2016-10-17	2016-11-06		Likely Voters	325		Internet	Nonpartisan	None
Clinton	Clinton	30.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	556		Internet	Nonpartisan	None
