response_text	pollster_label	value	poll_slug	survey_house	start_date	end_date	question_text	sample_subpopulation	observations	margin_of_error	mode	partisanship	partisan_affiliation
Clinton	Clinton	52.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	1823		Internet	Nonpartisan	None
Trump	Trump	35.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	1823		Internet	Nonpartisan	None
Johnson	Other	6.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	1823		Internet	Nonpartisan	None
Stein	Other	4.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	1823		Internet	Nonpartisan	None
No answer	Undecided	2.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	1823		Internet	Nonpartisan	None
Clinton	Clinton	54.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	403		Internet	Nonpartisan	None
Trump	Trump	40.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	403		Internet	Nonpartisan	None
Other	Other	6.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	403		Internet	Nonpartisan	None
Clinton	Clinton	52.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	1505		Internet	Nonpartisan	None
Trump	Trump	35.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	1505		Internet	Nonpartisan	None
Johnson	Other	7.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	1505		Internet	Nonpartisan	None
Stein	Other	4.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	1505		Internet	Nonpartisan	None
No answer	Undecided	2.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	1505		Internet	Nonpartisan	None
Clinton	Clinton	51.0	ipsos-reuters-26806	Ipsos/Reuters	2016-10-17	2016-11-06		Likely Voters	781		Internet	Nonpartisan	None
Trump	Trump	39.0	ipsos-reuters-26806	Ipsos/Reuters	2016-10-17	2016-11-06		Likely Voters	781		Internet	Nonpartisan	None
Don't Know/Other	Undecided	10.0	ipsos-reuters-26806	Ipsos/Reuters	2016-10-17	2016-11-06		Likely Voters	781		Internet	Nonpartisan	None
Clinton	Clinton	53.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	1397		Internet	Nonpartisan	None
Trump	Trump	36.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	1397		Internet	Nonpartisan	None
Johnson	Other	7.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	1397		Internet	Nonpartisan	None
