response_text	pollster_label	value	poll_slug	survey_house	start_date	end_date	question_text	sample_subpopulation	observations	margin_of_error	mode	partisanship	partisan_affiliation
Clinton	Clinton	35.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	1700		Internet	Nonpartisan	None
Trump	Trump	52.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	1700		Internet	Nonpartisan	None
Johnson	Johnson	10.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	1700		Internet	Nonpartisan	None
No answer	Undecided	3.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	1700		Internet	Nonpartisan	None
Clinton	Clinton	43.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	338		Internet	Nonpartisan	None
Trump	Trump	51.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	338		Internet	Nonpartisan	None
Other	Other	6.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	338		Internet	Nonpartisan	None
Clinton	Clinton	35.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	1383		Internet	Nonpartisan	None
Trump	Trump	52.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	1383		Internet	Nonpartisan	None
Johnson	Johnson	10.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	1383		Internet	Nonpartisan	None
No answer	Undecided	3.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	1383		Internet	Nonpartisan	None
Clinton	Clinton	38.0	ipsos-reuters-26806	Ipsos/Reuters	2016-10-17	2016-11-06		Likely Voters	541		Internet	Nonpartisan	None
Trump	Trump	54.0	ipsos-reuters-26806	Ipsos/Reuters	2016-10-17	2016-11-06		Likely Voters	541		Internet	Nonpartisan	None
Don't Know/Other	Undecided	8.0	ipsos-reuters-26806	Ipsos/Reuters	2016-10-17	2016-11-06		Likely Voters	541		Internet	Nonpartisan	None
Clinton	Clinton	35.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	1253		Internet	Nonpartisan	None
Trump	Trump	53.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	1253		Internet	Nonpartisan	None
