response_text	pollster_label	value	poll_slug	survey_house	start_date	end_date	question_text	sample_subpopulation	observations	margin_of_error	mode	partisanship	partisan_affiliation
Clinton	Clinton	36.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	1311		Internet	Nonpartisan	None
Trump	Trump	49.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	1311		Internet	Nonpartisan	None
Johnson	Other	9.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	1311		Internet	Nonpartisan	None
Stein	Other	4.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	1311		Internet	Nonpartisan	None
No answer	Undecided	2.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	1311		Internet	Nonpartisan	None
Clinton	Clinton	39.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	328		Internet	Nonpartisan	None
Trump	Trump	54.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	328		Internet	Nonpartisan	None
Other	Other	8.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	328		Internet	Nonpartisan	None
Clinton	Clinton	36.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	1139		Internet	Nonpartisan	None
Trump	Trump	48.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	1139		Internet	Nonpartisan	None
Johnson	Other	10.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	1139		Internet	Nonpartisan	None
Stein	Other	4.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	1139		Internet	Nonpartisan	None
No answer	Undecided	2.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	1139		Internet	Nonpartisan	None
Clinton	Clinton	38.0	ipsos-reuters-26806	Ipsos/Reuters	2016-10-17	2016-11-06		Likely Voters	519		Internet	Nonpartisan	None
Trump	Trump	54.0	ipsos-reuters-26806	Ipsos/Reuters	2016-10-17	2016-11-06		Likely Voters	519		Internet	Nonpartisan	None
Don't Know/Other	Undecided	8.0	ipsos-reuters-26806	Ipsos/Reuters	2016-10-17	2016-11-06		Likely Voters	519		Internet	Nonpartisan	None
Clinton	Clinton	36.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	1193		Internet	Nonpartisan	None
Trump	Trump	48.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	1193		Internet	Nonpartisan	None
Johnson	Other	10.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	1193		Internet	Nonpartisan	None
Stein	Other	4.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	1193		Internet	Nonpartisan	None
No answer	Undecided	2.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	1193		Internet	Nonpartisan	None
Donald Trump	Trump	58.0	fort-hays-state-university-26729	Fort Hays State University	2016-11-01	2016-11-03	If the Presidential election were held today, who would you be most likely to vote for?	Likely Voters	313	5.5	Live Phone	Nonpartisan	None
Hillary Clinton	Clinton	34.0	fort-hays-state-university-26729	Fort Hays State University	2016-11-01	2016-11-03	If the Presidential election were held today, who would you be most likely to vote for?	Likely Voters	313	5.5	Live Phone	Nonpartisan	None
Gary Johnson	Other	8.0	fort-hays-state-university-26729	Fort Hays State University	2016-11-01	2016-11-03	If the Presidential election were held today, who would you be most likely to vote for?	Likely Voters	313	5.5	Live Phone	Nonpartisan	None
Jill Stein	Other	1.0	fort-hays-state-university-26729	Fort Hays State University	2016-11-01	2016-11-03	If the Presidential election were held today, who would you be most likely to vote for?	Likely Voters	313	5.5	Live Phone	Nonpartisan	None
Clinton	Clinton	36.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	1162		Internet	Nonpartisan	None
Trump	Trump	49.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	1162		Internet	Nonpartisan	None
Johnson	Other	10.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	1162		Internet	Nonpartisan	None
Stein	Other	4.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	1162		Internet	Nonpartisan	None
No answer	Undecided	2.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	1162		Internet	Nonpartisan	None
Clinton	Clinton	38.0	ipsos-reuters-26743	Ipsos/Reuters	2016-10-14	2016-11-03		Likely Voters	502		Internet	Nonpartisan	None
Trump	Trump	53.0	ipsos-reuters-26743	Ipsos/Reuters	2016-10-14	2016-11-03		Likely Voters	502		Internet	Nonpartisan	None
Don't Know/Other	Undecided	9.0	ipsos-reuters-26743	Ipsos/Reuters	2016-10-14	2016-11-03		Likely Voters	502		Internet	Nonpartisan	None
Clinton	Clinton	37.0	surveymonkey-26660	SurveyMonkey	2016-10-27	2016-11-02		Likely Voters	1123		Internet	Nonpartisan	None
Trump	Trump	48.0	surveymonkey-26660	SurveyMonkey	2016-10-27	2016-11-02		Likely Voters	1123		Internet	Nonpartisan	None
Johnson	Other	10.0	surveymonkey-26660	SurveyMonkey	2016-10-27	2016-11-02		Likely Voters	1123		Internet	Nonpartisan	None
Stein	Other	3.0	surveymonkey-26660	SurveyMonkey	2016-10-27	2016-11-02		Likely Voters	1123		Internet	Nonpartisan	None
No answer	Undecided	2.0	surveymonkey-26660	SurveyMonkey	2016-10-27	2016-11-02		Likely Voters	1123		Internet	Nonpartisan	None
Clinton	Clinton	37.0	surveymonkey-26619	SurveyMonkey	2016-10-26	2016-11-01		Likely Voters	1164		Internet	Nonpartisan	None
Trump	Trump	48.0	surveymonkey-26619	SurveyMonkey	2016-10-26	2016-11-01		Likely Voters	1164		Internet	Nonpartisan	None
Johnson	Other	10.0	surveymonkey-26619	SurveyMonkey	2016-10-26	2016-11-01		Likely Voters	1164		Internet	Nonpartisan	None
Stein	Other	3.0	surveymonkey-26619	SurveyMonkey	2016-10-26	2016-11-01		Likely Voters	1164		Internet	Nonpartisan	None
No answer	Undecided	2.0	surveymonkey-26619	SurveyMonkey	2016-10-26	2016-11-01		Likely Voters	1164		Internet	Nonpartisan	None
Clinton	Clinton	36.0	surveymonkey-26596	SurveyMonkey	2016-10-25	2016-10-31		Likely Voters	1273		Internet	Nonpartisan	None
Trump	Trump	47.0	surveymonkey-26596	SurveyMonkey	2016-10-25	2016-10-31		Likely Voters	1273		Internet	Nonpartisan	None
Johnson	Other	12.0	surveymonkey-26596	SurveyMonkey	2016-10-25	2016-10-31		Likely Voters	1273		Internet	Nonpartisan	None
Stein	Other	3.0	surveymonkey-26596	SurveyMonkey	2016-10-25	2016-10-31		Likely Voters	1273		Internet	Nonpartisan	None
No answer	Undecided	2.0	surveymonkey-26596	SurveyMonkey	2016-10-25	2016-10-31		Likely Voters	1273		Internet	Nonpartisan	None
Donald Trump (R)	Trump	49.0	surveyusa-ksn-news-26614	SurveyUSA/KSN News	2016-10-26	2016-10-30	If the election for President of the United States were today, and you were filling out your ballot right now, who would you vote for? Republican Donald Trump? Democrat Hillary Clinton? Libertarian Gary Johnson? or Green Party candidate Jill Stein?	Likely Voters	624	4.0	IVR/Online	Nonpartisan	None
Hillary Clinton (D)	Clinton	38.0	surveyusa-ksn-news-26614	SurveyUSA/KSN News	2016-10-26	2016-10-30	If the election for President of the United States were today, and you were filling out your ballot right now, who would you vote for? Republican Donald Trump? Democrat Hillary Clinton? Libertarian Gary Johnson? or Green Party candidate Jill Stein?	Likely Voters	624	4.0	IVR/Online	Nonpartisan	None
Gary Johnson (L)	Other	7.0	surveyusa-ksn-news-26614	SurveyUSA/KSN News	2016-10-26	2016-10-30	If the election for President of the United States were today, and you were filling out your ballot right now, who would you vote for? Republican Donald Trump? Democrat Hillary Clinton? Libertarian Gary Johnson? or Green Party candidate Jill Stein?	Likely Voters	624	4.0	IVR/Online	Nonpartisan	None
Jill Stein (G)	Other	1.0	surveyusa-ksn-news-26614	SurveyUSA/KSN News	2016-10-26	2016-10-30	If the election for President of the United States were today, and you were filling out your ballot right now, who would you vote for? Republican Donald Trump? Democrat Hillary Clinton? Libertarian Gary Johnson? or Green Party candidate Jill Stein?	Likely Voters	624	4.0	IVR/Online	Nonpartisan	None
Undecided	Undecided	6.0	surveyusa-ksn-news-26614	SurveyUSA/KSN News	2016-10-26	2016-10-30	If the election for President of the United States were today, and you were filling out your ballot right now, who would you vote for? Republican Donald Trump? Democrat Hillary Clinton? Libertarian Gary Johnson? or Green Party candidate Jill Stein?	Likely Voters	624	4.0	IVR/Online	Nonpartisan	None
Clinton	Clinton	36.0	surveymonkey-26572	SurveyMonkey	2016-10-24	2016-10-30		Likely Voters	1176		Internet	Nonpartisan	None
Trump	Trump	47.0	surveymonkey-26572	SurveyMonkey	2016-10-24	2016-10-30		Likely Voters	1176		Internet	Nonpartisan	None
Johnson	Other	13.0	surveymonkey-26572	SurveyMonkey	2016-10-24	2016-10-30		Likely Voters	1176		Internet	Nonpartisan	None
Stein	Other	3.0	surveymonkey-26572	SurveyMonkey	2016-10-24	2016-10-30		Likely Voters	1176		Internet	Nonpartisan	None
No answer	Undecided	2.0	surveymonkey-26572	SurveyMonkey	2016-10-24	2016-10-30		Likely Voters	1176		Internet	Nonpartisan	None
Clinton	Clinton	39.0	upi-cvoter-26592	UPI/CVOTER	2016-10-23	2016-10-29		Likely Voters	328		Internet	Nonpartisan	None
Trump	Trump	56.0	upi-cvoter-26592	UPI/CVOTER	2016-10-23	2016-10-29		Likely Voters	328		Internet	Nonpartisan	None
Other	Other	5.0	upi-cvoter-26592	UPI/CVOTER	2016-10-23	2016-10-29		Likely Voters	328		Internet	Nonpartisan	None
Clinton	Clinton	36.0	surveymonkey-26537	SurveyMonkey	2016-10-20	2016-10-28		Likely Voters	1619		Internet	Nonpartisan	None
Trump	Trump	47.0	surveymonkey-26537	SurveyMonkey	2016-10-20	2016-10-28		Likely Voters	1619		Internet	Nonpartisan	None
