response_text	pollster_label	value	poll_slug	survey_house	start_date	end_date	question_text	sample_subpopulation	observations	margin_of_error	mode	partisanship	partisan_affiliation
Clinton	Clinton	35.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	1315		Internet	Nonpartisan	None
Trump	Trump	54.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	1315		Internet	Nonpartisan	None
Johnson	Other	6.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	1315		Internet	Nonpartisan	None
Stein	Other	4.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	1315		Internet	Nonpartisan	None
No answer	Undecided	2.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	1315		Internet	Nonpartisan	None
Clinton	Clinton	36.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	328		Internet	Nonpartisan	None
Trump	Trump	60.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	328		Internet	Nonpartisan	None
Other	Other	5.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	328		Internet	Nonpartisan	None
Clinton	Clinton	35.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	1155		Internet	Nonpartisan	None
Trump	Trump	53.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	1155		Internet	Nonpartisan	None
Johnson	Other	6.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	1155		Internet	Nonpartisan	None
Stein	Other	4.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	1155		Internet	Nonpartisan	None
No answer	Undecided	2.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	1155		Internet	Nonpartisan	None
Clinton	Clinton	38.0	ipsos-reuters-26806	Ipsos/Reuters	2016-10-17	2016-11-06		Likely Voters	651		Internet	Nonpartisan	None
Trump	Trump	58.0	ipsos-reuters-26806	Ipsos/Reuters	2016-10-17	2016-11-06		Likely Voters	651		Internet	Nonpartisan	None
Don't Know/Other	Undecided	4.0	ipsos-reuters-26806	Ipsos/Reuters	2016-10-17	2016-11-06		Likely Voters	651		Internet	Nonpartisan	None
