response_text	pollster_label	value	poll_slug	survey_house	start_date	end_date	question_text	sample_subpopulation	observations	margin_of_error	mode	partisanship	partisan_affiliation
Clinton	Clinton	38.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	982		Internet	Nonpartisan	None
Trump	Trump	52.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	982		Internet	Nonpartisan	None
Johnson	Other	4.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	982		Internet	Nonpartisan	None
Stein	Other	2.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	982		Internet	Nonpartisan	None
No answer	Undecided	4.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	982		Internet	Nonpartisan	None
Clinton	Clinton	40.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	329		Internet	Nonpartisan	None
Trump	Trump	55.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	329		Internet	Nonpartisan	None
Other	Other	5.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	329		Internet	Nonpartisan	None
Clinton	Clinton	38.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	840		Internet	Nonpartisan	None
Trump	Trump	52.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	840		Internet	Nonpartisan	None
Johnson	Other	4.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	840		Internet	Nonpartisan	None
Stein	Other	2.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	840		Internet	Nonpartisan	None
No answer	Undecided	4.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	840		Internet	Nonpartisan	None
Clinton	Clinton	36.0	ipsos-reuters-26806	Ipsos/Reuters	2016-10-17	2016-11-06		Likely Voters	633		Internet	Nonpartisan	None
Trump	Trump	52.0	ipsos-reuters-26806	Ipsos/Reuters	2016-10-17	2016-11-06		Likely Voters	633		Internet	Nonpartisan	None
Don't Know/Other	Undecided	12.0	ipsos-reuters-26806	Ipsos/Reuters	2016-10-17	2016-11-06		Likely Voters	633		Internet	Nonpartisan	None
Clinton	Clinton	38.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	778		Internet	Nonpartisan	None
Trump	Trump	52.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	778		Internet	Nonpartisan	None
Johnson	Other	4.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	778		Internet	Nonpartisan	None
Stein	Other	2.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	778		Internet	Nonpartisan	None
No answer	Undecided	4.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	778		Internet	Nonpartisan	None
Clinton	Clinton	37.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	646		Internet	Nonpartisan	None
Trump	Trump	52.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	646		Internet	Nonpartisan	None
Johnson	Other	5.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	646		Internet	Nonpartisan	None
Stein	Other	2.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	646		Internet	Nonpartisan	None
No answer	Undecided	3.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	646		Internet	Nonpartisan	None
Clinton	Clinton	36.0	ipsos-reuters-26743	Ipsos/Reuters	2016-10-14	2016-11-03		Likely Voters	618		Internet	Nonpartisan	None
Trump	Trump	53.0	ipsos-reuters-26743	Ipsos/Reuters	2016-10-14	2016-11-03		Likely Voters	618		Internet	Nonpartisan	None
Don't Know/Other	Undecided	11.0	ipsos-reuters-26743	Ipsos/Reuters	2016-10-14	2016-11-03		Likely Voters	618		Internet	Nonpartisan	None
