response_text	pollster_label	value	poll_slug	survey_house	start_date	end_date	question_text	sample_subpopulation	observations	margin_of_error	mode	partisanship	partisan_affiliation
Clinton	Clinton	59.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	1216		Internet	Nonpartisan	None
Trump	Trump	28.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	1216		Internet	Nonpartisan	None
Johnson	Other	6.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	1216		Internet	Nonpartisan	None
Stein	Other	4.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	1216		Internet	Nonpartisan	None
No answer	Undecided	2.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	1216		Internet	Nonpartisan	None
Clinton	Clinton	56.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	329		Internet	Nonpartisan	None
Trump	Trump	38.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	329		Internet	Nonpartisan	None
Other	Other	6.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	329		Internet	Nonpartisan	None
Clinton	Clinton	60.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	1056		Internet	Nonpartisan	None
Trump	Trump	29.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	1056		Internet	Nonpartisan	None
Johnson	Other	6.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	1056		Internet	Nonpartisan	None
Stein	Other	4.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	1056		Internet	Nonpartisan	None
No answer	Undecided	2.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	1056		Internet	Nonpartisan	None
Clinton	Clinton	56.0	ipsos-reuters-26806	Ipsos/Reuters	2016-10-17	2016-11-06		Likely Voters	720		Internet	Nonpartisan	None
Trump	Trump	34.0	ipsos-reuters-26806	Ipsos/Reuters	2016-10-17	2016-11-06		Likely Voters	720		Internet	Nonpartisan	None
Don't Know/Other	Undecided	10.0	ipsos-reuters-26806	Ipsos/Reuters	2016-10-17	2016-11-06		Likely Voters	720		Internet	Nonpartisan	None
Clinton	Clinton	61.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	1012		Internet	Nonpartisan	None
Trump	Trump	28.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	1012		Internet	Nonpartisan	None
Johnson	Other	6.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	1012		Internet	Nonpartisan	None
Stein	Other	4.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	1012		Internet	Nonpartisan	None
No answer	Undecided	2.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	1012		Internet	Nonpartisan	None
Clinton	Clinton	62.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	851		Internet	Nonpartisan	None
Trump	Trump	27.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	851		Internet	Nonpartisan	None
