response_text	pollster_label	value	poll_slug	survey_house	start_date	end_date	question_text	sample_subpopulation	observations	margin_of_error	mode	partisanship	partisan_affiliation
Clinton	Clinton	46.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	779		Internet	Nonpartisan	None
Trump	Trump	38.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	779		Internet	Nonpartisan	None
Johnson	Johnson	10.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	779		Internet	Nonpartisan	None
Stein	Other	5.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	779		Internet	Nonpartisan	None
No answer	Undecided	2.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	779		Internet	Nonpartisan	None
Clinton	Clinton	54.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	308		Internet	Nonpartisan	None
Trump	Trump	41.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	308		Internet	Nonpartisan	None
Other	Other	5.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	308		Internet	Nonpartisan	None
Clinton	Clinton	47.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	674		Internet	Nonpartisan	None
Trump	Trump	39.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	674		Internet	Nonpartisan	None
Johnson	Johnson	7.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	674		Internet	Nonpartisan	None
Stein	Other	5.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	674		Internet	Nonpartisan	None
No answer	Undecided	3.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	674		Internet	Nonpartisan	None
Clinton	Clinton	42.0	ipsos-reuters-26806	Ipsos/Reuters	2016-10-17	2016-11-06		Likely Voters	304		Internet	Nonpartisan	None
Trump	Trump	35.0	ipsos-reuters-26806	Ipsos/Reuters	2016-10-17	2016-11-06		Likely Voters	304		Internet	Nonpartisan	None
Don't Know/Other	Undecided	23.0	ipsos-reuters-26806	Ipsos/Reuters	2016-10-17	2016-11-06		Likely Voters	304		Internet	Nonpartisan	None
Clinton	Clinton	47.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	635		Internet	Nonpartisan	None
Trump	Trump	39.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	635		Internet	Nonpartisan	None
Johnson	Johnson	6.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	635		Internet	Nonpartisan	None
Stein	Other	5.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	635		Internet	Nonpartisan	None
No answer	Undecided	3.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	635		Internet	Nonpartisan	None
Clinton	Clinton	48.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	590		Internet	Nonpartisan	None
Trump	Trump	39.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	590		Internet	Nonpartisan	None
Johnson	Johnson	6.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	590		Internet	Nonpartisan	None
Stein	Other	4.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	590		Internet	Nonpartisan	None
No answer	Undecided	2.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	590		Internet	Nonpartisan	None
Clinton	Clinton	45.0	ipsos-reuters-26743	Ipsos/Reuters	2016-10-14	2016-11-03		Likely Voters	294		Internet	Nonpartisan	None
Trump	Trump	37.0	ipsos-reuters-26743	Ipsos/Reuters	2016-10-14	2016-11-03		Likely Voters	294		Internet	Nonpartisan	None
Don't Know/Other	Undecided	18.0	ipsos-reuters-26743	Ipsos/Reuters	2016-10-14	2016-11-03		Likely Voters	294		Internet	Nonpartisan	None
Clinton	Clinton	47.0	surveymonkey-26660	SurveyMonkey	2016-10-27	2016-11-02		Likely Voters	529		Internet	Nonpartisan	None
Trump	Trump	38.0	surveymonkey-26660	SurveyMonkey	2016-10-27	2016-11-02		Likely Voters	529		Internet	Nonpartisan	None
Johnson	Johnson	7.0	surveymonkey-26660	SurveyMonkey	2016-10-27	2016-11-02		Likely Voters	529		Internet	Nonpartisan	None
Stein	Other	5.0	surveymonkey-26660	SurveyMonkey	2016-10-27	2016-11-02		Likely Voters	529		Internet	Nonpartisan	None
No answer	Undecided	4.0	surveymonkey-26660	SurveyMonkey	2016-10-27	2016-11-02		Likely Voters	529		Internet	Nonpartisan	None
Clinton	Clinton	49.0	surveymonkey-26619	SurveyMonkey	2016-10-26	2016-11-01		Likely Voters	428		Internet	Nonpartisan	None
Trump	Trump	37.0	surveymonkey-26619	SurveyMonkey	2016-10-26	2016-11-01		Likely Voters	428		Internet	Nonpartisan	None
Johnson	Johnson	6.0	surveymonkey-26619	SurveyMonkey	2016-10-26	2016-11-01		Likely Voters	428		Internet	Nonpartisan	None
Stein	Other	4.0	surveymonkey-26619	SurveyMonkey	2016-10-26	2016-11-01		Likely Voters	428		Internet	Nonpartisan	None
No answer	Undecided	4.0	surveymonkey-26619	SurveyMonkey	2016-10-26	2016-11-01		Likely Voters	428		Internet	Nonpartisan	None
Clinton	Clinton	49.0	surveymonkey-26596	SurveyMonkey	2016-10-25	2016-10-31		Likely Voters	432		Internet	Nonpartisan	None
