response_text	pollster_label	value	poll_slug	survey_house	start_date	end_date	question_text	sample_subpopulation	observations	margin_of_error	mode	partisanship	partisan_affiliation
Clinton	Clinton	40.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	1368		Internet	Nonpartisan	None
Trump	Trump	48.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	1368		Internet	Nonpartisan	None
Johnson	Other	8.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	1368		Internet	Nonpartisan	None
Stein	Other	3.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	1368		Internet	Nonpartisan	None
No answer	Undecided	2.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	1368		Internet	Nonpartisan	None
Clinton	Clinton	44.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	380		Internet	Nonpartisan	None
Trump	Trump	49.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	380		Internet	Nonpartisan	None
Other	Other	7.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	380		Internet	Nonpartisan	None
Clinton	Clinton	40.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	1119		Internet	Nonpartisan	None
Trump	Trump	48.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	1119		Internet	Nonpartisan	None
Johnson	Other	8.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	1119		Internet	Nonpartisan	None
Stein	Other	2.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	1119		Internet	Nonpartisan	None
No answer	Undecided	2.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	1119		Internet	Nonpartisan	None
Clinton	Clinton	40.0	ipsos-reuters-26806	Ipsos/Reuters	2016-10-17	2016-11-06		Likely Voters	836		Internet	Nonpartisan	None
Trump	Trump	48.0	ipsos-reuters-26806	Ipsos/Reuters	2016-10-17	2016-11-06		Likely Voters	836		Internet	Nonpartisan	None
Don't Know/Other	Undecided	12.0	ipsos-reuters-26806	Ipsos/Reuters	2016-10-17	2016-11-06		Likely Voters	836		Internet	Nonpartisan	None
Clinton	Clinton	41.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	1059		Internet	Nonpartisan	None
Trump	Trump	48.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	1059		Internet	Nonpartisan	None
Johnson	Other	7.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	1059		Internet	Nonpartisan	None
Stein	Other	2.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	1059		Internet	Nonpartisan	None
No answer	Undecided	2.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	1059		Internet	Nonpartisan	None
Clinton	Clinton	39.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	879		Internet	Nonpartisan	None
Trump	Trump	49.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	879		Internet	Nonpartisan	None
Johnson	Other	8.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	879		Internet	Nonpartisan	None
Stein	Other	3.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	879		Internet	Nonpartisan	None
