response_text	pollster_label	value	poll_slug	survey_house	start_date	end_date	question_text	sample_subpopulation	observations	margin_of_error	mode	partisanship	partisan_affiliation
Clinton	Clinton	30.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	449		Internet	Nonpartisan	None
Trump	Trump	52.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	449		Internet	Nonpartisan	None
Johnson	Other	11.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	449		Internet	Nonpartisan	None
Stein	Other	4.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	449		Internet	Nonpartisan	None
No answer	Undecided	4.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	449		Internet	Nonpartisan	None
Clinton	Clinton	41.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	339		Internet	Nonpartisan	None
Trump	Trump	54.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	339		Internet	Nonpartisan	None
Other	Other	6.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	339		Internet	Nonpartisan	None
Clinton	Clinton	31.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	410		Internet	Nonpartisan	None
Trump	Trump	53.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	410		Internet	Nonpartisan	None
Johnson	Other	10.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	410		Internet	Nonpartisan	None
Stein	Other	3.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	410		Internet	Nonpartisan	None
No answer	Undecided	3.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	410		Internet	Nonpartisan	None
Clinton	Clinton	32.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	430		Internet	Nonpartisan	None
Trump	Trump	53.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	430		Internet	Nonpartisan	None
Johnson	Other	9.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	430		Internet	Nonpartisan	None
Stein	Other	3.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	430		Internet	Nonpartisan	None
No answer	Undecided	3.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	430		Internet	Nonpartisan	None
Clinton	Clinton	34.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	403		Internet	Nonpartisan	None
Trump	Trump	53.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	403		Internet	Nonpartisan	None
Johnson	Other	9.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	403		Internet	Nonpartisan	None
Stein	Other	2.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	403		Internet	Nonpartisan	None
No answer	Undecided	2.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	403		Internet	Nonpartisan	None
Clinton	Clinton	34.0	surveymonkey-26660	SurveyMonkey	2016-10-27	2016-11-02		Likely Voters	376		Internet	Nonpartisan	None
Trump	Trump	51.0	surveymonkey-26660	SurveyMonkey	2016-10-27	2016-11-02		Likely Voters	376		Internet	Nonpartisan	None
Johnson	Other	12.0	surveymonkey-26660	SurveyMonkey	2016-10-27	2016-11-02		Likely Voters	376		Internet	Nonpartisan	None
Stein	Other	1.0	surveymonkey-26660	SurveyMonkey	2016-10-27	2016-11-02		Likely Voters	376		Internet	Nonpartisan	None
No answer	Undecided	3.0	surveymonkey-26660	SurveyMonkey	2016-10-27	2016-11-02		Likely Voters	376		Internet	Nonpartisan	None
Clinton	Clinton	34.0	surveymonkey-26619	SurveyMonkey	2016-10-26	2016-11-01		Likely Voters	385		Internet	Nonpartisan	None
Trump	Trump	50.0	surveymonkey-26619	SurveyMonkey	2016-10-26	2016-11-01		Likely Voters	385		Internet	Nonpartisan	None
Johnson	Other	12.0	surveymonkey-26619	SurveyMonkey	2016-10-26	2016-11-01		Likely Voters	385		Internet	Nonpartisan	None
Stein	Other	1.0	surveymonkey-26619	SurveyMonkey	2016-10-26	2016-11-01		Likely Voters	385		Internet	Nonpartisan	None
No answer	Undecided	2.0	surveymonkey-26619	SurveyMonkey	2016-10-26	2016-11-01		Likely Voters	385		Internet	Nonpartisan	None
Clinton	Clinton	36.0	surveymonkey-26596	SurveyMonkey	2016-10-25	2016-10-31		Likely Voters	405		Internet	Nonpartisan	None
Trump	Trump	49.0	surveymonkey-26596	SurveyMonkey	2016-10-25	2016-10-31		Likely Voters	405		Internet	Nonpartisan	None
Johnson	Other	11.0	surveymonkey-26596	SurveyMonkey	2016-10-25	2016-10-31		Likely Voters	405		Internet	Nonpartisan	None
