response_text	pollster_label	value	poll_slug	survey_house	start_date	end_date	question_text	sample_subpopulation	observations	margin_of_error	mode	partisanship	partisan_affiliation
Clinton	Clinton	48.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	3126		Internet	Nonpartisan	None
Trump	Trump	41.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	3126		Internet	Nonpartisan	None
Johnson	Johnson	7.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	3126		Internet	Nonpartisan	None
No answer	Undecided	3.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	3126		Internet	Nonpartisan	None
Hillary Clinton, the Democrat	Clinton	44.0	nyt-upshot-siena-26780	NYT Upshot/Siena	2016-11-04	2016-11-06		Likely Voters	800	3.5	Live Phone	Nonpartisan	None
Donald Trump, the Republican	Trump	44.0	nyt-upshot-siena-26780	NYT Upshot/Siena	2016-11-04	2016-11-06		Likely Voters	800	3.5	Live Phone	Nonpartisan	None
Gary Johnson, the Libertarian	Johnson	3.0	nyt-upshot-siena-26780	NYT Upshot/Siena	2016-11-04	2016-11-06		Likely Voters	800	3.5	Live Phone	Nonpartisan	None
Someone Else (vol.)	Other	2.0	nyt-upshot-siena-26780	NYT Upshot/Siena	2016-11-04	2016-11-06		Likely Voters	800	3.5	Live Phone	Nonpartisan	None
Won't Vote (vol.)	Undecided	0.0	nyt-upshot-siena-26780	NYT Upshot/Siena	2016-11-04	2016-11-06		Likely Voters	800	3.5	Live Phone	Nonpartisan	None
Don't Know/No Opinion	Undecided	6.0	nyt-upshot-siena-26780	NYT Upshot/Siena	2016-11-04	2016-11-06		Likely Voters	800	3.5	Live Phone	Nonpartisan	None
Clinton and Kaine	Clinton	47.0	quinnipiac-26777	Quinnipiac	2016-11-03	2016-11-06	If the presidential election were being held today, and the candidates were Hillary Clinton and Tim Kaine the Democrats, Donald Trump and Mike Pence the Republicans, Gary Johnson and Bill Weld the Libertarians, for whom would you vote?	Likely Voters	870	3.3	Live Phone	Nonpartisan	None
Trump and Pence	Trump	45.0	quinnipiac-26777	Quinnipiac	2016-11-03	2016-11-06	If the presidential election were being held today, and the candidates were Hillary Clinton and Tim Kaine the Democrats, Donald Trump and Mike Pence the Republicans, Gary Johnson and Bill Weld the Libertarians, for whom would you vote?	Likely Voters	870	3.3	Live Phone	Nonpartisan	None
Johnson and Weld	Johnson	3.0	quinnipiac-26777	Quinnipiac	2016-11-03	2016-11-06	If the presidential election were being held today, and the candidates were Hillary Clinton and Tim Kaine the Democrats, Donald Trump and Mike Pence the Republicans, Gary Johnson and Bill Weld the Libertarians, for whom would you vote?	Likely Voters	870	3.3	Live Phone	Nonpartisan	None
Someone else (Vol)	Other	2.0	quinnipiac-26777	Quinnipiac	2016-11-03	2016-11-06	If the presidential election were being held today, and the candidates were Hillary Clinton and Tim Kaine the Democrats, Donald Trump and Mike Pence the Republicans, Gary Johnson and Bill Weld the Libertarians, for whom would you vote?	Likely Voters	870	3.3	Live Phone	Nonpartisan	None
Don't know/No answer	Undecided	4.0	quinnipiac-26777	Quinnipiac	2016-11-03	2016-11-06	If the presidential election were being held today, and the candidates were Hillary Clinton and Tim Kaine the Democrats, Donald Trump and Mike Pence the Republicans, Gary Johnson and Bill Weld the Libertarians, for whom would you vote?	Likely Voters	870	3.3	Live Phone	Nonpartisan	None
Clinton and Kaine	Clinton	48.0	quinnipiac-26777	Quinnipiac	2016-11-03	2016-11-06	If the only candidates were Hillary Clinton and Tim Kaine the Democrats and Donald Trump and Mike Pence the Republicans, for whom would you vote?	Likely Voters	870	3.3	Live Phone	Nonpartisan	None
Trump and Pence	Trump	45.0	quinnipiac-26777	Quinnipiac	2016-11-03	2016-11-06	If the only candidates were Hillary Clinton and Tim Kaine the Democrats and Donald Trump and Mike Pence the Republicans, for whom would you vote?	Likely Voters	870	3.3	Live Phone	Nonpartisan	None
Someone Else (VOL)	Other	3.0	quinnipiac-26777	Quinnipiac	2016-11-03	2016-11-06	If the only candidates were Hillary Clinton and Tim Kaine the Democrats and Donald Trump and Mike Pence the Republicans, for whom would you vote?	Likely Voters	870	3.3	Live Phone	Nonpartisan	None
