response_text	pollster_label	value	poll_slug	survey_house	start_date	end_date	question_text	sample_subpopulation	observations	margin_of_error	mode	partisanship	partisan_affiliation
Clinton	Clinton	29.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	313		Internet	Nonpartisan	None
Trump	Trump	57.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	313		Internet	Nonpartisan	None
Johnson	Other	9.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	313		Internet	Nonpartisan	None
Stein	Other	2.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	313		Internet	Nonpartisan	None
No answer	Undecided	2.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	313		Internet	Nonpartisan	None
Clinton	Clinton	39.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	307		Internet	Nonpartisan	None
Trump	Trump	55.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	307		Internet	Nonpartisan	None
Other	Other	7.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	307		Internet	Nonpartisan	None
Clinton	Clinton	29.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	288		Internet	Nonpartisan	None
Trump	Trump	57.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	288		Internet	Nonpartisan	None
Johnson	Other	10.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	288		Internet	Nonpartisan	None
Stein	Other	3.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	288		Internet	Nonpartisan	None
No answer	Undecided	1.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	288		Internet	Nonpartisan	None
Clinton	Clinton	29.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	287		Internet	Nonpartisan	None
Trump	Trump	57.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	287		Internet	Nonpartisan	None
Johnson	Other	10.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	287		Internet	Nonpartisan	None
Stein	Other	3.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	287		Internet	Nonpartisan	None
No answer	Undecided	1.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	287		Internet	Nonpartisan	None
Clinton	Clinton	29.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	276		Internet	Nonpartisan	None
Trump	Trump	56.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	276		Internet	Nonpartisan	None
Johnson	Other	11.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	276		Internet	Nonpartisan	None
Stein	Other	2.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	276		Internet	Nonpartisan	None
No answer	Undecided	1.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	276		Internet	Nonpartisan	None
Clinton	Clinton	31.0	surveymonkey-26660	SurveyMonkey	2016-10-27	2016-11-02		Likely Voters	260		Internet	Nonpartisan	None
Trump	Trump	55.0	surveymonkey-26660	SurveyMonkey	2016-10-27	2016-11-02		Likely Voters	260		Internet	Nonpartisan	None
Johnson	Other	9.0	surveymonkey-26660	SurveyMonkey	2016-10-27	2016-11-02		Likely Voters	260		Internet	Nonpartisan	None
Stein	Other	3.0	surveymonkey-26660	SurveyMonkey	2016-10-27	2016-11-02		Likely Voters	260		Internet	Nonpartisan	None
No answer	Undecided	3.0	surveymonkey-26660	SurveyMonkey	2016-10-27	2016-11-02		Likely Voters	260		Internet	Nonpartisan	None
Clinton	Clinton	32.0	surveymonkey-26619	SurveyMonkey	2016-10-26	2016-11-01		Likely Voters	254		Internet	Nonpartisan	None
Trump	Trump	54.0	surveymonkey-26619	SurveyMonkey	2016-10-26	2016-11-01		Likely Voters	254		Internet	Nonpartisan	None
Johnson	Other	10.0	surveymonkey-26619	SurveyMonkey	2016-10-26	2016-11-01		Likely Voters	254		Internet	Nonpartisan	None
Stein	Other	2.0	surveymonkey-26619	SurveyMonkey	2016-10-26	2016-11-01		Likely Voters	254		Internet	Nonpartisan	None
No answer	Undecided	3.0	surveymonkey-26619	SurveyMonkey	2016-10-26	2016-11-01		Likely Voters	254		Internet	Nonpartisan	None
Clinton	Clinton	31.0	surveymonkey-26596	SurveyMonkey	2016-10-25	2016-10-31		Likely Voters	279		Internet	Nonpartisan	None
Trump	Trump	53.0	surveymonkey-26596	SurveyMonkey	2016-10-25	2016-10-31		Likely Voters	279		Internet	Nonpartisan	None
Johnson	Other	12.0	surveymonkey-26596	SurveyMonkey	2016-10-25	2016-10-31		Likely Voters	279		Internet	Nonpartisan	None
Stein	Other	1.0	surveymonkey-26596	SurveyMonkey	2016-10-25	2016-10-31		Likely Voters	279		Internet	Nonpartisan	None
No answer	Undecided	2.0	surveymonkey-26596	SurveyMonkey	2016-10-25	2016-10-31		Likely Voters	279		Internet	Nonpartisan	None
Clinton	Clinton	32.0	surveymonkey-26572	SurveyMonkey	2016-10-24	2016-10-30		Likely Voters	260		Internet	Nonpartisan	None
Trump	Trump	55.0	surveymonkey-26572	SurveyMonkey	2016-10-24	2016-10-30		Likely Voters	260		Internet	Nonpartisan	None
Johnson	Other	11.0	surveymonkey-26572	SurveyMonkey	2016-10-24	2016-10-30		Likely Voters	260		Internet	Nonpartisan	None
No answer	Undecided	2.0	surveymonkey-26572	SurveyMonkey	2016-10-24	2016-10-30		Likely Voters	260		Internet	Nonpartisan	None
Clinton	Clinton	37.0	upi-cvoter-26592	UPI/CVOTER	2016-10-23	2016-10-29		Likely Voters	306		Internet	Nonpartisan	None
Trump	Trump	57.0	upi-cvoter-26592	UPI/CVOTER	2016-10-23	2016-10-29		Likely Voters	306		Internet	Nonpartisan	None
Other	Other	7.0	upi-cvoter-26592	UPI/CVOTER	2016-10-23	2016-10-29		Likely Voters	306		Internet	Nonpartisan	None
Clinton	Clinton	31.0	surveymonkey-26537	SurveyMonkey	2016-10-20	2016-10-28		Likely Voters	333		Internet	Nonpartisan	None
Trump	Trump	54.0	surveymonkey-26537	SurveyMonkey	2016-10-20	2016-10-28		Likely Voters	333		Internet	Nonpartisan	None
Johnson	Other	10.0	surveymonkey-26537	SurveyMonkey	2016-10-20	2016-10-28		Likely Voters	333		Internet	Nonpartisan	None
Stein	Other	1.0	surveymonkey-26537	SurveyMonkey	2016-10-20	2016-10-28		Likely Voters	333		Internet	Nonpartisan	None
No answer	Undecided	4.0	surveymonkey-26537	SurveyMonkey	2016-10-20	2016-10-28		Likely Voters	333		Internet	Nonpartisan	None
Clinton	Clinton	31.0	surveymonkey-26499	SurveyMonkey	2016-10-18	2016-10-26		Likely Voters	372		Internet	Nonpartisan	None
Trump	Trump	52.0	surveymonkey-26499	SurveyMonkey	2016-10-18	2016-10-26		Likely Voters	372		Internet	Nonpartisan	None
Johnson	Other	12.0	surveymonkey-26499	SurveyMonkey	2016-10-18	2016-10-26		Likely Voters	372		Internet	Nonpartisan	None
Stein	Other	1.0	surveymonkey-26499	SurveyMonkey	2016-10-18	2016-10-26		Likely Voters	372		Internet	Nonpartisan	None
No answer	Undecided	4.0	surveymonkey-26499	SurveyMonkey	2016-10-18	2016-10-26		Likely Voters	372		Internet	Nonpartisan	None
Clinton	Clinton	31.0	surveymonkey-26441	SurveyMonkey	2016-10-18	2016-10-24		Likely Voters	339		Internet	Nonpartisan	None
Trump	Trump	49.0	surveymonkey-26441	SurveyMonkey	2016-10-18	2016-10-24		Likely Voters	339		Internet	Nonpartisan	None
Johnson	Other	14.0	surveymonkey-26441	SurveyMonkey	2016-10-18	2016-10-24		Likely Voters	339		Internet	Nonpartisan	None
Stein	Other	1.0	surveymonkey-26441	SurveyMonkey	2016-10-18	2016-10-24		Likely Voters	339		Internet	Nonpartisan	None
No answer	Undecided	5.0	surveymonkey-26441	SurveyMonkey	2016-10-18	2016-10-24		Likely Voters	339		Internet	Nonpartisan	None
Clinton	Clinton	30.0	surveymonkey-26431	SurveyMonkey	2016-10-17	2016-10-23		Likely Voters	294		Internet	Nonpartisan	None
Trump	Trump	50.0	surveymonkey-26431	SurveyMonkey	2016-10-17	2016-10-23		Likely Voters	294		Internet	Nonpartisan	None
Johnson	Other	14.0	surveymonkey-26431	SurveyMonkey	2016-10-17	2016-10-23		Likely Voters	294		Internet	Nonpartisan	None
Stein	Other	1.0	surveymonkey-26431	SurveyMonkey	2016-10-17	2016-10-23		Likely Voters	294		Internet	Nonpartisan	None
No answer	Undecided	5.0	surveymonkey-26431	SurveyMonkey	2016-10-17	2016-10-23		Likely Voters	294		Internet	Nonpartisan	None
Clinton	Clinton	37.0	upi-cvoter-26409	UPI/CVOTER	2016-10-16	2016-10-23		Likely Voters	309		Internet	Nonpartisan	None
Trump	Trump	56.0	upi-cvoter-26409	UPI/CVOTER	2016-10-16	2016-10-23		Likely Voters	309		Internet	Nonpartisan	None
Other	Other	7.0	upi-cvoter-26409	UPI/CVOTER	2016-10-16	2016-10-23		Likely Voters	309		Internet	Nonpartisan	None
Trump	Trump	56.0	upi-cvoter-26322	UPI/CVOTER	2016-10-09	2016-10-16		Likely Voters	314		Internet	Nonpartisan	None
Clinton	Clinton	37.0	upi-cvoter-26322	UPI/CVOTER	2016-10-09	2016-10-16		Likely Voters	314		Internet	Nonpartisan	None
Other	Other	8.0	upi-cvoter-26322	UPI/CVOTER	2016-10-09	2016-10-16		Likely Voters	314		Internet	Nonpartisan	None
Trump	Trump	55.0	upi-cvoter-26059	UPI/CVOTER	2016-10-02	2016-10-09		Likely Voters	314		Internet	Nonpartisan	None
Clinton	Clinton	37.0	upi-cvoter-26059	UPI/CVOTER	2016-10-02	2016-10-09		Likely Voters	314		Internet	Nonpartisan	None
Other	Other	8.0	upi-cvoter-26059	UPI/CVOTER	2016-10-02	2016-10-09		Likely Voters	314		Internet	Nonpartisan	None
Trump	Trump	57.0	upi-cvoter-25931	UPI/CVOTER	2016-09-19	2016-10-02		Likely Voters	480		Internet	Nonpartisan	None
Clinton	Clinton	36.0	upi-cvoter-25931	UPI/CVOTER	2016-09-19	2016-10-02		Likely Voters	480		Internet	Nonpartisan	None
Other	Other	8.0	upi-cvoter-25931	UPI/CVOTER	2016-09-19	2016-10-02		Likely Voters	480		Internet	Nonpartisan	None
Trump	Trump	57.0	upi-cvoter-25766	UPI/CVOTER	2016-09-12	2016-09-25		Likely Voters	487		Internet	Nonpartisan	None
Clinton	Clinton	36.0	upi-cvoter-25766	UPI/CVOTER	2016-09-12	2016-09-25		Likely Voters	487		Internet	Nonpartisan	None
Other	Other	8.0	upi-cvoter-25766	UPI/CVOTER	2016-09-12	2016-09-25		Likely Voters	487		Internet	Nonpartisan	None
Donald Trump	Trump	43.0	dfm-research-d-25590	DFM Research (D)	2016-09-12	2016-09-17	Now let’s look ahead to the November election. If the election was held today for President of the United States, would you vote for Hillary Clinton the Democrat, Donald Trump the Republican, Gary Johnson the Libertarian, or Jill Stein of the Green Party?	Likely Voters	400	4.9	Live Phone	Pollster	Dem
Hillary Clinton	Clinton	32.0	dfm-research-d-25590	DFM Research (D)	2016-09-12	2016-09-17	Now let’s look ahead to the November election. If the election was held today for President of the United States, would you vote for Hillary Clinton the Democrat, Donald Trump the Republican, Gary Johnson the Libertarian, or Jill Stein of the Green Party?	Likely Voters	400	4.9	Live Phone	Pollster	Dem
Gary Johnson	Other	8.0	dfm-research-d-25590	DFM Research (D)	2016-09-12	2016-09-17	Now let’s look ahead to the November election. If the election was held today for President of the United States, would you vote for Hillary Clinton the Democrat, Donald Trump the Republican, Gary Johnson the Libertarian, or Jill Stein of the Green Party?	Likely Voters	400	4.9	Live Phone	Pollster	Dem
Jill Stein	Other	1.0	dfm-research-d-25590	DFM Research (D)	2016-09-12	2016-09-17	Now let’s look ahead to the November election. If the election was held today for President of the United States, would you vote for Hillary Clinton the Democrat, Donald Trump the Republican, Gary Johnson the Libertarian, or Jill Stein of the Green Party?	Likely Voters	400	4.9	Live Phone	Pollster	Dem
Unsure (vol)	Undecided	16.0	dfm-research-d-25590	DFM Research (D)	2016-09-12	2016-09-17	Now let’s look ahead to the November election. If the election was held today for President of the United States, would you vote for Hillary Clinton the Democrat, Donald Trump the Republican, Gary Johnson the Libertarian, or Jill Stein of the Green Party?	Likely Voters	400	4.9	Live Phone	Pollster	Dem
Donald Trump, the Republican	Trump	60.0	washpost-surveymonkey-25384	WashPost/SurveyMonkey	2016-08-09	2016-09-01		Registered Voters	549		Internet	Nonpartisan	None
Hillary Clinton, the Democrat	Clinton	32.0	washpost-surveymonkey-25384	WashPost/SurveyMonkey	2016-08-09	2016-09-01		Registered Voters	549		Internet	Nonpartisan	None
No Answer	Undecided	8.0	washpost-surveymonkey-25384	WashPost/SurveyMonkey	2016-08-09	2016-09-01		Registered Voters	549		Internet	Nonpartisan	None
Donald Trump, the Republican	Trump	51.0	washpost-surveymonkey-25384	WashPost/SurveyMonkey	2016-08-09	2016-09-01		Registered Voters	549		Internet	Nonpartisan	None
Hillary Clinton, the Democrat	Clinton	26.0	washpost-surveymonkey-25384	WashPost/SurveyMonkey	2016-08-09	2016-09-01		Registered Voters	549		Internet	Nonpartisan	None
Gary Johnson, the Libertarian	Other	16.0	washpost-surveymonkey-25384	WashPost/SurveyMonkey	2016-08-09	2016-09-01		Registered Voters	549		Internet	Nonpartisan	None
Jill Stein, the Green Party	Other	2.0	washpost-surveymonkey-25384	WashPost/SurveyMonkey	2016-08-09	2016-09-01		Registered Voters	549		Internet	Nonpartisan	None
No answer	Undecided	5.0	washpost-surveymonkey-25384	WashPost/SurveyMonkey	2016-08-09	2016-09-01		Registered Voters	549		Internet	Nonpartisan	None
