response_text	pollster_label	value	poll_slug	survey_house	start_date	end_date	question_text	sample_subpopulation	observations	margin_of_error	mode	partisanship	partisan_affiliation
Clinton	Clinton	35.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	988		Internet	Nonpartisan	None
Trump	Trump	52.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	988		Internet	Nonpartisan	None
Johnson	Other	7.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	988		Internet	Nonpartisan	None
Stein	Other	3.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	988		Internet	Nonpartisan	None
No answer	Undecided	3.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	988		Internet	Nonpartisan	None
Clinton	Clinton	38.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	340		Internet	Nonpartisan	None
Trump	Trump	56.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	340		Internet	Nonpartisan	None
Other	Other	6.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	340		Internet	Nonpartisan	None
Clinton	Clinton	34.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	873		Internet	Nonpartisan	None
Trump	Trump	52.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	873		Internet	Nonpartisan	None
Johnson	Other	8.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	873		Internet	Nonpartisan	None
Stein	Other	2.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	873		Internet	Nonpartisan	None
No answer	Undecided	3.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	873		Internet	Nonpartisan	None
Clinton	Clinton	32.0	ipsos-reuters-26806	Ipsos/Reuters	2016-10-17	2016-11-06		Likely Voters	350		Internet	Nonpartisan	None
