response_text	pollster_label	value	poll_slug	survey_house	start_date	end_date	question_text	sample_subpopulation	observations	margin_of_error	mode	partisanship	partisan_affiliation
Clinton	Clinton	52.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	1377		Internet	Nonpartisan	None
Trump	Trump	37.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	1377		Internet	Nonpartisan	None
Johnson	Other	4.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	1377		Internet	Nonpartisan	None
Stein	Other	4.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	1377		Internet	Nonpartisan	None
No answer	Undecided	3.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	1377		Internet	Nonpartisan	None
Clinton	Clinton	55.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	348		Internet	Nonpartisan	None
Trump	Trump	41.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	348		Internet	Nonpartisan	None
Other	Other	4.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	348		Internet	Nonpartisan	None
Clinton	Clinton	53.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	1206		Internet	Nonpartisan	None
Trump	Trump	37.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	1206		Internet	Nonpartisan	None
Johnson	Other	4.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	1206		Internet	Nonpartisan	None
Stein	Other	4.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	1206		Internet	Nonpartisan	None
No answer	Undecided	3.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	1206		Internet	Nonpartisan	None
Clinton	Clinton	48.0	ipsos-reuters-26806	Ipsos/Reuters	2016-10-17	2016-11-06		Likely Voters	658		Internet	Nonpartisan	None
Trump	Trump	38.0	ipsos-reuters-26806	Ipsos/Reuters	2016-10-17	2016-11-06		Likely Voters	658		Internet	Nonpartisan	None
Don't Know/Other	Undecided	14.0	ipsos-reuters-26806	Ipsos/Reuters	2016-10-17	2016-11-06		Likely Voters	658		Internet	Nonpartisan	None
Clinton	Clinton	53.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	1119		Internet	Nonpartisan	None
Trump	Trump	37.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	1119		Internet	Nonpartisan	None
Johnson	Other	4.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	1119		Internet	Nonpartisan	None
Stein	Other	4.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	1119		Internet	Nonpartisan	None
No answer	Undecided	3.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	1119		Internet	Nonpartisan	None
Clinton	Clinton	55.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	943		Internet	Nonpartisan	None
Trump	Trump	37.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	943		Internet	Nonpartisan	None
