response_text	pollster_label	value	poll_slug	survey_house	start_date	end_date	question_text	sample_subpopulation	observations	margin_of_error	mode	partisanship	partisan_affiliation
Clinton	Clinton	40.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	749		Internet	Nonpartisan	None
Trump	Trump	38.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	749		Internet	Nonpartisan	None
Johnson	Johnson	16.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	749		Internet	Nonpartisan	None
Stein	Other	4.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	749		Internet	Nonpartisan	None
No answer	Undecided	2.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	749		Internet	Nonpartisan	None
Clinton	Clinton	47.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	330		Internet	Nonpartisan	None
Trump	Trump	38.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	330		Internet	Nonpartisan	None
Other	Other	15.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	330		Internet	Nonpartisan	None
Clinton	Clinton	40.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	768		Internet	Nonpartisan	None
Trump	Trump	36.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	768		Internet	Nonpartisan	None
Johnson	Johnson	16.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	768		Internet	Nonpartisan	None
Stein	Other	6.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	768		Internet	Nonpartisan	None
No answer	Undecided	2.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	768		Internet	Nonpartisan	None
Clinton	Clinton	41.0	ipsos-reuters-26806	Ipsos/Reuters	2016-10-17	2016-11-06		Likely Voters	275		Internet	Nonpartisan	None
Trump	Trump	38.0	ipsos-reuters-26806	Ipsos/Reuters	2016-10-17	2016-11-06		Likely Voters	275		Internet	Nonpartisan	None
Don't Know/Other	Undecided	21.0	ipsos-reuters-26806	Ipsos/Reuters	2016-10-17	2016-11-06		Likely Voters	275		Internet	Nonpartisan	None
Clinton	Clinton	41.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	810		Internet	Nonpartisan	None
Trump	Trump	36.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	810		Internet	Nonpartisan	None
Johnson	Johnson	17.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	810		Internet	Nonpartisan	None
Stein	Other	4.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	810		Internet	Nonpartisan	None
No answer	Undecided	2.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	810		Internet	Nonpartisan	None
Hillary Clinton	Clinton	45.0	albuquerque-journal-research-polling-26798	Albuquerque Journal/Research & Polling	2016-11-01	2016-11-03		Likely Voters	504	4.4	Live Phone	Nonpartisan	None
Donald Trump	Trump	40.0	albuquerque-journal-research-polling-26798	Albuquerque Journal/Research & Polling	2016-11-01	2016-11-03		Likely Voters	504	4.4	Live Phone	Nonpartisan	None
Gary Johnson	Johnson	11.0	albuquerque-journal-research-polling-26798	Albuquerque Journal/Research & Polling	2016-11-01	2016-11-03		Likely Voters	504	4.4	Live Phone	Nonpartisan	None
Jill Stein	Other	3.0	albuquerque-journal-research-polling-26798	Albuquerque Journal/Research & Polling	2016-11-01	2016-11-03		Likely Voters	504	4.4	Live Phone	Nonpartisan	None
Undecided/Don't Know	Undecided	2.0	albuquerque-journal-research-polling-26798	Albuquerque Journal/Research & Polling	2016-11-01	2016-11-03		Likely Voters	504	4.4	Live Phone	Nonpartisan	None
Clinton	Clinton	41.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	794		Internet	Nonpartisan	None
Trump	Trump	36.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	794		Internet	Nonpartisan	None
Johnson	Johnson	17.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	794		Internet	Nonpartisan	None
Stein	Other	4.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	794		Internet	Nonpartisan	None
No answer	Undecided	3.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	794		Internet	Nonpartisan	None
