response_text	pollster_label	value	poll_slug	survey_house	start_date	end_date	question_text	sample_subpopulation	observations	margin_of_error	mode	partisanship	partisan_affiliation
Clinton	Clinton	45.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	1207		Internet	Nonpartisan	None
Trump	Trump	43.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	1207		Internet	Nonpartisan	None
Johnson	Johnson	9.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	1207		Internet	Nonpartisan	None
No answer	Undecided	3.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	1207		Internet	Nonpartisan	None
Donald Trump (R)	Trump	42.0	insights-west-26814	Insights West	2016-11-04	2016-11-06	As you may know, there will be a presidential election on Nov. 8. Which one of the following candidates would you be most likely to support on Election Day?	Likely Voters	387	4.9	Internet	Nonpartisan	None
Hillary Clinton (D)	Clinton	42.0	insights-west-26814	Insights West	2016-11-04	2016-11-06	As you may know, there will be a presidential election on Nov. 8. Which one of the following candidates would you be most likely to support on Election Day?	Likely Voters	387	4.9	Internet	Nonpartisan	None
Gary Johnson (L)	Johnson	4.0	insights-west-26814	Insights West	2016-11-04	2016-11-06	As you may know, there will be a presidential election on Nov. 8. Which one of the following candidates would you be most likely to support on Election Day?	Likely Voters	387	4.9	Internet	Nonpartisan	None
Jill Stein (G)	Other	1.0	insights-west-26814	Insights West	2016-11-04	2016-11-06	As you may know, there will be a presidential election on Nov. 8. Which one of the following candidates would you be most likely to support on Election Day?	Likely Voters	387	4.9	Internet	Nonpartisan	None
Some other candidate	Other	2.0	insights-west-26814	Insights West	2016-11-04	2016-11-06	As you may know, there will be a presidential election on Nov. 8. Which one of the following candidates would you be most likely to support on Election Day?	Likely Voters	387	4.9	Internet	Nonpartisan	None
Undecided	Undecided	9.0	insights-west-26814	Insights West	2016-11-04	2016-11-06	As you may know, there will be a presidential election on Nov. 8. Which one of the following candidates would you be most likely to support on Election Day?	Likely Voters	387	4.9	Internet	Nonpartisan	None
Clinton	Clinton	49.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	323		Internet	Nonpartisan	None
Trump	Trump	46.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	323		Internet	Nonpartisan	None
Other	Other	5.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	323		Internet	Nonpartisan	None
Clinton	Clinton	44.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	1124		Internet	Nonpartisan	None
Trump	Trump	43.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	1124		Internet	Nonpartisan	None
Johnson	Johnson	10.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	1124		Internet	Nonpartisan	None
No answer	Undecided	3.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	1124		Internet	Nonpartisan	None
Clinton	Clinton	45.0	ipsos-reuters-26806	Ipsos/Reuters	2016-10-17	2016-11-06		Likely Voters	571		Internet	Nonpartisan	None
Trump	Trump	42.0	ipsos-reuters-26806	Ipsos/Reuters	2016-10-17	2016-11-06		Likely Voters	571		Internet	Nonpartisan	None
Don't Know/Other	Undecided	13.0	ipsos-reuters-26806	Ipsos/Reuters	2016-10-17	2016-11-06		Likely Voters	571		Internet	Nonpartisan	None
Clinton	Clinton	42.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	1092		Internet	Nonpartisan	None
Trump	Trump	43.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	1092		Internet	Nonpartisan	None
