response_text	pollster_label	value	poll_slug	survey_house	start_date	end_date	question_text	sample_subpopulation	observations	margin_of_error	mode	partisanship	partisan_affiliation
Clinton	Clinton	57.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	2208		Internet	Nonpartisan	None
Trump	Trump	32.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	2208		Internet	Nonpartisan	None
Johnson	Other	5.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	2208		Internet	Nonpartisan	None
Stein	Other	4.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	2208		Internet	Nonpartisan	None
No answer	Undecided	2.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	2208		Internet	Nonpartisan	None
Clinton	Clinton	59.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	458		Internet	Nonpartisan	None
Trump	Trump	38.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	458		Internet	Nonpartisan	None
Other	Other	4.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	458		Internet	Nonpartisan	None
Clinton	Clinton	58.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	2132		Internet	Nonpartisan	None
Trump	Trump	31.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	2132		Internet	Nonpartisan	None
Johnson	Other	5.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	2132		Internet	Nonpartisan	None
Stein	Other	4.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	2132		Internet	Nonpartisan	None
No answer	Undecided	2.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	2132		Internet	Nonpartisan	None
Clinton	Clinton	51.0	ipsos-reuters-26806	Ipsos/Reuters	2016-10-17	2016-11-06		Likely Voters	1383		Internet	Nonpartisan	None
Trump	Trump	33.0	ipsos-reuters-26806	Ipsos/Reuters	2016-10-17	2016-11-06		Likely Voters	1383		Internet	Nonpartisan	None
Don't Know/Other	Undecided	16.0	ipsos-reuters-26806	Ipsos/Reuters	2016-10-17	2016-11-06		Likely Voters	1383		Internet	Nonpartisan	None
Clinton	Clinton	51.0	siena-26748	Siena	2016-11-03	2016-11-04	If the election for President was being held today and the candidates were Hillary Clinton on the Democratic line, Donald Trump on the Republican line, Gary Johnson on the Libertarian Party line, and Jill Stein on the Green Party line, who would you vote for?	Likely Voters	617	4.5	Live Phone	Nonpartisan	None
Trump	Trump	34.0	siena-26748	Siena	2016-11-03	2016-11-04	If the election for President was being held today and the candidates were Hillary Clinton on the Democratic line, Donald Trump on the Republican line, Gary Johnson on the Libertarian Party line, and Jill Stein on the Green Party line, who would you vote for?	Likely Voters	617	4.5	Live Phone	Nonpartisan	None
Johnson	Other	5.0	siena-26748	Siena	2016-11-03	2016-11-04	If the election for President was being held today and the candidates were Hillary Clinton on the Democratic line, Donald Trump on the Republican line, Gary Johnson on the Libertarian Party line, and Jill Stein on the Green Party line, who would you vote for?	Likely Voters	617	4.5	Live Phone	Nonpartisan	None
Stein	Other	2.0	siena-26748	Siena	2016-11-03	2016-11-04	If the election for President was being held today and the candidates were Hillary Clinton on the Democratic line, Donald Trump on the Republican line, Gary Johnson on the Libertarian Party line, and Jill Stein on the Green Party line, who would you vote for?	Likely Voters	617	4.5	Live Phone	Nonpartisan	None
Someone Else (vol.)	Other	1.0	siena-26748	Siena	2016-11-03	2016-11-04	If the election for President was being held today and the candidates were Hillary Clinton on the Democratic line, Donald Trump on the Republican line, Gary Johnson on the Libertarian Party line, and Jill Stein on the Green Party line, who would you vote for?	Likely Voters	617	4.5	Live Phone	Nonpartisan	None
Won't Vote (vol.)	Undecided	1.0	siena-26748	Siena	2016-11-03	2016-11-04	If the election for President was being held today and the candidates were Hillary Clinton on the Democratic line, Donald Trump on the Republican line, Gary Johnson on the Libertarian Party line, and Jill Stein on the Green Party line, who would you vote for?	Likely Voters	617	4.5	Live Phone	Nonpartisan	None
Don't Know/No Opinion	Undecided	6.0	siena-26748	Siena	2016-11-03	2016-11-04	If the election for President was being held today and the candidates were Hillary Clinton on the Democratic line, Donald Trump on the Republican line, Gary Johnson on the Libertarian Party line, and Jill Stein on the Green Party line, who would you vote for?	Likely Voters	617	4.5	Live Phone	Nonpartisan	None
Clinton	Clinton	58.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	2131		Internet	Nonpartisan	None
Trump	Trump	32.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	2131		Internet	Nonpartisan	None
Johnson	Other	5.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	2131		Internet	Nonpartisan	None
Stein	Other	4.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	2131		Internet	Nonpartisan	None
No answer	Undecided	2.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	2131		Internet	Nonpartisan	None
Clinton	Clinton	57.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	1949		Internet	Nonpartisan	None
Trump	Trump	32.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	1949		Internet	Nonpartisan	None
Johnson	Other	5.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	1949		Internet	Nonpartisan	None
Stein	Other	4.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	1949		Internet	Nonpartisan	None
No answer	Undecided	2.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	1949		Internet	Nonpartisan	None
Clinton	Clinton	56.0	ipsos-reuters-26743	Ipsos/Reuters	2016-10-14	2016-11-03		Likely Voters	1443		Internet	Nonpartisan	None
