response_text	pollster_label	value	poll_slug	survey_house	start_date	end_date	question_text	sample_subpopulation	observations	margin_of_error	mode	partisanship	partisan_affiliation
Clinton	Clinton	42.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	2860		Internet	Nonpartisan	None
Trump	Trump	45.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	2860		Internet	Nonpartisan	None
Johnson	Johnson	7.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	2860		Internet	Nonpartisan	None
Stein	Other	3.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	2860		Internet	Nonpartisan	None
No answer	Undecided	3.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	2860		Internet	Nonpartisan	None
Clinton	Clinton	47.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	345		Internet	Nonpartisan	None
Trump	Trump	48.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	345		Internet	Nonpartisan	None
Other	Other	5.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	345		Internet	Nonpartisan	None
Clinton	Clinton	42.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	2530		Internet	Nonpartisan	None
Trump	Trump	45.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	2530		Internet	Nonpartisan	None
Johnson	Johnson	8.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	2530		Internet	Nonpartisan	None
Stein	Other	2.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	2530		Internet	Nonpartisan	None
No answer	Undecided	3.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	2530		Internet	Nonpartisan	None
Clinton	Clinton	47.0	ipsos-reuters-26806	Ipsos/Reuters	2016-10-17	2016-11-06		Likely Voters	775		Internet	Nonpartisan	None
Trump	Trump	46.0	ipsos-reuters-26806	Ipsos/Reuters	2016-10-17	2016-11-06		Likely Voters	775		Internet	Nonpartisan	None
Don't Know/Other	Undecided	7.0	ipsos-reuters-26806	Ipsos/Reuters	2016-10-17	2016-11-06		Likely Voters	775		Internet	Nonpartisan	None
Hillary Clinton/Tim Kaine (Democrat)	Clinton	48.0	columbus-dispatch-26756	Columbus Dispatch	2016-10-27	2016-11-05		Likely Voters	1151	2.9	Mail	Nonpartisan	None
Donald Trump/Mike Pence (Republican)	Trump	47.0	columbus-dispatch-26756	Columbus Dispatch	2016-10-27	2016-11-05		Likely Voters	1151	2.9	Mail	Nonpartisan	None
Gary Johnson/William Weld (No designation)	Johnson	3.0	columbus-dispatch-26756	Columbus Dispatch	2016-10-27	2016-11-05		Likely Voters	1151	2.9	Mail	Nonpartisan	None
Richard Duncan/Ricky Johnson (Nonparty candidates)	Other	1.0	columbus-dispatch-26756	Columbus Dispatch	2016-10-27	2016-11-05		Likely Voters	1151	2.9	Mail	Nonpartisan	None
Jill Stein/Ajamu Baraka (Green)	Other	1.0	columbus-dispatch-26756	Columbus Dispatch	2016-10-27	2016-11-05		Likely Voters	1151	2.9	Mail	Nonpartisan	None
Donald Trump	Trump	46.0	cbs-yougov-26754	CBS/YouGov	2016-11-02	2016-11-04		Likely Voters	1189	4.1	Internet	Nonpartisan	None
Hillary Clinton	Clinton	45.0	cbs-yougov-26754	CBS/YouGov	2016-11-02	2016-11-04		Likely Voters	1189	4.1	Internet	Nonpartisan	None
Gary Johnson	Johnson	3.0	cbs-yougov-26754	CBS/YouGov	2016-11-02	2016-11-04		Likely Voters	1189	4.1	Internet	Nonpartisan	None
Jill Stein	Other	2.0	cbs-yougov-26754	CBS/YouGov	2016-11-02	2016-11-04		Likely Voters	1189	4.1	Internet	Nonpartisan	None
Someone else	Other	2.0	cbs-yougov-26754	CBS/YouGov	2016-11-02	2016-11-04		Likely Voters	1189	4.1	Internet	Nonpartisan	None
Not sure	Undecided	2.0	cbs-yougov-26754	CBS/YouGov	2016-11-02	2016-11-04		Likely Voters	1189	4.1	Internet	Nonpartisan	None
Probably won’t vote	Undecided	0.0	cbs-yougov-26754	CBS/YouGov	2016-11-02	2016-11-04		Likely Voters	1189	4.1	Internet	Nonpartisan	None
Clinton	Clinton	42.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	2393		Internet	Nonpartisan	None
Trump	Trump	46.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	2393		Internet	Nonpartisan	None
Johnson	Johnson	8.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	2393		Internet	Nonpartisan	None
Stein	Other	2.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	2393		Internet	Nonpartisan	None
No answer	Undecided	2.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	2393		Internet	Nonpartisan	None
Donald Trump	Trump	43.0	targetsmart-william-mary-26773	TargetSmart/William & Mary	2016-10-31	2016-11-03		Likely Voters	1194		Live Phone/Online	Nonpartisan	None
Hillary Clinton	Clinton	40.0	targetsmart-william-mary-26773	TargetSmart/William & Mary	2016-10-31	2016-11-03		Likely Voters	1194		Live Phone/Online	Nonpartisan	None
Gary Johnson	Johnson	8.0	targetsmart-william-mary-26773	TargetSmart/William & Mary	2016-10-31	2016-11-03		Likely Voters	1194		Live Phone/Online	Nonpartisan	None
Jill Stein	Other	3.0	targetsmart-william-mary-26773	TargetSmart/William & Mary	2016-10-31	2016-11-03		Likely Voters	1194		Live Phone/Online	Nonpartisan	None
Other candidate (vol)	Other	4.0	targetsmart-william-mary-26773	TargetSmart/William & Mary	2016-10-31	2016-11-03		Likely Voters	1194		Live Phone/Online	Nonpartisan	None
Would not vote (vol)	Undecided	1.0	targetsmart-william-mary-26773	TargetSmart/William & Mary	2016-10-31	2016-11-03		Likely Voters	1194		Live Phone/Online	Nonpartisan	None
Undecided (vol)	Undecided	1.0	targetsmart-william-mary-26773	TargetSmart/William & Mary	2016-10-31	2016-11-03		Likely Voters	1194		Live Phone/Online	Nonpartisan	None
Clinton	Clinton	41.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	2004		Internet	Nonpartisan	None
Trump	Trump	46.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	2004		Internet	Nonpartisan	None
Johnson	Johnson	8.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	2004		Internet	Nonpartisan	None
Stein	Other	2.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	2004		Internet	Nonpartisan	None
No answer	Undecided	2.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	2004		Internet	Nonpartisan	None
Clinton	Clinton	47.0	ipsos-reuters-26743	Ipsos/Reuters	2016-10-14	2016-11-03		Likely Voters	787		Internet	Nonpartisan	None
Trump	Trump	45.0	ipsos-reuters-26743	Ipsos/Reuters	2016-10-14	2016-11-03		Likely Voters	787		Internet	Nonpartisan	None
Don't Know/Other	Undecided	8.0	ipsos-reuters-26743	Ipsos/Reuters	2016-10-14	2016-11-03		Likely Voters	787		Internet	Nonpartisan	None
Donald Trump	Trump	45.0	remington-research-group-r-axiom-strategies-26766	Remington Research Group (R)/Axiom Strategies	2016-11-01	2016-11-02		Likely Voters	2557	1.94	IVR/Live Phone	Sponsor	Rep
