response_text	pollster_label	value	poll_slug	survey_house	start_date	end_date	question_text	sample_subpopulation	observations	margin_of_error	mode	partisanship	partisan_affiliation
Clinton	Clinton	32.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	1271		Internet	Nonpartisan	None
Trump	Trump	57.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	1271		Internet	Nonpartisan	None
Johnson	Other	10.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	1271		Internet	Nonpartisan	None
No answer	Undecided	2.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	1271		Internet	Nonpartisan	None
Clinton	Clinton	34.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	323		Internet	Nonpartisan	None
Trump	Trump	63.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	323		Internet	Nonpartisan	None
Other	Other	4.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	323		Internet	Nonpartisan	None
Clinton	Clinton	32.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	1116		Internet	Nonpartisan	None
Trump	Trump	56.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	1116		Internet	Nonpartisan	None
Johnson	Other	10.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	1116		Internet	Nonpartisan	None
No answer	Undecided	2.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	1116		Internet	Nonpartisan	None
Clinton	Clinton	30.0	ipsos-reuters-26806	Ipsos/Reuters	2016-10-17	2016-11-06		Likely Voters	664		Internet	Nonpartisan	None
Trump	Trump	61.0	ipsos-reuters-26806	Ipsos/Reuters	2016-10-17	2016-11-06		Likely Voters	664		Internet	Nonpartisan	None
Don't Know/Other	Undecided	9.0	ipsos-reuters-26806	Ipsos/Reuters	2016-10-17	2016-11-06		Likely Voters	664		Internet	Nonpartisan	None
Clinton	Clinton	31.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	1050		Internet	Nonpartisan	None
Trump	Trump	57.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	1050		Internet	Nonpartisan	None
Johnson	Other	10.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	1050		Internet	Nonpartisan	None
No answer	Undecided	2.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	1050		Internet	Nonpartisan	None
Clinton	Clinton	32.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	905		Internet	Nonpartisan	None
Trump	Trump	56.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	905		Internet	Nonpartisan	None
Johnson	Other	10.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	905		Internet	Nonpartisan	None
No answer	Undecided	2.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	905		Internet	Nonpartisan	None
Clinton	Clinton	30.0	ipsos-reuters-26743	Ipsos/Reuters	2016-10-14	2016-11-03		Likely Voters	652		Internet	Nonpartisan	None
