response_text	pollster_label	value	poll_slug	survey_house	start_date	end_date	question_text	sample_subpopulation	observations	margin_of_error	mode	partisanship	partisan_affiliation
Clinton	Clinton	50.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	1595		Internet	Nonpartisan	None
Trump	Trump	35.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	1595		Internet	Nonpartisan	None
Johnson	Johnson	7.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	1595		Internet	Nonpartisan	None
Stein	Other	5.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	1595		Internet	Nonpartisan	None
No answer	Undecided	2.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	1595		Internet	Nonpartisan	None
Clinton	Clinton	51.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	319		Internet	Nonpartisan	None
Trump	Trump	43.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	319		Internet	Nonpartisan	None
Other	Other	6.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	319		Internet	Nonpartisan	None
Clinton	Clinton	51.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	1483		Internet	Nonpartisan	None
Trump	Trump	35.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	1483		Internet	Nonpartisan	None
Johnson	Johnson	7.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	1483		Internet	Nonpartisan	None
Stein	Other	5.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	1483		Internet	Nonpartisan	None
No answer	Undecided	3.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	1483		Internet	Nonpartisan	None
Clinton	Clinton	47.0	ipsos-reuters-26806	Ipsos/Reuters	2016-10-17	2016-11-06		Likely Voters	636		Internet	Nonpartisan	None
Trump	Trump	37.0	ipsos-reuters-26806	Ipsos/Reuters	2016-10-17	2016-11-06		Likely Voters	636		Internet	Nonpartisan	None
Don't Know/Other	Undecided	16.0	ipsos-reuters-26806	Ipsos/Reuters	2016-10-17	2016-11-06		Likely Voters	636		Internet	Nonpartisan	None
Clinton	Clinton	51.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	1415		Internet	Nonpartisan	None
Trump	Trump	35.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	1415		Internet	Nonpartisan	None
Johnson	Johnson	7.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	1415		Internet	Nonpartisan	None
Stein	Other	4.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	1415		Internet	Nonpartisan	None
No answer	Undecided	3.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	1415		Internet	Nonpartisan	None
Clinton	Clinton	51.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	1150		Internet	Nonpartisan	None
Trump	Trump	36.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	1150		Internet	Nonpartisan	None
Johnson	Johnson	7.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	1150		Internet	Nonpartisan	None
Stein	Other	4.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	1150		Internet	Nonpartisan	None
No answer	Undecided	3.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	1150		Internet	Nonpartisan	None
Clinton	Clinton	47.0	ipsos-reuters-26743	Ipsos/Reuters	2016-10-14	2016-11-03		Likely Voters	626		Internet	Nonpartisan	None
Trump	Trump	38.0	ipsos-reuters-26743	Ipsos/Reuters	2016-10-14	2016-11-03		Likely Voters	626		Internet	Nonpartisan	None
Don't Know/Other	Undecided	15.0	ipsos-reuters-26743	Ipsos/Reuters	2016-10-14	2016-11-03		Likely Voters	626		Internet	Nonpartisan	None
Clinton	Clinton	51.0	surveymonkey-26660	SurveyMonkey	2016-10-27	2016-11-02		Likely Voters	934		Internet	Nonpartisan	None
Trump	Trump	36.0	surveymonkey-26660	SurveyMonkey	2016-10-27	2016-11-02		Likely Voters	934		Internet	Nonpartisan	None
Johnson	Johnson	7.0	surveymonkey-26660	SurveyMonkey	2016-10-27	2016-11-02		Likely Voters	934		Internet	Nonpartisan	None
Stein	Other	3.0	surveymonkey-26660	SurveyMonkey	2016-10-27	2016-11-02		Likely Voters	934		Internet	Nonpartisan	None
No answer	Undecided	3.0	surveymonkey-26660	SurveyMonkey	2016-10-27	2016-11-02		Likely Voters	934		Internet	Nonpartisan	None
Clinton	Clinton	51.0	surveymonkey-26619	SurveyMonkey	2016-10-26	2016-11-01		Likely Voters	809		Internet	Nonpartisan	None
Trump	Trump	36.0	surveymonkey-26619	SurveyMonkey	2016-10-26	2016-11-01		Likely Voters	809		Internet	Nonpartisan	None
Johnson	Johnson	7.0	surveymonkey-26619	SurveyMonkey	2016-10-26	2016-11-01		Likely Voters	809		Internet	Nonpartisan	None
Stein	Other	3.0	surveymonkey-26619	SurveyMonkey	2016-10-26	2016-11-01		Likely Voters	809		Internet	Nonpartisan	None
No answer	Undecided	3.0	surveymonkey-26619	SurveyMonkey	2016-10-26	2016-11-01		Likely Voters	809		Internet	Nonpartisan	None
Clinton	Clinton	51.0	surveymonkey-26596	SurveyMonkey	2016-10-25	2016-10-31		Likely Voters	743		Internet	Nonpartisan	None
Trump	Trump	36.0	surveymonkey-26596	SurveyMonkey	2016-10-25	2016-10-31		Likely Voters	743		Internet	Nonpartisan	None
Johnson	Johnson	7.0	surveymonkey-26596	SurveyMonkey	2016-10-25	2016-10-31		Likely Voters	743		Internet	Nonpartisan	None
Stein	Other	4.0	surveymonkey-26596	SurveyMonkey	2016-10-25	2016-10-31		Likely Voters	743		Internet	Nonpartisan	None
No answer	Undecided	2.0	surveymonkey-26596	SurveyMonkey	2016-10-25	2016-10-31		Likely Voters	743		Internet	Nonpartisan	None
Clinton	Clinton	51.0	surveymonkey-26572	SurveyMonkey	2016-10-24	2016-10-30		Likely Voters	614		Internet	Nonpartisan	None
Trump	Trump	36.0	surveymonkey-26572	SurveyMonkey	2016-10-24	2016-10-30		Likely Voters	614		Internet	Nonpartisan	None
Johnson	Johnson	7.0	surveymonkey-26572	SurveyMonkey	2016-10-24	2016-10-30		Likely Voters	614		Internet	Nonpartisan	None
Stein	Other	4.0	surveymonkey-26572	SurveyMonkey	2016-10-24	2016-10-30		Likely Voters	614		Internet	Nonpartisan	None
No answer	Undecided	2.0	surveymonkey-26572	SurveyMonkey	2016-10-24	2016-10-30		Likely Voters	614		Internet	Nonpartisan	None
Clinton	Clinton	41.0	dhm-research-fox-12-26634	DHM Research/Fox 12	2016-10-25	2016-10-29		Likely Voters	504	4.4	Live Phone	Nonpartisan	None
Trump	Trump	34.0	dhm-research-fox-12-26634	DHM Research/Fox 12	2016-10-25	2016-10-29		Likely Voters	504	4.4	Live Phone	Nonpartisan	None
Gary Johnson	Johnson	4.0	dhm-research-fox-12-26634	DHM Research/Fox 12	2016-10-25	2016-10-29		Likely Voters	504	4.4	Live Phone	Nonpartisan	None
Jill Stein	Other	2.0	dhm-research-fox-12-26634	DHM Research/Fox 12	2016-10-25	2016-10-29		Likely Voters	504	4.4	Live Phone	Nonpartisan	None
Somebody else/May skip race	Other	8.0	dhm-research-fox-12-26634	DHM Research/Fox 12	2016-10-25	2016-10-29		Likely Voters	504	4.4	Live Phone	Nonpartisan	None
Don't Know	Undecided	11.0	dhm-research-fox-12-26634	DHM Research/Fox 12	2016-10-25	2016-10-29		Likely Voters	504	4.4	Live Phone	Nonpartisan	None
Clinton	Clinton	50.0	upi-cvoter-26592	UPI/CVOTER	2016-10-23	2016-10-29		Likely Voters	313		Internet	Nonpartisan	None
Trump	Trump	43.0	upi-cvoter-26592	UPI/CVOTER	2016-10-23	2016-10-29		Likely Voters	313		Internet	Nonpartisan	None
Other	Other	6.0	upi-cvoter-26592	UPI/CVOTER	2016-10-23	2016-10-29		Likely Voters	313		Internet	Nonpartisan	None
Clinton	Clinton	50.0	surveymonkey-26537	SurveyMonkey	2016-10-20	2016-10-28		Likely Voters	658		Internet	Nonpartisan	None
Trump	Trump	35.0	surveymonkey-26537	SurveyMonkey	2016-10-20	2016-10-28		Likely Voters	658		Internet	Nonpartisan	None
Johnson	Johnson	8.0	surveymonkey-26537	SurveyMonkey	2016-10-20	2016-10-28		Likely Voters	658		Internet	Nonpartisan	None
Stein	Other	4.0	surveymonkey-26537	SurveyMonkey	2016-10-20	2016-10-28		Likely Voters	658		Internet	Nonpartisan	None
No answer	Undecided	3.0	surveymonkey-26537	SurveyMonkey	2016-10-20	2016-10-28		Likely Voters	658		Internet	Nonpartisan	None
Clinton	Clinton	46.0	ipsos-reuters-26585	Ipsos/Reuters	2016-10-07	2016-10-27		Likely Voters	621		Internet	Nonpartisan	None
Trump	Trump	38.0	ipsos-reuters-26585	Ipsos/Reuters	2016-10-07	2016-10-27		Likely Voters	621		Internet	Nonpartisan	None
Don't Know/Other	Undecided	16.0	ipsos-reuters-26585	Ipsos/Reuters	2016-10-07	2016-10-27		Likely Voters	621		Internet	Nonpartisan	None
Clinton	Clinton	52.0	surveymonkey-26499	SurveyMonkey	2016-10-18	2016-10-26		Likely Voters	660		Internet	Nonpartisan	None
Trump	Trump	33.0	surveymonkey-26499	SurveyMonkey	2016-10-18	2016-10-26		Likely Voters	660		Internet	Nonpartisan	None
Johnson	Johnson	9.0	surveymonkey-26499	SurveyMonkey	2016-10-18	2016-10-26		Likely Voters	660		Internet	Nonpartisan	None
Stein	Other	4.0	surveymonkey-26499	SurveyMonkey	2016-10-18	2016-10-26		Likely Voters	660		Internet	Nonpartisan	None
No answer	Undecided	3.0	surveymonkey-26499	SurveyMonkey	2016-10-18	2016-10-26		Likely Voters	660		Internet	Nonpartisan	None
Clinton	Clinton	51.0	surveymonkey-26441	SurveyMonkey	2016-10-18	2016-10-24		Likely Voters	576		Internet	Nonpartisan	None
