response_text	pollster_label	value	poll_slug	survey_house	start_date	end_date	question_text	sample_subpopulation	observations	margin_of_error	mode	partisanship	partisan_affiliation
Clinton	Clinton	46.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	2845		Internet	Nonpartisan	None
Trump	Trump	43.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	2845		Internet	Nonpartisan	None
Johnson	Johnson	6.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	2845		Internet	Nonpartisan	None
Stein	Other	3.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	2845		Internet	Nonpartisan	None
No answer	Undecided	3.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	2845		Internet	Nonpartisan	None
Clinton	Clinton	48.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	390		Internet	Nonpartisan	None
Trump	Trump	47.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	390		Internet	Nonpartisan	None
Other	Other	5.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	390		Internet	Nonpartisan	None
Clinton	Clinton	47.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	2685		Internet	Nonpartisan	None
Trump	Trump	42.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	2685		Internet	Nonpartisan	None
Johnson	Johnson	6.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	2685		Internet	Nonpartisan	None
Stein	Other	3.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	2685		Internet	Nonpartisan	None
No answer	Undecided	2.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	2685		Internet	Nonpartisan	None
Clinton	Clinton	48.0	ipsos-reuters-26806	Ipsos/Reuters	2016-10-17	2016-11-06		Likely Voters	955		Internet	Nonpartisan	None
Trump	Trump	45.0	ipsos-reuters-26806	Ipsos/Reuters	2016-10-17	2016-11-06		Likely Voters	955		Internet	Nonpartisan	None
Don't Know/Other	Undecided	7.0	ipsos-reuters-26806	Ipsos/Reuters	2016-10-17	2016-11-06		Likely Voters	955		Internet	Nonpartisan	None
Hillary Clinton	Clinton	45.0	cbs-yougov-26802	CBS/YouGov	2016-11-03	2016-11-05		Likely Voters	931	4.3	Internet	Nonpartisan	None
Donald Trump	Trump	43.0	cbs-yougov-26802	CBS/YouGov	2016-11-03	2016-11-05		Likely Voters	931	4.3	Internet	Nonpartisan	None
Gary Johnson	Johnson	4.0	cbs-yougov-26802	CBS/YouGov	2016-11-03	2016-11-05		Likely Voters	931	4.3	Internet	Nonpartisan	None
Jill Stein	Other	2.0	cbs-yougov-26802	CBS/YouGov	2016-11-03	2016-11-05		Likely Voters	931	4.3	Internet	Nonpartisan	None
Other	Other	2.0	cbs-yougov-26802	CBS/YouGov	2016-11-03	2016-11-05		Likely Voters	931	4.3	Internet	Nonpartisan	None
Not sure	Undecided	4.0	cbs-yougov-26802	CBS/YouGov	2016-11-03	2016-11-05		Likely Voters	931	4.3	Internet	Nonpartisan	None
