response_text	pollster_label	value	poll_slug	survey_house	start_date	end_date	question_text	sample_subpopulation	observations	margin_of_error	mode	partisanship	partisan_affiliation
Clinton	Clinton	48.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	415		Internet	Nonpartisan	None
Trump	Trump	36.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	415		Internet	Nonpartisan	None
Johnson	Other	6.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	415		Internet	Nonpartisan	None
Stein	Other	6.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	415		Internet	Nonpartisan	None
No answer	Undecided	3.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	415		Internet	Nonpartisan	None
Clinton	Clinton	59.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	310		Internet	Nonpartisan	None
Trump	Trump	37.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	310		Internet	Nonpartisan	None
Other	Other	5.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	310		Internet	Nonpartisan	None
Clinton	Clinton	49.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	396		Internet	Nonpartisan	None
Trump	Trump	36.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	396		Internet	Nonpartisan	None
Johnson	Other	7.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	396		Internet	Nonpartisan	None
Stein	Other	5.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	396		Internet	Nonpartisan	None
No answer	Undecided	3.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	396		Internet	Nonpartisan	None
Clinton	Clinton	49.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	411		Internet	Nonpartisan	None
Trump	Trump	36.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	411		Internet	Nonpartisan	None
Johnson	Other	8.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	411		Internet	Nonpartisan	None
Stein	Other	5.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	411		Internet	Nonpartisan	None
No answer	Undecided	3.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	411		Internet	Nonpartisan	None
Clinton	Clinton	49.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	392		Internet	Nonpartisan	None
Trump	Trump	38.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	392		Internet	Nonpartisan	None
Johnson	Other	6.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	392		Internet	Nonpartisan	None
Stein	Other	4.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	392		Internet	Nonpartisan	None
No answer	Undecided	3.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	392		Internet	Nonpartisan	None
Clinton	Clinton	48.0	surveymonkey-26660	SurveyMonkey	2016-10-27	2016-11-02		Likely Voters	391		Internet	Nonpartisan	None
Trump	Trump	38.0	surveymonkey-26660	SurveyMonkey	2016-10-27	2016-11-02		Likely Voters	391		Internet	Nonpartisan	None
Johnson	Other	6.0	surveymonkey-26660	SurveyMonkey	2016-10-27	2016-11-02		Likely Voters	391		Internet	Nonpartisan	None
Stein	Other	6.0	surveymonkey-26660	SurveyMonkey	2016-10-27	2016-11-02		Likely Voters	391		Internet	Nonpartisan	None
No answer	Undecided	3.0	surveymonkey-26660	SurveyMonkey	2016-10-27	2016-11-02		Likely Voters	391		Internet	Nonpartisan	None
Clinton	Clinton	49.0	surveymonkey-26619	SurveyMonkey	2016-10-26	2016-11-01		Likely Voters	408		Internet	Nonpartisan	None
Trump	Trump	36.0	surveymonkey-26619	SurveyMonkey	2016-10-26	2016-11-01		Likely Voters	408		Internet	Nonpartisan	None
Johnson	Other	8.0	surveymonkey-26619	SurveyMonkey	2016-10-26	2016-11-01		Likely Voters	408		Internet	Nonpartisan	None
Stein	Other	6.0	surveymonkey-26619	SurveyMonkey	2016-10-26	2016-11-01		Likely Voters	408		Internet	Nonpartisan	None
No answer	Undecided	2.0	surveymonkey-26619	SurveyMonkey	2016-10-26	2016-11-01		Likely Voters	408		Internet	Nonpartisan	None
Clinton	Clinton	49.0	surveymonkey-26596	SurveyMonkey	2016-10-25	2016-10-31		Likely Voters	419		Internet	Nonpartisan	None
Trump	Trump	36.0	surveymonkey-26596	SurveyMonkey	2016-10-25	2016-10-31		Likely Voters	419		Internet	Nonpartisan	None
Johnson	Other	7.0	surveymonkey-26596	SurveyMonkey	2016-10-25	2016-10-31		Likely Voters	419		Internet	Nonpartisan	None
Stein	Other	7.0	surveymonkey-26596	SurveyMonkey	2016-10-25	2016-10-31		Likely Voters	419		Internet	Nonpartisan	None
No answer	Undecided	1.0	surveymonkey-26596	SurveyMonkey	2016-10-25	2016-10-31		Likely Voters	419		Internet	Nonpartisan	None
Clinton	Clinton	49.0	surveymonkey-26572	SurveyMonkey	2016-10-24	2016-10-30		Likely Voters	412		Internet	Nonpartisan	None
Trump	Trump	36.0	surveymonkey-26572	SurveyMonkey	2016-10-24	2016-10-30		Likely Voters	412		Internet	Nonpartisan	None
Johnson	Other	8.0	surveymonkey-26572	SurveyMonkey	2016-10-24	2016-10-30		Likely Voters	412		Internet	Nonpartisan	None
Stein	Other	6.0	surveymonkey-26572	SurveyMonkey	2016-10-24	2016-10-30		Likely Voters	412		Internet	Nonpartisan	None
No answer	Undecided	1.0	surveymonkey-26572	SurveyMonkey	2016-10-24	2016-10-30		Likely Voters	412		Internet	Nonpartisan	None
Clinton	Clinton	57.0	upi-cvoter-26592	UPI/CVOTER	2016-10-23	2016-10-29		Likely Voters	308		Internet	Nonpartisan	None
Trump	Trump	40.0	upi-cvoter-26592	UPI/CVOTER	2016-10-23	2016-10-29		Likely Voters	308		Internet	Nonpartisan	None
Other	Other	3.0	upi-cvoter-26592	UPI/CVOTER	2016-10-23	2016-10-29		Likely Voters	308		Internet	Nonpartisan	None
Clinton	Clinton	48.0	surveymonkey-26537	SurveyMonkey	2016-10-20	2016-10-28		Likely Voters	518		Internet	Nonpartisan	None
Trump	Trump	37.0	surveymonkey-26537	SurveyMonkey	2016-10-20	2016-10-28		Likely Voters	518		Internet	Nonpartisan	None
Johnson	Other	8.0	surveymonkey-26537	SurveyMonkey	2016-10-20	2016-10-28		Likely Voters	518		Internet	Nonpartisan	None
Stein	Other	5.0	surveymonkey-26537	SurveyMonkey	2016-10-20	2016-10-28		Likely Voters	518		Internet	Nonpartisan	None
No answer	Undecided	2.0	surveymonkey-26537	SurveyMonkey	2016-10-20	2016-10-28		Likely Voters	518		Internet	Nonpartisan	None
Clinton	Clinton	49.0	surveymonkey-26499	SurveyMonkey	2016-10-18	2016-10-26		Likely Voters	540		Internet	Nonpartisan	None
Trump	Trump	37.0	surveymonkey-26499	SurveyMonkey	2016-10-18	2016-10-26		Likely Voters	540		Internet	Nonpartisan	None
Johnson	Other	7.0	surveymonkey-26499	SurveyMonkey	2016-10-18	2016-10-26		Likely Voters	540		Internet	Nonpartisan	None
Stein	Other	4.0	surveymonkey-26499	SurveyMonkey	2016-10-18	2016-10-26		Likely Voters	540		Internet	Nonpartisan	None
No answer	Undecided	2.0	surveymonkey-26499	SurveyMonkey	2016-10-18	2016-10-26		Likely Voters	540		Internet	Nonpartisan	None
Clinton	Clinton	49.0	surveymonkey-26441	SurveyMonkey	2016-10-18	2016-10-24		Likely Voters	488		Internet	Nonpartisan	None
Trump	Trump	37.0	surveymonkey-26441	SurveyMonkey	2016-10-18	2016-10-24		Likely Voters	488		Internet	Nonpartisan	None
Johnson	Other	8.0	surveymonkey-26441	SurveyMonkey	2016-10-18	2016-10-24		Likely Voters	488		Internet	Nonpartisan	None
Stein	Other	4.0	surveymonkey-26441	SurveyMonkey	2016-10-18	2016-10-24		Likely Voters	488		Internet	Nonpartisan	None
No answer	Undecided	3.0	surveymonkey-26441	SurveyMonkey	2016-10-18	2016-10-24		Likely Voters	488		Internet	Nonpartisan	None
Clinton	Clinton	48.0	surveymonkey-26431	SurveyMonkey	2016-10-17	2016-10-23		Likely Voters	422		Internet	Nonpartisan	None
Trump	Trump	37.0	surveymonkey-26431	SurveyMonkey	2016-10-17	2016-10-23		Likely Voters	422		Internet	Nonpartisan	None
Johnson	Other	8.0	surveymonkey-26431	SurveyMonkey	2016-10-17	2016-10-23		Likely Voters	422		Internet	Nonpartisan	None
Stein	Other	4.0	surveymonkey-26431	SurveyMonkey	2016-10-17	2016-10-23		Likely Voters	422		Internet	Nonpartisan	None
No answer	Undecided	3.0	surveymonkey-26431	SurveyMonkey	2016-10-17	2016-10-23		Likely Voters	422		Internet	Nonpartisan	None
Clinton	Clinton	58.0	upi-cvoter-26409	UPI/CVOTER	2016-10-16	2016-10-23		Likely Voters	305		Internet	Nonpartisan	None
Trump	Trump	39.0	upi-cvoter-26409	UPI/CVOTER	2016-10-16	2016-10-23		Likely Voters	305		Internet	Nonpartisan	None
Other	Other	3.0	upi-cvoter-26409	UPI/CVOTER	2016-10-16	2016-10-23		Likely Voters	305		Internet	Nonpartisan	None
Clinton	Clinton	58.0	upi-cvoter-26327	UPI/CVOTER	2016-10-09	2016-10-16		Likely Voters			Internet	Nonpartisan	None
Trump	Trump	39.0	upi-cvoter-26327	UPI/CVOTER	2016-10-09	2016-10-16		Likely Voters			Internet	Nonpartisan	None
Other	Other	3.0	upi-cvoter-26327	UPI/CVOTER	2016-10-09	2016-10-16		Likely Voters			Internet	Nonpartisan	None
Clinton	Clinton	58.0	upi-cvoter-26064	UPI/CVOTER	2016-10-02	2016-10-09		Likely Voters	303		Internet	Nonpartisan	None
Trump	Trump	39.0	upi-cvoter-26064	UPI/CVOTER	2016-10-02	2016-10-09		Likely Voters	303		Internet	Nonpartisan	None
Other	Other	4.0	upi-cvoter-26064	UPI/CVOTER	2016-10-02	2016-10-09		Likely Voters	303		Internet	Nonpartisan	None
Clinton	Clinton	57.0	upi-cvoter-25936	UPI/CVOTER	2016-09-19	2016-10-02		Likely Voters	457		Internet	Nonpartisan	None
Trump	Trump	40.0	upi-cvoter-25936	UPI/CVOTER	2016-09-19	2016-10-02		Likely Voters	457		Internet	Nonpartisan	None
Other	Other	3.0	upi-cvoter-25936	UPI/CVOTER	2016-09-19	2016-10-02		Likely Voters	457		Internet	Nonpartisan	None
Clinton	Clinton	56.0	upi-cvoter-25771	UPI/CVOTER	2016-09-12	2016-09-25		Likely Voters	455		Internet	Nonpartisan	None
Trump	Trump	40.0	upi-cvoter-25771	UPI/CVOTER	2016-09-12	2016-09-25		Likely Voters	455		Internet	Nonpartisan	None
Other	Other	4.0	upi-cvoter-25771	UPI/CVOTER	2016-09-12	2016-09-25		Likely Voters	455		Internet	Nonpartisan	None
Hillary Clinton, the Democrat	Clinton	50.0	washpost-surveymonkey-25388	WashPost/SurveyMonkey	2016-08-09	2016-09-01		Registered Voters	625		Internet	Nonpartisan	None
Donald Trump, the Republican	Trump	40.0	washpost-surveymonkey-25388	WashPost/SurveyMonkey	2016-08-09	2016-09-01		Registered Voters	625		Internet	Nonpartisan	None
No Answer	Undecided	11.0	washpost-surveymonkey-25388	WashPost/SurveyMonkey	2016-08-09	2016-09-01		Registered Voters	625		Internet	Nonpartisan	None
Hillary Clinton, the Democrat	Clinton	41.0	washpost-surveymonkey-25388	WashPost/SurveyMonkey	2016-08-09	2016-09-01		Registered Voters	625		Internet	Nonpartisan	None
Donald Trump, the Republican	Trump	33.0	washpost-surveymonkey-25388	WashPost/SurveyMonkey	2016-08-09	2016-09-01		Registered Voters	625		Internet	Nonpartisan	None
Gary Johnson, the Libertarian	Other	15.0	washpost-surveymonkey-25388	WashPost/SurveyMonkey	2016-08-09	2016-09-01		Registered Voters	625		Internet	Nonpartisan	None
Jill Stein, the Green Party	Other	7.0	washpost-surveymonkey-25388	WashPost/SurveyMonkey	2016-08-09	2016-09-01		Registered Voters	625		Internet	Nonpartisan	None
No answer	Undecided	4.0	washpost-surveymonkey-25388	WashPost/SurveyMonkey	2016-08-09	2016-09-01		Registered Voters	625		Internet	Nonpartisan	None
