response_text	pollster_label	value	poll_slug	survey_house	start_date	end_date	question_text	sample_subpopulation	observations	margin_of_error	mode	partisanship	partisan_affiliation
Clinton	Clinton	32.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	459		Internet	Nonpartisan	None
Trump	Trump	53.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	459		Internet	Nonpartisan	None
Johnson	Other	11.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	459		Internet	Nonpartisan	None
No answer	Undecided	4.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	459		Internet	Nonpartisan	None
Clinton	Clinton	40.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	312		Internet	Nonpartisan	None
Trump	Trump	55.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	312		Internet	Nonpartisan	None
Other	Other	5.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	312		Internet	Nonpartisan	None
Clinton	Clinton	31.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	435		Internet	Nonpartisan	None
Trump	Trump	53.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	435		Internet	Nonpartisan	None
Johnson	Other	12.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	435		Internet	Nonpartisan	None
No answer	Undecided	4.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	435		Internet	Nonpartisan	None
Clinton	Clinton	30.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	433		Internet	Nonpartisan	None
Trump	Trump	53.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	433		Internet	Nonpartisan	None
Johnson	Other	13.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	433		Internet	Nonpartisan	None
No answer	Undecided	4.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	433		Internet	Nonpartisan	None
Clinton	Clinton	31.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	393		Internet	Nonpartisan	None
