response_text	pollster_label	value	poll_slug	survey_house	start_date	end_date	question_text	sample_subpopulation	observations	margin_of_error	mode	partisanship	partisan_affiliation
Clinton	Clinton	41.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	1433		Internet	Nonpartisan	None
Trump	Trump	49.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	1433		Internet	Nonpartisan	None
Johnson	Other	5.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	1433		Internet	Nonpartisan	None
Stein	Other	3.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	1433		Internet	Nonpartisan	None
No answer	Undecided	2.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	1433		Internet	Nonpartisan	None
Clinton	Clinton	39.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	339		Internet	Nonpartisan	None
Trump	Trump	55.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	339		Internet	Nonpartisan	None
Other	Other	6.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	339		Internet	Nonpartisan	None
Clinton	Clinton	40.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	1281		Internet	Nonpartisan	None
Trump	Trump	49.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	1281		Internet	Nonpartisan	None
Johnson	Other	6.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	1281		Internet	Nonpartisan	None
Stein	Other	3.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	1281		Internet	Nonpartisan	None
No answer	Undecided	2.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	1281		Internet	Nonpartisan	None
Clinton	Clinton	36.0	ipsos-reuters-26806	Ipsos/Reuters	2016-10-17	2016-11-06		Likely Voters	823		Internet	Nonpartisan	None
Trump	Trump	50.0	ipsos-reuters-26806	Ipsos/Reuters	2016-10-17	2016-11-06		Likely Voters	823		Internet	Nonpartisan	None
Don't Know/Other	Undecided	14.0	ipsos-reuters-26806	Ipsos/Reuters	2016-10-17	2016-11-06		Likely Voters	823		Internet	Nonpartisan	None
Clinton	Clinton	41.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	1223		Internet	Nonpartisan	None
Trump	Trump	49.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	1223		Internet	Nonpartisan	None
Johnson	Other	5.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	1223		Internet	Nonpartisan	None
Stein	Other	3.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	1223		Internet	Nonpartisan	None
No answer	Undecided	2.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	1223		Internet	Nonpartisan	None
Clinton	Clinton	41.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	1063		Internet	Nonpartisan	None
Trump	Trump	49.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	1063		Internet	Nonpartisan	None
Johnson	Other	5.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	1063		Internet	Nonpartisan	None
Stein	Other	3.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	1063		Internet	Nonpartisan	None
No answer	Undecided	2.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	1063		Internet	Nonpartisan	None
Clinton	Clinton	35.0	ipsos-reuters-26743	Ipsos/Reuters	2016-10-14	2016-11-03		Likely Voters	803		Internet	Nonpartisan	None
Trump	Trump	50.0	ipsos-reuters-26743	Ipsos/Reuters	2016-10-14	2016-11-03		Likely Voters	803		Internet	Nonpartisan	None
Don't Know/Other	Undecided	15.0	ipsos-reuters-26743	Ipsos/Reuters	2016-10-14	2016-11-03		Likely Voters	803		Internet	Nonpartisan	None
Clinton	Clinton	41.0	surveymonkey-26660	SurveyMonkey	2016-10-27	2016-11-02		Likely Voters	905		Internet	Nonpartisan	None
Trump	Trump	50.0	surveymonkey-26660	SurveyMonkey	2016-10-27	2016-11-02		Likely Voters	905		Internet	Nonpartisan	None
Johnson	Other	5.0	surveymonkey-26660	SurveyMonkey	2016-10-27	2016-11-02		Likely Voters	905		Internet	Nonpartisan	None
Stein	Other	3.0	surveymonkey-26660	SurveyMonkey	2016-10-27	2016-11-02		Likely Voters	905		Internet	Nonpartisan	None
No answer	Undecided	1.0	surveymonkey-26660	SurveyMonkey	2016-10-27	2016-11-02		Likely Voters	905		Internet	Nonpartisan	None
Clinton	Clinton	40.0	surveymonkey-26619	SurveyMonkey	2016-10-26	2016-11-01		Likely Voters	702		Internet	Nonpartisan	None
Trump	Trump	51.0	surveymonkey-26619	SurveyMonkey	2016-10-26	2016-11-01		Likely Voters	702		Internet	Nonpartisan	None
Johnson	Other	4.0	surveymonkey-26619	SurveyMonkey	2016-10-26	2016-11-01		Likely Voters	702		Internet	Nonpartisan	None
Stein	Other	3.0	surveymonkey-26619	SurveyMonkey	2016-10-26	2016-11-01		Likely Voters	702		Internet	Nonpartisan	None
No answer	Undecided	1.0	surveymonkey-26619	SurveyMonkey	2016-10-26	2016-11-01		Likely Voters	702		Internet	Nonpartisan	None
Clinton	Clinton	38.0	surveymonkey-26596	SurveyMonkey	2016-10-25	2016-10-31		Likely Voters	550		Internet	Nonpartisan	None
Trump	Trump	51.0	surveymonkey-26596	SurveyMonkey	2016-10-25	2016-10-31		Likely Voters	550		Internet	Nonpartisan	None
Johnson	Other	6.0	surveymonkey-26596	SurveyMonkey	2016-10-25	2016-10-31		Likely Voters	550		Internet	Nonpartisan	None
Stein	Other	2.0	surveymonkey-26596	SurveyMonkey	2016-10-25	2016-10-31		Likely Voters	550		Internet	Nonpartisan	None
No answer	Undecided	2.0	surveymonkey-26596	SurveyMonkey	2016-10-25	2016-10-31		Likely Voters	550		Internet	Nonpartisan	None
Clinton	Clinton	39.0	surveymonkey-26572	SurveyMonkey	2016-10-24	2016-10-30		Likely Voters	455		Internet	Nonpartisan	None
Trump	Trump	51.0	surveymonkey-26572	SurveyMonkey	2016-10-24	2016-10-30		Likely Voters	455		Internet	Nonpartisan	None
Johnson	Other	5.0	surveymonkey-26572	SurveyMonkey	2016-10-24	2016-10-30		Likely Voters	455		Internet	Nonpartisan	None
Stein	Other	2.0	surveymonkey-26572	SurveyMonkey	2016-10-24	2016-10-30		Likely Voters	455		Internet	Nonpartisan	None
No answer	Undecided	2.0	surveymonkey-26572	SurveyMonkey	2016-10-24	2016-10-30		Likely Voters	455		Internet	Nonpartisan	None
Clinton	Clinton	38.0	upi-cvoter-26592	UPI/CVOTER	2016-10-23	2016-10-29		Likely Voters	339		Internet	Nonpartisan	None
Trump	Trump	57.0	upi-cvoter-26592	UPI/CVOTER	2016-10-23	2016-10-29		Likely Voters	339		Internet	Nonpartisan	None
Other	Other	5.0	upi-cvoter-26592	UPI/CVOTER	2016-10-23	2016-10-29		Likely Voters	339		Internet	Nonpartisan	None
Clinton	Clinton	38.0	surveymonkey-26537	SurveyMonkey	2016-10-20	2016-10-28		Likely Voters	565		Internet	Nonpartisan	None
Trump	Trump	51.0	surveymonkey-26537	SurveyMonkey	2016-10-20	2016-10-28		Likely Voters	565		Internet	Nonpartisan	None
