response_text	pollster_label	value	poll_slug	survey_house	start_date	end_date	question_text	sample_subpopulation	observations	margin_of_error	mode	partisanship	partisan_affiliation
Clinton	Clinton	43.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	3009		Internet	Nonpartisan	None
Trump	Trump	46.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	3009		Internet	Nonpartisan	None
Johnson	Johnson	6.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	3009		Internet	Nonpartisan	None
Stein	Other	2.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	3009		Internet	Nonpartisan	None
No answer	Undecided	3.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	3009		Internet	Nonpartisan	None
Clinton	Clinton	40.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	472		Internet	Nonpartisan	None
Trump	Trump	54.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	472		Internet	Nonpartisan	None
Other	Other	6.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	472		Internet	Nonpartisan	None
Clinton	Clinton	42.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	2695		Internet	Nonpartisan	None
Trump	Trump	47.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	2695		Internet	Nonpartisan	None
Johnson	Johnson	6.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	2695		Internet	Nonpartisan	None
Stein	Other	2.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	2695		Internet	Nonpartisan	None
No answer	Undecided	3.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	2695		Internet	Nonpartisan	None
Clinton	Clinton	39.0	ipsos-reuters-26806	Ipsos/Reuters	2016-10-17	2016-11-06		Likely Voters	1213		Internet	Nonpartisan	None
Trump	Trump	49.0	ipsos-reuters-26806	Ipsos/Reuters	2016-10-17	2016-11-06		Likely Voters	1213		Internet	Nonpartisan	None
Don't Know/Other	Undecided	12.0	ipsos-reuters-26806	Ipsos/Reuters	2016-10-17	2016-11-06		Likely Voters	1213		Internet	Nonpartisan	None
Clinton	Clinton	42.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	2645		Internet	Nonpartisan	None
Trump	Trump	47.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	2645		Internet	Nonpartisan	None
Johnson	Johnson	6.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	2645		Internet	Nonpartisan	None
Stein	Other	2.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	2645		Internet	Nonpartisan	None
No answer	Other	3.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	2645		Internet	Nonpartisan	None
Clinton	Clinton	42.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	2322		Internet	Nonpartisan	None
Trump	Trump	47.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	2322		Internet	Nonpartisan	None
