response_text	pollster_label	value	poll_slug	survey_house	start_date	end_date	question_text	sample_subpopulation	observations	margin_of_error	mode	partisanship	partisan_affiliation
Clinton	Clinton	31.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	1479		Internet	Nonpartisan	None
Trump	Trump	34.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	1479		Internet	Nonpartisan	None
Johnson	Johnson	7.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	1479		Internet	Nonpartisan	None
Stein	Other	2.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	1479		Internet	Nonpartisan	None
McMullin 	McMullin	25.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	1479		Internet	Nonpartisan	None
No answer	Undecided	2.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	1479		Internet	Nonpartisan	None
Clinton	Clinton	28.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	320		Internet	Nonpartisan	None
Trump	Trump	43.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	320		Internet	Nonpartisan	None
Other	Other	29.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	320		Internet	Nonpartisan	None
Clinton	Clinton	31.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	1428		Internet	Nonpartisan	None
Trump	Trump	34.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	1428		Internet	Nonpartisan	None
Johnson	Johnson	6.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	1428		Internet	Nonpartisan	None
Stein	Other	3.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	1428		Internet	Nonpartisan	None
McMullin 	McMullin	25.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	1428		Internet	Nonpartisan	None
No answer	Undecided	1.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	1428		Internet	Nonpartisan	None
Clinton	Clinton	33.0	ipsos-reuters-26806	Ipsos/Reuters	2016-10-17	2016-11-06		Likely Voters	532		Internet	Nonpartisan	None
Trump	Trump	40.0	ipsos-reuters-26806	Ipsos/Reuters	2016-10-17	2016-11-06		Likely Voters	532		Internet	Nonpartisan	None
Don't Know/Other	Undecided	27.0	ipsos-reuters-26806	Ipsos/Reuters	2016-10-17	2016-11-06		Likely Voters	532		Internet	Nonpartisan	None
Donald Trump	Trump	40.0	cbs-yougov-26803	CBS/YouGov	2016-11-03	2016-11-05		Likely Voters	762	4.9	Internet	Nonpartisan	None
Evan McMullin	McMullin	24.0	cbs-yougov-26803	CBS/YouGov	2016-11-03	2016-11-05		Likely Voters	762	4.9	Internet	Nonpartisan	None
Hillary Clinton	Clinton	23.0	cbs-yougov-26803	CBS/YouGov	2016-11-03	2016-11-05		Likely Voters	762	4.9	Internet	Nonpartisan	None
Gary Johnson	Johnson	7.0	cbs-yougov-26803	CBS/YouGov	2016-11-03	2016-11-05		Likely Voters	762	4.9	Internet	Nonpartisan	None
Jill Stein	Other	1.0	cbs-yougov-26803	CBS/YouGov	2016-11-03	2016-11-05		Likely Voters	762	4.9	Internet	Nonpartisan	None
Other	Other	2.0	cbs-yougov-26803	CBS/YouGov	2016-11-03	2016-11-05		Likely Voters	762	4.9	Internet	Nonpartisan	None
