response_text	pollster_label	value	poll_slug	survey_house	start_date	end_date	question_text	sample_subpopulation	observations	margin_of_error	mode	partisanship	partisan_affiliation
Clinton	Clinton	61.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	454		Internet	Nonpartisan	None
Trump	Trump	25.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	454		Internet	Nonpartisan	None
Johnson	Other	6.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	454		Internet	Nonpartisan	None
Stein	Other	6.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	454		Internet	Nonpartisan	None
No answer	Undecided	2.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	454		Internet	Nonpartisan	None
Clinton	Clinton	62.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	305		Internet	Nonpartisan	None
Trump	Trump	33.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	305		Internet	Nonpartisan	None
Other	Undecided	5.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	305		Internet	Nonpartisan	None
Clinton	Clinton	60.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	447		Internet	Nonpartisan	None
Trump	Trump	27.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	447		Internet	Nonpartisan	None
Johnson	Other	6.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	447		Internet	Nonpartisan	None
Stein	Other	5.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	447		Internet	Nonpartisan	None
No answer	Undecided	2.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	447		Internet	Nonpartisan	None
Clinton	Clinton	59.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	470		Internet	Nonpartisan	None
Trump	Trump	25.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	470		Internet	Nonpartisan	None
Johnson	Other	9.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	470		Internet	Nonpartisan	None
Stein	Other	5.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	470		Internet	Nonpartisan	None
No answer	Undecided	2.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	470		Internet	Nonpartisan	None
Clinton	Clinton	57.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	449		Internet	Nonpartisan	None
Trump	Trump	24.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	449		Internet	Nonpartisan	None
Johnson	Other	10.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	449		Internet	Nonpartisan	None
Stein	Other	7.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	449		Internet	Nonpartisan	None
No answer	Undecided	2.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	449		Internet	Nonpartisan	None
Clinton	Clinton	55.0	surveymonkey-26660	SurveyMonkey	2016-10-27	2016-11-02		Likely Voters	424		Internet	Nonpartisan	None
Trump	Trump	24.0	surveymonkey-26660	SurveyMonkey	2016-10-27	2016-11-02		Likely Voters	424		Internet	Nonpartisan	None
Johnson	Other	9.0	surveymonkey-26660	SurveyMonkey	2016-10-27	2016-11-02		Likely Voters	424		Internet	Nonpartisan	None
Stein	Other	8.0	surveymonkey-26660	SurveyMonkey	2016-10-27	2016-11-02		Likely Voters	424		Internet	Nonpartisan	None
No answer	Undecided	4.0	surveymonkey-26660	SurveyMonkey	2016-10-27	2016-11-02		Likely Voters	424		Internet	Nonpartisan	None
