response_text	pollster_label	value	poll_slug	survey_house	start_date	end_date	question_text	sample_subpopulation	observations	margin_of_error	mode	partisanship	partisan_affiliation
Clinton	Clinton	51.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	1451		Internet	Nonpartisan	None
Trump	Trump	33.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	1451		Internet	Nonpartisan	None
Johnson	Other	8.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	1451		Internet	Nonpartisan	None
Stein	Other	5.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	1451		Internet	Nonpartisan	None
No answer	Undecided	3.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	1451		Internet	Nonpartisan	None
Hillary Clinton (D)	Clinton	51.0	insights-west-26816	Insights West	2016-11-04	2016-11-06	As you may know, there will be a presidential election on Nov. 8. Which one of the following candidates would you be most likely to support on Election Day?	Likely Voters	402	4.9	Internet	Nonpartisan	None
Donald Trump (R)	Trump	36.0	insights-west-26816	Insights West	2016-11-04	2016-11-06	As you may know, there will be a presidential election on Nov. 8. Which one of the following candidates would you be most likely to support on Election Day?	Likely Voters	402	4.9	Internet	Nonpartisan	None
Gary Johnson (L)	Other	4.0	insights-west-26816	Insights West	2016-11-04	2016-11-06	As you may know, there will be a presidential election on Nov. 8. Which one of the following candidates would you be most likely to support on Election Day?	Likely Voters	402	4.9	Internet	Nonpartisan	None
Jill Stein (G)	Other	1.0	insights-west-26816	Insights West	2016-11-04	2016-11-06	As you may know, there will be a presidential election on Nov. 8. Which one of the following candidates would you be most likely to support on Election Day?	Likely Voters	402	4.9	Internet	Nonpartisan	None
Some other candidate	Other	1.0	insights-west-26816	Insights West	2016-11-04	2016-11-06	As you may know, there will be a presidential election on Nov. 8. Which one of the following candidates would you be most likely to support on Election Day?	Likely Voters	402	4.9	Internet	Nonpartisan	None
Undecided	Undecided	7.0	insights-west-26816	Insights West	2016-11-04	2016-11-06	As you may know, there will be a presidential election on Nov. 8. Which one of the following candidates would you be most likely to support on Election Day?	Likely Voters	402	4.9	Internet	Nonpartisan	None
Clinton	Clinton	56.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	328		Internet	Nonpartisan	None
Trump	Trump	39.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	328		Internet	Nonpartisan	None
Other	Other	6.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	328		Internet	Nonpartisan	None
Clinton	Clinton	51.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	1292		Internet	Nonpartisan	None
Trump	Trump	34.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	1292		Internet	Nonpartisan	None
Johnson	Other	7.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	1292		Internet	Nonpartisan	None
Stein	Other	5.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	1292		Internet	Nonpartisan	None
No answer	Undecided	3.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	1292		Internet	Nonpartisan	None
Clinton	Clinton	47.0	ipsos-reuters-26806	Ipsos/Reuters	2016-10-17	2016-11-06		Likely Voters	863		Internet	Nonpartisan	None
Trump	Trump	38.0	ipsos-reuters-26806	Ipsos/Reuters	2016-10-17	2016-11-06		Likely Voters	863		Internet	Nonpartisan	None
Don't Know/Other	Undecided	15.0	ipsos-reuters-26806	Ipsos/Reuters	2016-10-17	2016-11-06		Likely Voters	863		Internet	Nonpartisan	None
Clinton	Clinton	52.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	1205		Internet	Nonpartisan	None
Trump	Trump	34.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	1205		Internet	Nonpartisan	None
Johnson	Other	7.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	1205		Internet	Nonpartisan	None
Stein	Other	5.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	1205		Internet	Nonpartisan	None
No answer	Undecided	2.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	1205		Internet	Nonpartisan	None
Clinton	Clinton	53.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	944		Internet	Nonpartisan	None
Trump	Trump	34.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	944		Internet	Nonpartisan	None
Johnson	Other	7.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	944		Internet	Nonpartisan	None
Stein	Other	5.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	944		Internet	Nonpartisan	None
No answer	Undecided	2.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	944		Internet	Nonpartisan	None
Clinton	Clinton	46.0	ipsos-reuters-26743	Ipsos/Reuters	2016-10-14	2016-11-03		Likely Voters	870		Internet	Nonpartisan	None
