response_text	pollster_label	value	poll_slug	survey_house	start_date	end_date	question_text	sample_subpopulation	observations	margin_of_error	mode	partisanship	partisan_affiliation
Clinton	Clinton	44.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	2246		Internet	Nonpartisan	None
Trump	Trump	42.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	2246		Internet	Nonpartisan	None
Johnson	Johnson	7.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	2246		Internet	Nonpartisan	None
Stein	Other	4.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	2246		Internet	Nonpartisan	None
No answer	Undecided	3.0	surveymonkey-26807	SurveyMonkey	2016-11-01	2016-11-07		Likely Voters	2246		Internet	Nonpartisan	None
Clinton	Clinton	51.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	372		Internet	Nonpartisan	None
Trump	Trump	43.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	372		Internet	Nonpartisan	None
Other	Other	6.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	372		Internet	Nonpartisan	None
Clinton	Clinton	44.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	1943		Internet	Nonpartisan	None
Trump	Trump	43.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	1943		Internet	Nonpartisan	None
Johnson	Johnson	7.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	1943		Internet	Nonpartisan	None
Stein	Other	4.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	1943		Internet	Nonpartisan	None
No answer	Undecided	3.0	surveymonkey-26769	SurveyMonkey	2016-10-30	2016-11-06		Likely Voters	1943		Internet	Nonpartisan	None
Clinton	Clinton	46.0	ipsos-reuters-26806	Ipsos/Reuters	2016-10-17	2016-11-06		Likely Voters	842		Internet	Nonpartisan	None
Trump	Trump	40.0	ipsos-reuters-26806	Ipsos/Reuters	2016-10-17	2016-11-06		Likely Voters	842		Internet	Nonpartisan	None
Don't Know/Other	Undecided	14.0	ipsos-reuters-26806	Ipsos/Reuters	2016-10-17	2016-11-06		Likely Voters	842		Internet	Nonpartisan	None
Clinton	Clinton	44.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	1869		Internet	Nonpartisan	None
Trump	Trump	43.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	1869		Internet	Nonpartisan	None
Johnson	Johnson	7.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	1869		Internet	Nonpartisan	None
Stein	Other	3.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	1869		Internet	Nonpartisan	None
No answer	Undecided	3.0	surveymonkey-26731	SurveyMonkey	2016-10-29	2016-11-04		Likely Voters	1869		Internet	Nonpartisan	None
Clinton	Clinton	45.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	1568		Internet	Nonpartisan	None
Trump	Trump	43.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	1568		Internet	Nonpartisan	None
Johnson	Johnson	7.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	1568		Internet	Nonpartisan	None
Stein	Other	3.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	1568		Internet	Nonpartisan	None
No answer	Undecided	3.0	surveymonkey-26694	SurveyMonkey	2016-10-28	2016-11-03		Likely Voters	1568		Internet	Nonpartisan	None
Clinton	Clinton	47.0	ipsos-reuters-26743	Ipsos/Reuters	2016-10-14	2016-11-03		Likely Voters	884		Internet	Nonpartisan	None
Trump	Trump	40.0	ipsos-reuters-26743	Ipsos/Reuters	2016-10-14	2016-11-03		Likely Voters	884		Internet	Nonpartisan	None
Don't Know/Other	Undecided	13.0	ipsos-reuters-26743	Ipsos/Reuters	2016-10-14	2016-11-03		Likely Voters	884		Internet	Nonpartisan	None
Hillary Clinton	Clinton	49.0	remington-research-group-r-axiom-strategies-26765	Remington Research Group (R)/Axiom Strategies	2016-11-01	2016-11-02		Likely Voters	2720	1.88	IVR/Live Phone	Sponsor	Rep
Donald Trump	Trump	41.0	remington-research-group-r-axiom-strategies-26765	Remington Research Group (R)/Axiom Strategies	2016-11-01	2016-11-02		Likely Voters	2720	1.88	IVR/Live Phone	Sponsor	Rep
Gary Johnson	Johnson	3.0	remington-research-group-r-axiom-strategies-26765	Remington Research Group (R)/Axiom Strategies	2016-11-01	2016-11-02		Likely Voters	2720	1.88	IVR/Live Phone	Sponsor	Rep
Someone else	Other	3.0	remington-research-group-r-axiom-strategies-26765	Remington Research Group (R)/Axiom Strategies	2016-11-01	2016-11-02		Likely Voters	2720	1.88	IVR/Live Phone	Sponsor	Rep
Undecided	Undecided	4.0	remington-research-group-r-axiom-strategies-26765	Remington Research Group (R)/Axiom Strategies	2016-11-01	2016-11-02		Likely Voters	2720	1.88	IVR/Live Phone	Sponsor	Rep
Clinton	Clinton	44.0	surveymonkey-26660	SurveyMonkey	2016-10-27	2016-11-02		Likely Voters	1271		Internet	Nonpartisan	None
Trump	Trump	42.0	surveymonkey-26660	SurveyMonkey	2016-10-27	2016-11-02		Likely Voters	1271		Internet	Nonpartisan	None
Johnson	Johnson	7.0	surveymonkey-26660	SurveyMonkey	2016-10-27	2016-11-02		Likely Voters	1271		Internet	Nonpartisan	None
Stein	Other	3.0	surveymonkey-26660	SurveyMonkey	2016-10-27	2016-11-02		Likely Voters	1271		Internet	Nonpartisan	None
No answer	Undecided	3.0	surveymonkey-26660	SurveyMonkey	2016-10-27	2016-11-02		Likely Voters	1271		Internet	Nonpartisan	None
Clinton	Clinton	44.0	loras-college-26706	Loras College	2016-10-31	2016-11-01	If the Presidential election were held today, and the candidates were Hillary Clinton for the Democrats and Donald Trump for the Republicans, Gary Johnson for the Libertarians and Jill Stein for the Green Party, for whom would you vote?	Likely Voters	500	4.4	Live Phone	Nonpartisan	None
Trump	Trump	38.0	loras-college-26706	Loras College	2016-10-31	2016-11-01	If the Presidential election were held today, and the candidates were Hillary Clinton for the Democrats and Donald Trump for the Republicans, Gary Johnson for the Libertarians and Jill Stein for the Green Party, for whom would you vote?	Likely Voters	500	4.4	Live Phone	Nonpartisan	None
Johnson	Johnson	7.0	loras-college-26706	Loras College	2016-10-31	2016-11-01	If the Presidential election were held today, and the candidates were Hillary Clinton for the Democrats and Donald Trump for the Republicans, Gary Johnson for the Libertarians and Jill Stein for the Green Party, for whom would you vote?	Likely Voters	500	4.4	Live Phone	Nonpartisan	None
Stein	Other	2.0	loras-college-26706	Loras College	2016-10-31	2016-11-01	If the Presidential election were held today, and the candidates were Hillary Clinton for the Democrats and Donald Trump for the Republicans, Gary Johnson for the Libertarians and Jill Stein for the Green Party, for whom would you vote?	Likely Voters	500	4.4	Live Phone	Nonpartisan	None
Unsure	Undecided	9.0	loras-college-26706	Loras College	2016-10-31	2016-11-01	If the Presidential election were held today, and the candidates were Hillary Clinton for the Democrats and Donald Trump for the Republicans, Gary Johnson for the Libertarians and Jill Stein for the Green Party, for whom would you vote?	Likely Voters	500	4.4	Live Phone	Nonpartisan	None
Hillary Clinton	Clinton	48.0	ppp-d-center-for-american-progress-action-fund-26700	PPP (D-Center for American Progress Action Fund)	2016-10-31	2016-11-01	The candidates for President this fall are Democrat Hillary Clinton, and Republican Donald Trump. If the election were today, who would you vote for?	Likely Voters	891	3.3	IVR/Online	Sponsor	Dem
Donald Trump	Trump	41.0	ppp-d-center-for-american-progress-action-fund-26700	PPP (D-Center for American Progress Action Fund)	2016-10-31	2016-11-01	The candidates for President this fall are Democrat Hillary Clinton, and Republican Donald Trump. If the election were today, who would you vote for?	Likely Voters	891	3.3	IVR/Online	Sponsor	Dem
Not sure	Undecided	10.0	ppp-d-center-for-american-progress-action-fund-26700	PPP (D-Center for American Progress Action Fund)	2016-10-31	2016-11-01	The candidates for President this fall are Democrat Hillary Clinton, and Republican Donald Trump. If the election were today, who would you vote for?	Likely Voters	891	3.3	IVR/Online	Sponsor	Dem
