response_text	pollster_label	value	poll_slug	survey_house	start_date	end_date	question_text	sample_subpopulation	observations	margin_of_error	mode	partisanship	partisan_affiliation
Clinton	Clinton	28.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	320		Internet	Nonpartisan	None
Trump	Trump	67.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	320		Internet	Nonpartisan	None
Other	Undecided	5.0	upi-cvoter-26793	UPI/CVOTER	2016-10-30	2016-11-06		Likely Voters	320		Internet	Nonpartisan	None
Clinton	Clinton	22.0	surveymonkey-26596	SurveyMonkey	2016-10-25	2016-10-31		Likely Voters	251		Internet	Nonpartisan	None
Trump	Trump	62.0	surveymonkey-26596	SurveyMonkey	2016-10-25	2016-10-31		Likely Voters	251		Internet	Nonpartisan	None
Johnson	Other	10.0	surveymonkey-26596	SurveyMonkey	2016-10-25	2016-10-31		Likely Voters	251		Internet	Nonpartisan	None
Stein	Other	2.0	surveymonkey-26596	SurveyMonkey	2016-10-25	2016-10-31		Likely Voters	251		Internet	Nonpartisan	None
No answer	Undecided	4.0	surveymonkey-26596	SurveyMonkey	2016-10-25	2016-10-31		Likely Voters	251		Internet	Nonpartisan	None
Clinton	Clinton	23.0	surveymonkey-26572	SurveyMonkey	2016-10-24	2016-10-30		Likely Voters	251		Internet	Nonpartisan	None
Trump	Trump	62.0	surveymonkey-26572	SurveyMonkey	2016-10-24	2016-10-30		Likely Voters	251		Internet	Nonpartisan	None
Johnson	Other	8.0	surveymonkey-26572	SurveyMonkey	2016-10-24	2016-10-30		Likely Voters	251		Internet	Nonpartisan	None
Stein	Other	2.0	surveymonkey-26572	SurveyMonkey	2016-10-24	2016-10-30		Likely Voters	251		Internet	Nonpartisan	None
No answer	Undecided	5.0	surveymonkey-26572	SurveyMonkey	2016-10-24	2016-10-30		Likely Voters	251		Internet	Nonpartisan	None
Clinton	Clinton	30.0	upi-cvoter-26592	UPI/CVOTER	2016-10-23	2016-10-29		Likely Voters	311		Internet	Nonpartisan	None
Trump	Trump	65.0	upi-cvoter-26592	UPI/CVOTER	2016-10-23	2016-10-29		Likely Voters	311		Internet	Nonpartisan	None
Other	Undecided	5.0	upi-cvoter-26592	UPI/CVOTER	2016-10-23	2016-10-29		Likely Voters	311		Internet	Nonpartisan	None
Clinton	Clinton	24.0	surveymonkey-26537	SurveyMonkey	2016-10-20	2016-10-28		Likely Voters	375		Internet	Nonpartisan	None
Trump	Trump	60.0	surveymonkey-26537	SurveyMonkey	2016-10-20	2016-10-28		Likely Voters	375		Internet	Nonpartisan	None
Johnson	Other	9.0	surveymonkey-26537	SurveyMonkey	2016-10-20	2016-10-28		Likely Voters	375		Internet	Nonpartisan	None
Stein	Other	3.0	surveymonkey-26537	SurveyMonkey	2016-10-20	2016-10-28		Likely Voters	375		Internet	Nonpartisan	None
No answer	Undecided	4.0	surveymonkey-26537	SurveyMonkey	2016-10-20	2016-10-28		Likely Voters	375		Internet	Nonpartisan	None
Clinton	Clinton	25.0	surveymonkey-26499	SurveyMonkey	2016-10-18	2016-10-26		Likely Voters	388		Internet	Nonpartisan	None
Trump	Trump	59.0	surveymonkey-26499	SurveyMonkey	2016-10-18	2016-10-26		Likely Voters	388		Internet	Nonpartisan	None
Johnson	Other	9.0	surveymonkey-26499	SurveyMonkey	2016-10-18	2016-10-26		Likely Voters	388		Internet	Nonpartisan	None
Stein	Other	3.0	surveymonkey-26499	SurveyMonkey	2016-10-18	2016-10-26		Likely Voters	388		Internet	Nonpartisan	None
No answer	Undecided	4.0	surveymonkey-26499	SurveyMonkey	2016-10-18	2016-10-26		Likely Voters	388		Internet	Nonpartisan	None
Clinton	Clinton	25.0	surveymonkey-26441	SurveyMonkey	2016-10-18	2016-10-24		Likely Voters	361		Internet	Nonpartisan	None
Trump	Trump	59.0	surveymonkey-26441	SurveyMonkey	2016-10-18	2016-10-24		Likely Voters	361		Internet	Nonpartisan	None
Johnson	Other	9.0	surveymonkey-26441	SurveyMonkey	2016-10-18	2016-10-24		Likely Voters	361		Internet	Nonpartisan	None
Stein	Other	2.0	surveymonkey-26441	SurveyMonkey	2016-10-18	2016-10-24		Likely Voters	361		Internet	Nonpartisan	None
No answer	Undecided	5.0	surveymonkey-26441	SurveyMonkey	2016-10-18	2016-10-24		Likely Voters	361		Internet	Nonpartisan	None
Clinton	Clinton	25.0	surveymonkey-26431	SurveyMonkey	2016-10-17	2016-10-23		Likely Voters	311		Internet	Nonpartisan	None
Trump	Trump	57.0	surveymonkey-26431	SurveyMonkey	2016-10-17	2016-10-23		Likely Voters	311		Internet	Nonpartisan	None
Johnson	Other	11.0	surveymonkey-26431	SurveyMonkey	2016-10-17	2016-10-23		Likely Voters	311		Internet	Nonpartisan	None
Stein	Other	2.0	surveymonkey-26431	SurveyMonkey	2016-10-17	2016-10-23		Likely Voters	311		Internet	Nonpartisan	None
No answer	Undecided	5.0	surveymonkey-26431	SurveyMonkey	2016-10-17	2016-10-23		Likely Voters	311		Internet	Nonpartisan	None
Clinton	Clinton	30.0	upi-cvoter-26409	UPI/CVOTER	2016-10-16	2016-10-23		Likely Voters	309		Internet	Nonpartisan	None
Trump	Trump	65.0	upi-cvoter-26409	UPI/CVOTER	2016-10-16	2016-10-23		Likely Voters	309		Internet	Nonpartisan	None
Other	Undecided	5.0	upi-cvoter-26409	UPI/CVOTER	2016-10-16	2016-10-23		Likely Voters	309		Internet	Nonpartisan	None
Trump	Trump	64.0	upi-cvoter-26339	UPI/CVOTER	2016-10-09	2016-10-16		Likely Voters	311		Internet	Nonpartisan	None
Clinton	Clinton	30.0	upi-cvoter-26339	UPI/CVOTER	2016-10-09	2016-10-16		Likely Voters	311		Internet	Nonpartisan	None
