Date,Democratic maximum,Republican maximum
2020-01-01,265,273
2020-01-02,275,263
2020-01-03,275,263
2020-01-04,275,263
2020-01-05,290,248
2020-01-06,290,248
2020-01-07,290,248
2020-01-08,290,248
2020-01-09,290,248
2020-01-10,290,248
2020-01-11,290,248
2020-01-12,290,248
2020-01-13,290,248
2020-01-14,290,248
2020-01-15,290,248
2020-01-16,294,244
2020-01-17,294,244
2020-01-18,294,244
2020-01-19,294,244
2020-01-20,284,254
2020-01-21,284,254
2020-01-22,284,254
2020-01-23,284,254
2020-01-24,284,254
2020-01-25,284,254
2020-01-26,284,254
2020-01-27,284,254
2020-01-28,284,254
2020-01-29,302,236
2020-01-30,302,236
2020-01-31,302,236
2020-02-01,302,236
2020-02-02,298,240
2020-02-03,298,240
2020-02-04,298,240
2020-02-05,298,240
2020-02-06,298,240
2020-02-07,298,240
2020-02-08,298,240
2020-02-09,298,240
2020-02-10,298,240
2020-02-11,327,211
2020-02-12,327,211
2020-02-13,327,211
2020-02-14,327,211
2020-02-15,327,211
2020-02-16,327,211
2020-02-17,327,211
2020-02-18,327,211
2020-02-19,327,211
2020-02-20,327,211
2020-02-21,327,211
2020-02-22,327,211
2020-02-23,327,211
2020-02-24,327,211
2020-02-25,327,211
2020-02-26,337,201
2020-02-27,317,221
2020-02-28,317,221
2020-02-29,318,220
2020-03-01,318,220
2020-03-02,318,220
2020-03-03,302,236
2020-03-04,302,236
2020-03-05,302,236
2020-03-06,273,265
2020-03-07,273,265
2020-03-08,299,239
2020-03-09,293,245
2020-03-10,303,235
2020-03-11,303,235
2020-03-12,303,235
2020-03-13,303,235
2020-03-14,319,219
2020-03-15,303,235
2020-03-16,319,219
2020-03-17,303,235
2020-03-18,303,235
2020-03-19,293,245
2020-03-20,303,235
2020-03-21,303,235
2020-03-22,289,249
2020-03-23,289,249
2020-03-24,289,249
2020-03-25,289,249
2020-03-26,289,249
2020-03-27,289,249
2020-03-28,299,239
2020-03-29,299,239
2020-03-30,299,239
2020-03-31,299,239
2020-04-01,299,239
2020-04-02,299,239
2020-04-03,299,239
2020-04-04,299,239
2020-04-05,299,239
2020-04-06,299,239
2020-04-07,299,239
2020-04-08,315,223
2020-04-09,315,223
2020-04-10,315,223
2020-04-11,315,223
2020-04-12,315,223
2020-04-13,315,223
2020-04-14,319,219
2020-04-15,314,224
2020-04-16,314,224
2020-04-17,314,224
2020-04-18,323,215
2020-04-19,334,204
2020-04-20,334,204
2020-04-21,334,204
2020-04-22,334,204
2020-04-23,352,186
2020-04-24,352,186
2020-04-25,352,186
2020-04-26,352,186
2020-04-27,352,186
2020-04-28,390,148
2020-04-29,390,148
2020-04-30,390,148
2020-05-01,390,148
2020-05-02,390,148
2020-05-03,390,148
2020-05-04,372,166
2020-05-05,368,170
2020-05-06,368,170
2020-05-07,368,170
2020-05-08,330,208
2020-05-09,330,208
2020-05-10,330,208
2020-05-11,315,223
2020-05-12,315,223
2020-05-13,311,227
2020-05-14,330,208
2020-05-15,330,208
2020-05-16,330,208
2020-05-17,330,208
2020-05-18,330,208
2020-05-19,330,208
2020-05-20,330,208
2020-05-21,331,207
2020-05-22,331,207
2020-05-23,331,207
2020-05-24,331,207
2020-05-25,302,236
2020-05-26,286,252
2020-05-27,304,234
2020-05-28,304,234
2020-05-29,304,234
2020-05-30,304,234
2020-05-31,304,234
2020-06-01,304,234
2020-06-02,323,215
2020-06-03,332,206
2020-06-04,348,190
2020-06-05,348,190
2020-06-06,348,190
2020-06-07,358,180
