Year,State abbreviation,Democratic votes,Other votes,Republican votes,Democratic electoral,Other electoral,Republican electoral
2016,AL,729547,75570,1318255,0,0,9
2016,AK,116454,38767,163387,0,0,3
2016,AZ,1161167,159597,1252401,0,0,11
2016,AR,380494,65269,684872,0,0,6
2016,CA,8753788,943997,4483810,55,0,0
2016,CO,1338870,238893,1202484,9,0,0
2016,CT,897572,74133,673215,7,0,0
2016,DE,235603,23084,185127,3,0,0
2016,DC,282830,15715,12723,3,0,0
2016,FL,4504975,297178,4617886,0,0,29
2016,GA,1877963,147665,2089104,0,0,16
2016,HI,266891,33199,128847,4,0,0
2016,ID,189765,91435,409055,0,0,4
2016,IL,3090729,299680,2146015,20,0,0
2016,IN,1033126,144546,1557286,0,0,11
2016,IA,653669,111379,800983,0,0,6
2016,KS,427005,86379,671018,0,0,6
2016,KY,628854,92324,1202971,0,0,8
2016,LA,780154,70240,1178638,0,0,8
2016,ME,357735,78564,335593,3,0,1
2016,MD,1677928,160349,943169,10,0,0
2016,MA,1995196,238957,1090893,11,0,0
2016,MI,2268839,250902,2279543,0,0,16
2016,MN,1367716,254146,1322951,10,0,0
2016,MS,485131,23512,700714,0,0,6
2016,MO,1071068,143026,1594511,0,0,10
2016,MT,177709,40198,279240,0,0,3
2016,NE,284494,63772,495961,0,0,5
2016,NV,539260,74067,512058,6,0,0
2016,NH,348526,49980,345790,4,0,0
2016,NJ,2148278,123835,1601933,14,0,0
2016,NM,385234,93418,319667,5,0,0
2016,NY,4556124,345795,2819534,29,0,0
2016,NC,2189316,189617,2362631,0,0,15
2016,ND,93758,33808,216794,0,0,3
2016,OH,2394164,261318,2841005,0,0,18
2016,OK,420375,83481,949136,0,0,7
2016,OR,1002106,216827,782403,7,0,0
2016,PA,2926441,268304,2970733,0,0,20
2016,RI,252525,31076,180543,4,0,0
2016,SC,855373,92265,1155389,0,0,9
2016,SD,117458,24914,227721,0,0,3
2016,TN,870695,114407,1522925,0,0,11
2016,TX,3877868,406311,4685047,0,0,38
2016,UT,310676,305523,515231,0,0,6
2016,VT,178573,41125,95369,3,0,0
2016,VA,1981473,233715,1769443,13,0,0
2016,WA,1742718,352554,1221747,12,0,0
2016,WV,188794,36258,489371,0,0,5
2016,WI,1382536,188330,1405284,0,0,10
2016,WY,55973,25457,174419,0,0,3
2012,AK,122640,13179,164676,0,0,3
2012,AL,795696,22717,1255925,0,0,9
2012,AR,394409,27315,647744,0,0,6
2012,AZ,1025232,40368,1233654,0,0,11
2012,CA,7854285,344304,4839958,55,0,0
2012,CO,1323101,61176,1185243,9,0,0
2012,CT,905083,18985,634892,7,0,0
2012,DC,267070,5313,21381,3,0,0
2012,DE,242584,5853,165484,3,0,0
2012,FL,4237756,72976,4163447,29,0,0
2012,GA,1773827,47535,2078688,0,0,16
2012,HI,306658,7024,121015,4,0,0
2012,IA,822544,29019,730617,6,0,0
2012,ID,212787,18576,420911,0,0,4
2012,IL,3019512,87286,2135216,20,0,0
2012,IN,1152887,51104,1420543,0,0,11
2012,KS,440726,26611,692634,0,0,6
2012,KY,679370,30652,1087190,0,0,8
2012,LA,809141,32662,1152262,0,0,8
2012,MA,1921290,58163,1188314,11,0,0
2012,MD,1677844,57614,971869,10,0,0
2012,ME,802339,37058,584428,4,0,0
2012,MI,2564569,51136,2115256,16,0,0
2012,MN,1546167,70169,1320225,10,0,0
2012,MO,1223796,51087,1482440,0,0,10
2012,MS,562949,11889,710746,0,0,6
2012,MT,201839,14281,267928,0,0,3
2012,NC,2178391,56586,2270395,0,0,15
2012,ND,124827,9637,188163,0,0,3
2012,NE,604162,28343,950128,0,0,5
2012,NH,369561,11493,329918,4,0,0
2012,NJ,2125101,37623,1477568,14,0,0
2012,NM,415335,32635,335788,5,0,0
2012,NV,531373,19978,463567,6,0,0
2012,NY,4485741,104987,2490431,29,0,0
2012,OH,2827710,91697,2661433,18,0,0
2012,OK,443547,0,891325,0,0,7
2012,OR,970488,64607,754175,7,0,0
2012,PA,2990274,82962,2680434,20,0,0
2012,RI,279677,9168,157204,4,0,0
2012,SC,865941,26532,1071645,0,0,9
2012,SD,145039,8166,210610,0,0,3
2012,TN,960709,35538,1462330,0,0,11
