Year,Election date,Electoral College total,Democratic candidate,Republican candidate
2020,2020-11-03,538,Joe Biden,Donald Trump
2016,2016-11-08,538,Hilary Clinton,Donald Trump
2012,2012-11-06,538,Barack Obama,Mitt Romney
2008,2008-11-04,538,Barack Obama,John McCain
2004,2004-11-02,538,John Kerry,George W. Bush
2000,2000-11-07,538,Al Gore,George W. Bush
1996,1996-11-05,538,Bill Clinton,Bob Dole
1992,1992-11-03,538,Bill Clinton,George H.W. Bush
1988,1988-11-08,538,Michael Dukakis,George H.W. Bush
1984,1984-11-06,538,Walter Mondale,Ronald Reagan
1980,1980-11-04,538,Jimmy Carter,Ronald Reagan
1976,1976-11-02,538,Jimmy Carter,Gerard Ford
1972,1972-11-07,538,George McGovern,Richard Nixon
1968,1968-11-05,538,Hubert Humphrey,Richard Nixon
1964,1964-11-03,538,Lyndon B. Johnson,Barry Goldwater
1960,1960-11-08,537,John F. Kennedy,Richard Nixon
1956,1956-11-06,531,Adlai Stevenson,Dwight D. Eisenhower
1952,1952-11-04,531,Adlai Stevenson,Dwight D. Eisenhower
1948,1948-11-02,531,Harry S. Truman,Thomas E. Dewey
1944,1944-11-07,531,Franklin D. Roosevelt,Thomas E. Dewey
1940,1940-11-05,531,Franklin D. Roosevelt,Wendell Willkie
1936,1936-11-03,531,Franklin D. Roosevelt,Alf Landon
1932,1932-11-08,531,Franklin D. Roosevelt,Herbert Hoover
1928,1928-11-06,531,Al Smith,Herbert Hoover
1924,1924-11-04,531,John W. Davis,Calvin Coolidge
1920,1920-11-02,531,James M. Cox,Warren G. Harding
1916,1916-11-07,531,Woodrow Wilson,Charles Evans Hughes
1912,1912-11-05,531,Woodrow Wilson,Theodore Roosevelt
1908,1908-11-03,483,William Jennings Bryan,William Howard Taft
1904,1904-11-08,476,Alon B. Parker,Theodore Roosevelt
1900,1900-11-06,447,William Jennings Bryan,William McKinley
1896,1896-11-03,447,,
1892,1892-11-08,444,,
1888,1888-11-06,401,,
1884,1884-11-04,401,,
1880,1880-11-02,369,,
1876,1876-11-07,369,,
1872,1872-11-05,366,,
1868,1868-11-03,294,,
1864,1864-11-08,234,,
1860,1860-11-06,303,,
1856,1856-11-04,296,,
1852,1852-11-02,296,,
1848,1848-11-07,290,,
1844,1844-11-01,275,,
1840,1840-10-30,294,,
1836,1836-11-04,294,,
1832,1832-11-02,288,,
1828,1828-10-31,261,,
1824,1824-10-29,261,,
1820,1820-11-03,235,,
1816,1816-11-01,221,,
1812,1812-10-30,218,,
1808,1808-11-04,176,,
1804,1804-11-02,176,,
1800,1800-10-31,138,,
1796,1796-11-04,138,,
1792,1792-11-02,135,,
1789,1789-01-07,81,,
