question_id,poll_id,cycle,state,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,fte_grade,sample_size,population,population_full,methodology,office_type,seat_number,seat_name,start_date,end_date,election_date,sponsor_candidate,internal,partisan,tracking,nationwide_batch,ranked_choice_reallocated,created_at,notes,url,stage,race_id,answer,candidate_id,candidate_name,candidate_party,pct
129407,69478,2020,,568,YouGov,352,Economist,YouGov,391,YouGov,B,1062,lv,lv,Online,U.S. President,0,,9/13/20,9/15/20,11/3/20,"",false,,,false,false,9/16/20 09:09,,https://docs.cdn.yougov.com/t0hi1tcqs5/econTabReport.pdf,general,6210,Biden,13256,Joseph R. Biden Jr.,DEM,51.0
129407,69478,2020,,568,YouGov,352,Economist,YouGov,391,YouGov,B,1062,lv,lv,Online,U.S. President,0,,9/13/20,9/15/20,11/3/20,"",false,,,false,false,9/16/20 09:09,,https://docs.cdn.yougov.com/t0hi1tcqs5/econTabReport.pdf,general,6210,Trump,13254,Donald Trump,REP,42.0
129424,69478,2020,,568,YouGov,352,Economist,YouGov,391,YouGov,B,1192,rv,rv,Online,U.S. President,0,,9/13/20,9/15/20,11/3/20,"",false,,,false,false,9/16/20 10:28,,https://docs.cdn.yougov.com/t0hi1tcqs5/econTabReport.pdf,general,6210,Biden,13256,Joseph R. Biden Jr.,DEM,50.0
129424,69478,2020,,568,YouGov,352,Economist,YouGov,391,YouGov,B,1192,rv,rv,Online,U.S. President,0,,9/13/20,9/15/20,11/3/20,"",false,,,false,false,9/16/20 10:28,,https://docs.cdn.yougov.com/t0hi1tcqs5/econTabReport.pdf,general,6210,Trump,13254,Donald Trump,REP,41.0
129428,69482,2020,,744,Ipsos,71,Reuters,Ipsos,154,Ipsos,B-,1358,a,a,Online,U.S. President,0,,9/11/20,9/15/20,11/3/20,"",false,,,false,false,9/16/20 10:37,,https://fingfx.thomsonreuters.com/gfx/mkt/qzjvqnkqrpx/Topline%20Reuters%20General%20Election%20Tracker%2009%2015%202020.pdf,general,6210,Biden,13256,Joseph R. Biden Jr.,DEM,43.0
129428,69482,2020,,744,Ipsos,71,Reuters,Ipsos,154,Ipsos,B-,1358,a,a,Online,U.S. President,0,,9/11/20,9/15/20,11/3/20,"",false,,,false,false,9/16/20 10:37,,https://fingfx.thomsonreuters.com/gfx/mkt/qzjvqnkqrpx/Topline%20Reuters%20General%20Election%20Tracker%2009%2015%202020.pdf,general,6210,Trump,13254,Donald Trump,REP,37.0
129429,69482,2020,,744,Ipsos,71,Reuters,Ipsos,154,Ipsos,B-,1133,rv,rv,Online,U.S. President,0,,9/11/20,9/15/20,11/3/20,"",false,,,false,false,9/16/20 10:37,,https://fingfx.thomsonreuters.com/gfx/mkt/qzjvqnkqrpx/Topline%20Reuters%20General%20Election%20Tracker%2009%2015%202020.pdf,general,6210,Biden,13256,Joseph R. Biden Jr.,DEM,47.0
129429,69482,2020,,744,Ipsos,71,Reuters,Ipsos,154,Ipsos,B-,1133,rv,rv,Online,U.S. President,0,,9/11/20,9/15/20,11/3/20,"",false,,,false,false,9/16/20 10:37,,https://fingfx.thomsonreuters.com/gfx/mkt/qzjvqnkqrpx/Topline%20Reuters%20General%20Election%20Tracker%2009%2015%202020.pdf,general,6210,Trump,13254,Donald Trump,REP,39.0
129430,69482,2020,,744,Ipsos,71,Reuters,Ipsos,154,Ipsos,B-,859,lv,lv,Online,U.S. President,0,,9/11/20,9/15/20,11/3/20,"",false,,,false,false,9/16/20 10:37,,https://fingfx.thomsonreuters.com/gfx/mkt/qzjvqnkqrpx/Topline%20Reuters%20General%20Election%20Tracker%2009%2015%202020.pdf,general,6210,Biden,13256,Joseph R. Biden Jr.,DEM,50.0
129430,69482,2020,,744,Ipsos,71,Reuters,Ipsos,154,Ipsos,B-,859,lv,lv,Online,U.S. President,0,,9/11/20,9/15/20,11/3/20,"",false,,,false,false,9/16/20 10:37,,https://fingfx.thomsonreuters.com/gfx/mkt/qzjvqnkqrpx/Topline%20Reuters%20General%20Election%20Tracker%2009%2015%202020.pdf,general,6210,Trump,13254,Donald Trump,REP,41.0
129395,69472,2020,,1610,USC Dornsife/Los Angeles Times,"","",USC Dornsife,343,USC Dornsife/Los Angeles Times,B/C,2865,lv,lv,Online,U.S. President,0,,9/9/20,9/15/20,11/3/20,"",false,,TRUE,false,false,9/16/20 05:55,probabilistic voting question,https://election.usc.edu/,general,6210,Biden,13256,Joseph R. Biden Jr.,DEM,50.25
129395,69472,2020,,1610,USC Dornsife/Los Angeles Times,"","",USC Dornsife,343,USC Dornsife/Los Angeles Times,B/C,2865,lv,lv,Online,U.S. President,0,,9/9/20,9/15/20,11/3/20,"",false,,TRUE,false,false,9/16/20 05:55,probabilistic voting question,https://election.usc.edu/,general,6210,Trump,13254,Donald Trump,REP,43.15
129396,69472,2020,,1610,USC Dornsife/Los Angeles Times,"","",USC Dornsife,343,USC Dornsife/Los Angeles Times,B/C,2865,lv,lv,Online,U.S. President,0,,9/9/20,9/15/20,11/3/20,"",false,,TRUE,false,false,9/16/20 05:55,traditional voting question,https://election.usc.edu/,general,6210,Biden,13256,Joseph R. Biden Jr.,DEM,50.35
129396,69472,2020,,1610,USC Dornsife/Los Angeles Times,"","",USC Dornsife,343,USC Dornsife/Los Angeles Times,B/C,2865,lv,lv,Online,U.S. President,0,,9/9/20,9/15/20,11/3/20,"",false,,TRUE,false,false,9/16/20 05:55,traditional voting question,https://election.usc.edu/,general,6210,Trump,13254,Donald Trump,REP,43.4
129434,69485,2020,,399,Rasmussen Reports/Pulse Opinion Research,"","",Rasmussen Reports/Pulse Opinion Research,277,Rasmussen Reports/Pulse Opinion Research,C+,2500,lv,lv,IVR/Online,U.S. President,0,,9/9/20,9/15/20,11/3/20,"",false,,,false,false,9/16/20 11:50,,https://www.rasmussenreports.com/public_content/politics/elections/election_2020/white_house_watch_sep16,general,6210,Biden,13256,Joseph R. Biden Jr.,DEM,46.11
129434,69485,2020,,399,Rasmussen Reports/Pulse Opinion Research,"","",Rasmussen Reports/Pulse Opinion Research,277,Rasmussen Reports/Pulse Opinion Research,C+,2500,lv,lv,IVR/Online,U.S. President,0,,9/9/20,9/15/20,11/3/20,"",false,,,false,false,9/16/20 11:50,,https://www.rasmussenreports.com/public_content/politics/elections/election_2020/white_house_watch_sep16,general,6210,Trump,13254,Donald Trump,REP,46.6
129386,69468,2020,,1416,Harris Insights & Analytics,960,Hill.TV,HarrisX,133,Harris Insights & Analytics,C,3758,rv,rv,Online,U.S. President,0,,9/10/20,9/14/20,11/3/20,"",false,,,false,false,9/15/20 17:15,"",https://thehill.com/hilltv/what-americas-thinking/516570-poll-trump-trails-biden-by-6-points-nationally,general,6210,Biden,13256,Joseph R. Biden Jr.,DEM,45.0
129386,69468,2020,,1416,Harris Insights & Analytics,960,Hill.TV,HarrisX,133,Harris Insights & Analytics,C,3758,rv,rv,Online,U.S. President,0,,9/10/20,9/14/20,11/3/20,"",false,,,false,false,9/15/20 17:15,"",https://thehill.com/hilltv/what-americas-thinking/516570-poll-trump-trails-biden-by-6-points-nationally,general,6210,Trump,13254,Donald Trump,REP,39.0
129440,69487,2020,Kentucky,396,Quinnipiac University,"","",Quinnipiac University,267,Quinnipiac University,B+,1164,lv,lv,Live Phone,U.S. President,0,,9/10/20,9/14/20,11/3/20,"",false,,,false,false,9/16/20 14:11,,https://poll.qu.edu/kentucky/release-detail?ReleaseID=3673,general,6228,Biden,13256,Joseph R. Biden Jr.,DEM,38.0
129440,69487,2020,Kentucky,396,Quinnipiac University,"","",Quinnipiac University,267,Quinnipiac University,B+,1164,lv,lv,Live Phone,U.S. President,0,,9/10/20,9/14/20,11/3/20,"",false,,,false,false,9/16/20 14:11,,https://poll.qu.edu/kentucky/release-detail?ReleaseID=3673,general,6228,Trump,13254,Donald Trump,REP,58.0
129441,69488,2020,Maine,396,Quinnipiac University,"","",Quinnipiac University,267,Quinnipiac University,B+,1183,lv,lv,Live Phone,U.S. President,0,,9/10/20,9/14/20,11/3/20,"",false,,,false,false,9/16/20 14:11,,https://poll.qu.edu/kentucky/release-detail?ReleaseID=3673,general,6232,Biden,13256,Joseph R. Biden Jr.,DEM,59.0
129441,69488,2020,Maine,396,Quinnipiac University,"","",Quinnipiac University,267,Quinnipiac University,B+,1183,lv,lv,Live Phone,U.S. President,0,,9/10/20,9/14/20,11/3/20,"",false,,,false,false,9/16/20 14:11,,https://poll.qu.edu/kentucky/release-detail?ReleaseID=3673,general,6232,Trump,13254,Donald Trump,REP,38.0
129442,69489,2020,Maine CD-1,396,Quinnipiac University,"","",Quinnipiac University,267,Quinnipiac University,B+,707,lv,lv,Live Phone,U.S. President,0,,9/10/20,9/14/20,11/3/20,"",false,,,false,false,9/16/20 14:11,"",https://poll.qu.edu/kentucky/release-detail?ReleaseID=3673,general,8422,Biden,13256,Joseph R. Biden Jr.,DEM,64.0
129442,69489,2020,Maine CD-1,396,Quinnipiac University,"","",Quinnipiac University,267,Quinnipiac University,B+,707,lv,lv,Live Phone,U.S. President,0,,9/10/20,9/14/20,11/3/20,"",false,,,false,false,9/16/20 14:11,"",https://poll.qu.edu/kentucky/release-detail?ReleaseID=3673,general,8422,Trump,13254,Donald Trump,REP,32.0
129443,69490,2020,Maine CD-2,396,Quinnipiac University,"","",Quinnipiac University,267,Quinnipiac University,B+,476,lv,lv,Live Phone,U.S. President,0,,9/10/20,9/14/20,11/3/20,"",false,,,false,false,9/16/20 14:12,"",https://poll.qu.edu/kentucky/release-detail?ReleaseID=3673,general,8423,Biden,13256,Joseph R. Biden Jr.,DEM,53.0
129443,69490,2020,Maine CD-2,396,Quinnipiac University,"","",Quinnipiac University,267,Quinnipiac University,B+,476,lv,lv,Live Phone,U.S. President,0,,9/10/20,9/14/20,11/3/20,"",false,,,false,false,9/16/20 14:12,"",https://poll.qu.edu/kentucky/release-detail?ReleaseID=3673,general,8423,Trump,13254,Donald Trump,REP,44.0
129444,69491,2020,South Carolina,396,Quinnipiac University,"","",Quinnipiac University,267,Quinnipiac University,B+,969,lv,lv,Live Phone,U.S. President,0,,9/10/20,9/14/20,11/3/20,"",false,,,false,false,9/16/20 14:12,,https://poll.qu.edu/kentucky/release-detail?ReleaseID=3673,general,6251,Biden,13256,Joseph R. Biden Jr.,DEM,45.0
129444,69491,2020,South Carolina,396,Quinnipiac University,"","",Quinnipiac University,267,Quinnipiac University,B+,969,lv,lv,Live Phone,U.S. President,0,,9/10/20,9/14/20,11/3/20,"",false,,,false,false,9/16/20 14:12,,https://poll.qu.edu/kentucky/release-detail?ReleaseID=3673,general,6251,Trump,13254,Donald Trump,REP,51.0
129346,69446,2020,,1610,USC Dornsife/Los Angeles Times,"","",USC Dornsife,343,USC Dornsife/Los Angeles Times,B/C,2873,lv,lv,Online,U.S. President,0,,9/8/20,9/14/20,11/3/20,"",false,,TRUE,false,false,9/15/20 06:14,probabilistic voting question,https://election.usc.edu/,general,6210,Biden,13256,Joseph R. Biden Jr.,DEM,51.31
129346,69446,2020,,1610,USC Dornsife/Los Angeles Times,"","",USC Dornsife,343,USC Dornsife/Los Angeles Times,B/C,2873,lv,lv,Online,U.S. President,0,,9/8/20,9/14/20,11/3/20,"",false,,TRUE,false,false,9/15/20 06:14,probabilistic voting question,https://election.usc.edu/,general,6210,Trump,13254,Donald Trump,REP,42.39
129347,69446,2020,,1610,USC Dornsife/Los Angeles Times,"","",USC Dornsife,343,USC Dornsife/Los Angeles Times,B/C,2873,lv,lv,Online,U.S. President,0,,9/8/20,9/14/20,11/3/20,"",false,,TRUE,false,false,9/15/20 06:14,traditional voting question,https://election.usc.edu/,general,6210,Biden,13256,Joseph R. Biden Jr.,DEM,51.96
129347,69446,2020,,1610,USC Dornsife/Los Angeles Times,"","",USC Dornsife,343,USC Dornsife/Los Angeles Times,B/C,2873,lv,lv,Online,U.S. President,0,,9/8/20,9/14/20,11/3/20,"",false,,TRUE,false,false,9/15/20 06:14,traditional voting question,https://election.usc.edu/,general,6210,Trump,13254,Donald Trump,REP,42.17
129393,69471,2020,Wisconsin,1189,Morning Consult,"","",Morning Consult,218,Morning Consult,B/C,809,lv,lv,Online,U.S. President,0,,9/5/20,9/14/20,11/3/20,"",false,,TRUE,false,false,9/15/20 23:31,,https://morningconsult.com/form/wisconsin-presidential-election-tracking/,general,6259,Biden,13256,Joseph R. Biden Jr.,DEM,51.0
